Series ID,BDS0000000000000000110008RQ5,BDS0000000000000000120008RQ5,BDS0000000000000000110007RQ5,BDS0000000000000000120007RQ5,BDS0000000000000000110005RQ5,BDS0000000000000000120005RQ5,BDS0000000000000000110002RQ5,BDS0000000000000000120002RQ5
"Qtr3
1992",1.1,2.8,,,5.9,23.3,6.4,24.1
"Qtr4
1992",1.0,2.9,,,6.1,23.6,6.0,23.6
"Qtr1
1993",1.2,3.1,D,,6.0,23.3,6.1,23.9
"Qtr2
1993",1.0,2.9,1.2,3.3,5.7,22.5,6.3,24.4
"Qtr3
1993",0.9,2.7,1.2,3.4,5.7,22.8,6.5,24.6
"Qtr4
1993",1.0,2.8,1.2,3.3,5.9,23.1,6.3,24.3
"Qtr1
1994",1.1,2.9,1.2,3.3,5.9,23.2,6.4,24.2
"Qtr2
1994",1.0,2.9,1.3,3.5,5.7,22.7,6.4,24.7
"Qtr3
1994",0.9,2.7,1.2,3.5,5.7,22.9,6.7,25.1
"Qtr4
1994",1.0,3.0,1.2,3.4,5.9,23.6,6.2,24.3
"Qtr1
1995",1.0,2.8,1.2,3.4,5.9,23.2,6.5,24.7
"Qtr2
1995",1.0,2.9,1.2,3.3,6.1,23.5,6.1,24.1
"Qtr3
1995",1.0,2.9,1.2,3.3,5.8,23.2,6.6,24.6
"Qtr4
1995",1.0,3.0,1.2,3.4,6.1,23.7,6.2,24.1
"Qtr1
1996",1.1,3.0,1.3,3.5,6.1,23.2,6.4,24.4
"Qtr2
1996",1.0,2.9,1.3,3.4,6.0,23.5,6.3,24.2
"Qtr3
1996",1.0,2.9,1.2,3.5,5.9,23.4,6.5,24.4
"Qtr4
1996",1.0,2.9,1.3,3.6,5.9,23.3,6.4,24.4
"Qtr1
1997",1.1,3.0,1.3,3.5,5.9,23.0,6.5,24.8
"Qtr2
1997",1.0,2.9,1.2,3.5,5.9,23.4,6.2,24.2
"Qtr3
1997",1.0,2.9,1.2,3.4,5.8,23.1,6.6,24.7
"Qtr4
1997",1.1,3.1,1.2,3.3,5.9,23.4,6.5,24.4
"Qtr1
1998",1.2,3.1,1.3,3.6,5.9,23.1,6.5,24.2
"Qtr2
1998",1.1,2.8,1.3,3.7,6.0,22.9,6.2,24.1
"Qtr3
1998",1.0,3.0,1.2,3.4,5.8,23.2,6.3,24.1
"Qtr4
1998",1.0,3.0,1.1,3.3,5.7,22.9,6.3,24.4
"Qtr1
1999",1.2,3.1,1.3,3.4,6.0,23.1,6.3,24.1
"Qtr2
1999",1.0,3.1,1.2,3.5,5.8,23.2,6.2,24.0
"Qtr3
1999",1.0,3.1,1.1,3.3,5.8,23.3,6.3,24.1
"Qtr4
1999",1.0,3.0,1.1,3.6,5.6,22.8,6.4,24.5
"Qtr1
2000",1.1,3.1,1.2,3.6,5.8,23.2,6.5,24.3
"Qtr2
2000",1.0,3.0,1.0,3.4,5.8,23.5,6.1,23.9
"Qtr3
2000",1.1,3.3,1.1,3.5,5.8,23.4,6.1,23.8
"Qtr4
2000",1.0,3.2,1.0,3.3,5.8,23.4,6.0,23.6
"Qtr1
2001",1.2,3.3,1.1,3.4,6.1,23.1,6.2,23.6
"Qtr2
2001",1.1,3.3,1.1,3.4,6.4,23.8,5.7,22.8
"Qtr3
2001",1.1,3.4,1.1,3.4,6.4,23.9,5.5,22.2
"Qtr4
2001",1.0,3.2,1.0,3.2,6.4,23.8,5.4,22.1
"Qtr1
2002",1.0,3.1,1.1,3.4,6.0,22.8,5.9,22.4
"Qtr2
2002",1.0,3.0,1.1,3.5,5.9,22.9,5.7,22.3
"Qtr3
2002",0.9,2.9,1.0,3.3,5.8,22.6,5.6,22.3
"Qtr4
2002",1.0,3.0,1.0,3.3,5.8,22.8,5.5,22.1
"Qtr1
2003",1.0,2.9,1.0,3.3,5.9,22.9,5.6,21.6
"Qtr2
2003",0.9,2.9,0.9,3.2,5.7,22.3,5.5,22.0
"Qtr3
2003",0.8,2.9,0.9,3.2,5.4,22.0,5.6,22.2
"Qtr4
2003",0.9,2.9,0.9,3.3,5.4,22.0,5.6,22.1
"Qtr1
2004",0.9,2.9,1.0,3.3,5.4,21.8,5.8,22.4
"Qtr2
2004",0.8,2.9,0.9,3.2,5.2,21.7,5.7,22.3
"Qtr3
2004",0.9,2.9,0.9,3.3,5.4,21.8,5.6,22.1
"Qtr4
2004",0.8,2.8,0.9,3.3,5.2,21.7,5.7,22.4
"Qtr1
2005",0.8,2.9,0.9,3.3,5.3,22.0,5.7,22.0
"Qtr2
2005",0.8,2.8,0.9,3.4,5.3,21.7,5.6,22.2
"Qtr3
2005",0.8,2.8,0.9,3.4,5.2,21.5,5.8,22.4
"Qtr4
2005",0.8,2.9,0.9,3.4,5.4,21.9,5.6,22.1
"Qtr1
2006",0.7,2.8,0.8,3.3,5.0,21.3,5.7,22.6
"Qtr2
2006",0.8,2.9,0.9,3.3,5.3,21.9,5.5,21.9
"Qtr3
2006",0.7,2.9,0.8,3.1,5.4,21.9,5.4,21.6
"Qtr4
2006",0.7,2.9,0.9,3.3,5.3,21.7,5.5,21.8
"Qtr1
2007",0.7,2.8,0.8,3.2,5.2,21.5,5.6,22.1
"Qtr2
2007",0.8,3.0,0.8,3.1,5.3,22.0,5.4,21.6
"Qtr3
2007",0.7,3.0,0.8,3.2,5.4,22.1,5.1,21.2
"Qtr4
2007",0.7,3.0,0.8,3.1,5.3,21.8,5.4,21.5
"Qtr1
2008",0.7,3.1,0.8,3.1,5.3,22.0,5.1,20.9
"Qtr2
2008",0.8,3.3,0.8,3.0,5.6,22.7,5.1,20.4
"Qtr3
2008",0.8,3.2,0.8,3.0,5.7,22.3,4.9,20.0
"Qtr4
2008",0.9,3.5,0.7,2.9,6.3,23.4,4.8,19.0
"Qtr1
2009",0.8,3.4,0.7,2.7,6.5,23.8,4.3,17.7
"Qtr2
2009",0.8,3.3,0.7,2.8,6.2,22.9,4.7,18.7
"Qtr3
2009",0.7,3.2,0.7,2.7,5.5,21.5,4.8,18.8
"Qtr4
2009",0.7,3.1,0.7,2.8,5.3,21.1,5.0,19.3
"Qtr1
2010",0.7,3.0,0.7,2.7,5.0,21.0,4.8,19.3
"Qtr2
2010",0.6,2.9,0.7,2.7,4.8,20.1,5.4,20.5
"Qtr3
2010",0.7,2.9,0.7,2.9,4.9,20.2,5.1,20.1
"Qtr4
2010",0.7,2.8,0.8,3.0,4.9,20.1,5.3,20.4
"Qtr1
2011",0.6,2.8,0.7,2.9,4.7,20.2,5.0,20.2
"Qtr2
2011",0.6,2.9,0.7,2.9,4.7,19.9,5.2,20.5
"Qtr3
2011",0.6,2.7,0.7,2.9,4.8,20.0,5.4,20.9
"Qtr4
2011",0.6,2.8,0.7,3.0,4.8,20.2,5.1,20.3
"Qtr1
2012",0.6,2.6,0.7,3.3,4.6,19.7,5.2,21.0
"Qtr2
2012",0.6,2.7,0.7,3.0,4.8,19.9,5.2,20.5
"Qtr3
2012",0.6,2.7,0.7,2.9,4.9,20.1,5.0,20.1
"Qtr4
2012",0.6,2.5,0.7,3.0,4.7,19.5,5.2,20.4
"Qtr1
2013",0.6,2.6,0.7,2.8,4.6,19.8,5.1,20.6
"Qtr2
2013",0.6,2.9,0.7,3.0,4.7,19.8,5.2,20.7
"Qtr3
2013",0.6,2.6,0.7,2.9,4.8,19.9,5.1,20.7
"Qtr4
2013",0.6,2.5,0.7,2.9,4.7,19.9,5.2,20.7
"Qtr1
2014",0.6,2.5,0.7,2.9,4.7,20.0,5.0,20.6
"Qtr2
2014",0.6,2.7,0.7,2.9,4.6,19.9,5.3,21.1
