year,BLS10,BLS20,BLS30,BLS41,BLS42,BLS43,BLS50,BLS55,BLS60,BLS65,BLS70,BLS80
1997,170.6,816.5,1379,715.7,698,689.1,290.4,2458.8,1291,978.9,560.6,452.3
1998,179.4,854,1444.3,784,764.6,701,323.6,2568.3,1352.4,983.6,576.4,471.4
1999,173.2,890.1,1531.7,809.7,791.6,744.7,363.5,2734.5,1417.9,1016.5,607.9,475
2000,151.3,925.4,1641.1,851.9,816.2,747.4,357.2,2880.9,1500.2,1051.7,643.7,485.5
2001,175.8,909.4,1586.1,866.2,846.5,670.6,381.3,3027.7,1546.5,1079.6,623.2,438.3
2002,181.2,878.5,1602.6,876,887.2,659.8,418.3,3040.4,1562.8,1121.2,638.5,449.9
2003,159.5,896.7,1702.8,924.3,933.5,672.9,433.9,3061.8,1613.6,1166.9,657.2,437.7
2004,159.8,930.3,1824.3,965.8,948.6,724.5,486.7,3120.7,1655.6,1222.5,687,443.4
2005,161.6,934,1877.7,1009.8,979.1,736,521.7,3333.6,1732,1244.6,688.9,446.1
2006,186.5,913.1,1982.9,1039.7,986.3,779.8,542.4,3406.6,1782.6,1293.8,707.9,448.2
2007,201.5,888.2,2065.5,1075,955.7,784.1,601.3,3481.8,1846.3,1306.8,707.2,438.5
2008,195,801.6,2021.2,1074.3,924.3,795.9,642.3,3396.2,1936.9,1391.1,692.4,422.6
2009,224.1,686.7,1841.9,941,885,744.5,625.9,3614.8,1809,1437.9,650.4,397.9
2010,199.1,656.8,1950.8,999.6,922.4,805.2,670.8,3645.6,1891.5,1457.6,678.6,391.6
2011,207,648.9,1964.4,1020.8,927.8,827.1,685,3707.3,1971.7,1485.1,704.1,388.4
2012,232.2,670.2,1964.6,1056.5,934.8,837.2,689.5,3881.2,2065.3,1512.6,723.9,394.6
2013,241.8,697.6,2030.2,1084.3,978.1,851.7,762.7,3856,2101.8,1540,742.9,398.4
2014,267.4,721.2,2049.2,1127.6,1007,862.4,786.8,3947.1,2195.5,1572.4,771.3,416.6
2015,285.9,764.4,2064.8,1179,1059.9,888,870.6,3995,2272.1,1634.4,796.1,423.9
2016,261.6,804.4,2049.3,1169.2,1122.1,917.4,948,4022.7,2320.6,1682.5,810.2,424.3
2017,267.3,840.2,2109.7,1176.1,1178.9,949.2,1010,4033,2433.6,1716.9,831.2,433.2
2018,277,863.8,2213,1185.9,1220.1,966.9,1066,4094.6,2584.6,1765.1,847.1,447.1
2019,312.5,882.3,2224.8,1198.2,1253.7,971.4,1177.7,4185.4,2712.3,1820.4,864.9,449
2020,306,863.4,2140.4,1204.2,1231.4,935.8,1226.6,4248.2,2701.1,1763.4,635.2,404.8
2021,279.7,885.1,2299.8,1192.3,1238.8,1015,1393.6,4497.4,3053,1842.3,794.4,417.7
2022,255,830.5,2280.7,1174.3,1204.6,1022.2,1496.3,4668.8,3304.8,1942.2,863.7,437.1
2023,352.9,831.1,2292,1157.1,1331.5,1058.4,1616.5,4730.7,3399.6,2033.3,895,414.5
2024,362.7,871.5,2361.4,1148.8,1469.5,1087.8,1704.3,4794.5,3469,2119.5,897.8,410
2025,363.4,886.8,2396.5,1169.5,1464.9,1095.9,1840.4,4942.8,3568.9,2206.7,899.2,402.4
