year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,11,20418,21074,185707,178261,4010,19.159,3723,17.787,57806,20996,36810,11.778,32.428,43295,17431,25864,9.778,24.287,14511,8.14,48.575,2705,2730,12230
1978,21,19132,24722,711847,713313,3935,16.153,3213,13.189,165798,56971,108827,7.987,23.243,168772,59516,109256,8.344,23.66,-2974,-0.417,46.487,1752,1785,16669
1978,22,5693,11864,657647,641856,935,8.006,565,4.838,81030,19958,61072,3.109,12.624,49677,12127,37550,1.889,7.74,31353,4.885,15.479,213,215,1821
1978,23,426471,432161,4094192,3820966,91990,22.191,56760,13.692,1335726,421095,914631,11.021,34.958,788066,273140,514926,7.148,20.625,547660,14.333,41.25,43850,43889,190061
1978,31-33,264012,312024,18328635,17897072,33724,10.927,26936,8.728,2407785,507039,1900746,2.833,13.454,1546995,528389,1018606,2.952,8.644,860790,4.81,17.288,19008,19154,224428
1978,42,236099,306655,3825404,3706728,38621,12.803,28603,9.482,790888,258204,532684,6.966,21.337,553444,251010,302434,6.772,14.931,237444,6.406,29.862,18098,18469,106655
1978,44-45,741500,1000819,9944538,9616255,136688,13.788,117714,11.874,2099566,821546,1278020,8.543,21.834,1446226,638140,808086,6.636,15.039,653340,6.794,30.079,77687,79537,317228
1978,48-49,90397,110656,2425680,2335210,18589,17.057,15235,13.98,543900,167868,376032,7.189,23.291,362796,135991,226805,5.824,15.536,181104,7.755,31.072,10894,10942,57530
1978,51,38476,62979,2160446,2103031,7929,12.773,6121,9.861,374623,84533,290090,4.02,17.813,258919,81038,177881,3.853,12.312,115704,5.502,24.623,3376,3490,33004
1978,52,146410,233866,4107264,3982545,25213,10.994,16160,7.046,682524,171718,510806,4.312,17.138,430952,135126,295826,3.393,10.821,251572,6.317,21.642,8704,8808,37502
1978,53,169328,178156,1024213,979288,30627,17.547,23399,13.406,293196,121350,171846,12.392,29.94,202041,95942,106099,9.797,20.631,91155,9.308,41.263,18270,18326,58668
1978,54,234831,250207,2224927,2122046,42472,17.593,24897,10.313,537181,198664,338517,9.362,25.314,332064,149789,182275,7.059,15.648,205117,9.666,31.297,17532,17793,95840
1978,55,18987,36124,2430200,2363456,3934,11.006,3173,8.877,525009,139547,385462,5.904,22.214,390707,97437,293270,4.123,16.531,134302,5.682,33.062,403,434,4542
1978,56,109271,122008,1965725,1839586,26383,22.585,16002,13.698,618278,204373,413905,11.11,33.61,367083,133783,233300,7.272,19.955,251195,13.655,39.909,11883,11968,72061
1978,61,30454,32433,1279753,1207464,4439,13.973,3111,9.793,271726,32910,238816,2.726,22.504,130233,60553,69680,5.015,10.786,141493,11.718,21.571,2276,2309,45409
1978,62,314122,340857,5848107,5581574,41010,12.391,21226,6.413,1008897,293996,714901,5.267,18.075,474590,193017,281573,3.458,8.503,534307,9.573,17.006,14689,14869,108152
1978,71,42730,44796,656732,621186,7702,17.677,5251,12.052,168635,60706,107929,9.773,27.147,97740,37123,60617,5.976,15.734,70895,11.413,31.469,3879,3896,23416
1978,72,286236,342253,5219549,4937558,61828,18.294,53266,15.76,1520232,776761,743471,15.732,30.789,953621,484758,468863,9.818,19.314,566611,11.476,38.627,38228,38811,301088
1978,81,430409,463898,3164591,3021250,62547,13.711,47133,10.332,764424,241152,523272,7.982,25.302,475919,182750,293169,6.049,15.752,288505,9.549,31.505,33808,34148,116284
1979,11,20049,20645,185861,186518,3602,17.408,3696,17.862,50120,19527,30593,10.469,26.871,51576,21079,30497,11.301,27.652,-1456,-0.781,53.743,2650,2695,13993
1979,21,19867,25602,822849,768302,4193,16.735,3100,12.373,219484,53237,166247,6.929,28.567,110389,45955,64434,5.981,14.368,109095,14.199,28.736,1862,1879,19135
1979,22,5970,12150,682929,671189,793,6.596,537,4.467,61580,20267,41313,3.02,9.175,38564,7171,31393,1.068,5.746,23016,3.429,11.491,212,212,902
1979,23,448312,454018,4577836,4351852,84765,19.11,63879,14.401,1381679,390352,991327,8.97,31.749,929624,307003,622621,7.055,21.362,452055,10.388,42.723,49696,49727,225121
1979,31-33,261130,309778,19118093,18737665,31447,10.186,29345,9.505,2447441,513154,1934287,2.739,13.062,1681817,550919,1130898,2.94,8.976,765624,4.086,17.951,19348,19534,221434
1979,42,247725,319514,4089846,3983525,35563,11.26,28215,8.933,755365,235846,519519,5.921,18.962,542718,208355,334363,5.23,13.624,212647,5.338,27.248,17864,18190,95929
1979,44-45,753444,1020403,10429269,10212949,124020,12.257,106874,10.562,1887793,744970,1142823,7.294,18.484,1449257,534470,914787,5.233,14.19,438536,4.294,28.381,73340,74985,302749
1979,48-49,93777,114653,2594050,2509944,19023,16.926,14493,12.896,495801,147296,348505,5.868,19.753,327169,104757,222412,4.174,13.035,168632,6.719,26.07,10819,10864,55373
1979,51,40712,64888,2275629,2224068,8056,12.581,6347,9.912,410507,80882,329625,3.637,18.457,308141,82671,225470,3.717,13.855,102366,4.603,27.71,3419,3447,25849
1979,52,152508,246417,4452701,4285423,26579,11.047,14956,6.216,721927,192768,529159,4.498,16.846,388426,101484,286942,2.368,9.064,333501,7.782,18.128,9005,9056,36909
1979,53,179093,189145,1123860,1077773,32079,17.362,23327,12.625,306093,123727,182366,11.48,28.401,214532,94154,120378,8.736,19.905,91561,8.495,39.81,18358,18407,62986
1979,54,252740,268696,2455965,2345308,44497,17.118,26989,10.383,539127,195050,344077,8.317,22.987,316792,127355,189437,5.43,13.507,222335,9.48,27.015,19749,19947,80029
1979,55,20038,37781,2576951,2504195,4316,11.649,2857,7.711,464374,143671,320703,5.737,18.544,317128,78020,239108,3.116,12.664,147246,5.88,25.328,427,432,4437
1979,56,118974,132728,2221831,2098506,27879,21.915,16855,13.249,632032,212014,420018,10.103,30.118,385509,128678,256831,6.132,18.371,246523,11.748,36.741,12724,12801,76354
1979,61,31226,33224,1316507,1266326,4164,12.714,3218,9.826,201803,28423,173380,2.245,15.936,100447,22286,78161,1.76,7.932,101356,8.004,15.864,2432,2466,14653
1979,62,330251,359099,6201826,6024113,38724,11.052,21265,6.069,870945,264232,606713,4.386,14.458,517887,177592,340295,2.948,8.597,353058,5.861,17.194,15431,15614,117415
1979,71,44929,47009,708688,683359,7776,16.934,5596,12.187,173383,52277,121106,7.65,25.372,122561,38338,84223,5.61,17.935,50822,7.437,35.87,4121,4145,27425
1979,72,292466,351901,5545474,5397691,58835,16.921,50438,14.506,1393701,711029,682672,13.173,25.82,1102844,459160,643684,8.507,20.432,290857,5.389,40.864,36402,36935,295361
1979,81,444155,478946,3334263,3251852,60104,12.738,45884,9.725,679085,226913,452172,6.978,20.883,514373,168552,345821,5.183,15.818,164712,5.065,31.636,33777,34102,116278
1980,11,19986,20586,186912,187432,3272,15.848,3391,16.425,45506,16105,29401,8.592,24.279,46791,15282,31509,8.153,24.964,-1285,-0.686,48.557,2590,2590,10933
1980,21,21110,26880,856943,841573,4339,16.524,3096,11.79,171414,55477,115937,6.592,20.368,140739,45121,95618,5.362,16.723,30675,3.645,33.447,2006,2049,21699
1980,22,5975,12230,695999,689102,577,4.733,497,4.077,42059,10080,31979,1.463,6.103,28300,8837,19463,1.282,4.107,13759,1.997,8.214,284,285,1221
1980,23,439901,445373,4422760,4481434,71379,15.879,79660,17.721,1094533,323118,771415,7.21,24.424,1212253,351949,860304,7.853,27.051,-117720,-2.627,48.847,61290,61318,259739
1980,31-33,265558,314058,18728021,18896093,32454,10.411,27797,8.917,1971986,502143,1469843,2.657,10.436,2314292,597257,1717035,3.161,12.247,-342306,-1.812,20.872,19899,20047,239273
1980,42,253241,325465,4133336,4119960,34905,10.808,29891,9.255,640563,209790,430773,5.092,15.548,614121,220808,393313,5.359,14.906,26442,0.642,29.812,19411,19748,100471
1980,44-45,751649,1024888,10292231,10366384,115245,11.266,111328,10.883,1577706,700911,876795,6.761,15.219,1721353,555584,1165769,5.359,16.605,-143647,-1.386,30.439,76762,78876,322559
