state,state_fips,quarter_label,bartik_ld,weight_sum,n_supersectors
AL,01,2001Q1,0.054365328438392924,1.0,12.0
AL,01,2001Q2,0.05319257430880152,1.0,12.0
AL,01,2001Q3,0.05466980578068401,1.0,12.0
AL,01,2001Q4,0.058005571823706116,1.0,12.0
AL,01,2002Q1,0.050996029307002685,1.0,12.0
AL,01,2002Q2,0.051897245937627706,1.0,12.0
AL,01,2002Q3,0.05241030925064916,1.0,12.0
AL,01,2002Q4,0.05157564421965697,1.0,12.0
AL,01,2003Q1,0.052636078642675374,1.0,12.0
AL,01,2003Q2,0.05274150419536145,1.0,12.0
AL,01,2003Q3,0.05283506534102448,1.0,12.0
AL,01,2003Q4,0.05087396292724333,1.0,12.0
AL,01,2004Q1,0.05209861722832845,1.0,12.0
AL,01,2004Q2,0.049489318419417894,1.0,12.0
AL,01,2004Q3,0.050223148345829374,1.0,12.0
AL,01,2004Q4,0.0498463372413507,1.0,12.0
AL,01,2005Q1,0.053215408103961075,1.0,12.0
AL,01,2005Q2,0.05088985677915057,1.0,12.0
AL,01,2005Q3,0.04961237618104126,1.0,12.0
AL,01,2005Q4,0.046836293776840385,1.0,12.0
AL,01,2006Q1,0.046670118930131205,1.0,12.0
AL,01,2006Q2,0.04748149108566501,1.0,12.0
AL,01,2006Q3,0.04630008749961024,1.0,12.0
AL,01,2006Q4,0.04702724724497918,1.0,12.0
AL,01,2007Q1,0.04792399388250193,1.0,12.0
AL,01,2007Q2,0.04905980951028863,1.0,12.0
AL,01,2007Q3,0.05171275667938419,1.0,12.0
AL,01,2007Q4,0.050231052562876834,1.0,12.0
AL,01,2008Q1,0.04993221121664582,1.0,12.0
AL,01,2008Q2,0.052242015338849736,1.0,12.0
AL,01,2008Q3,0.054494500871558785,1.0,12.0
AL,01,2008Q4,0.06095283922994262,1.0,12.0
AL,01,2009Q1,0.06772081737900673,1.0,12.0
AL,01,2009Q2,0.06096802794236724,1.0,12.0
AL,01,2009Q3,0.055494275175072355,1.0,12.0
AL,01,2009Q4,0.05057832573428877,1.0,12.0
AL,01,2010Q1,0.0468154926035984,1.0,12.0
AL,01,2010Q2,0.04401886167250246,1.0,12.0
AL,01,2010Q3,0.045989971882053,1.0,12.0
AL,01,2010Q4,0.04534002415715779,1.0,12.0
AL,01,2011Q1,0.044875339308497776,1.0,12.0
AL,01,2011Q2,0.04674753806463303,1.0,12.0
AL,01,2011Q3,0.045867384234923245,1.0,12.0
AL,01,2011Q4,0.045363989994752225,1.0,12.0
AL,01,2012Q1,0.04521957491569975,1.0,12.0
AL,01,2012Q2,0.047143154156402446,1.0,12.0
AL,01,2012Q3,0.04506438133391338,1.0,12.0
AL,01,2012Q4,0.04583632414104364,1.0,12.0
AL,01,2013Q1,0.042355784714381096,1.0,12.0
AL,01,2013Q2,0.044799825602618984,1.0,12.0
AL,01,2013Q3,0.04469975908899714,1.0,12.0
AL,01,2013Q4,0.04195317975304779,1.0,12.0
AL,01,2014Q1,0.04335704252678058,1.0,12.0
AL,01,2014Q2,0.043590912870447876,1.0,12.0
AL,01,2014Q3,0.043179112485098974,1.0,12.0
AL,01,2014Q4,0.04505202658290129,1.0,12.0
AL,01,2015Q1,0.045601070381921766,1.0,12.0
AL,01,2015Q2,0.04410420919906485,1.0,12.0
AL,01,2015Q3,0.044760798522553304,1.0,12.0
AL,01,2015Q4,0.04431639691738144,1.0,12.0
AL,01,2016Q1,0.04570072381031465,1.0,12.0
AL,01,2016Q2,0.04390444000533533,1.0,12.0
AL,01,2016Q3,0.04272544513772815,1.0,12.0
AL,01,2016Q4,0.04210487567004766,1.0,12.0
AL,01,2017Q1,0.04297418370545498,1.0,12.0
AL,01,2017Q2,0.044746191309740495,1.0,12.0
AL,01,2017Q3,0.045523819804434366,1.0,12.0
AL,01,2017Q4,0.043545636241266644,1.0,12.0
AL,01,2018Q1,0.04525798763741075,1.0,12.0
AL,01,2018Q2,0.044192600024418625,1.0,12.0
AL,01,2018Q3,0.04414141101191917,1.0,12.0
AL,01,2018Q4,0.046353061649392124,1.0,12.0
AL,01,2019Q1,0.04207590252234687,1.0,12.0
AL,01,2019Q2,0.04583911297869718,1.0,12.0
AL,01,2019Q3,0.0465989894149422,1.0,12.0
AL,01,2019Q4,0.04605285097424572,1.0,12.0
AL,01,2020Q1,0.14234249338244467,1.0,12.0
AL,01,2020Q2,0.1140768806890891,1.0,12.0
AL,01,2020Q3,0.04089994031554062,1.0,12.0
AL,01,2020Q4,0.04530047112589159,1.0,12.0
AL,01,2021Q1,0.039050714979989264,1.0,12.0
AL,01,2021Q2,0.03443050454721396,1.0,12.0
AL,01,2021Q3,0.03467148548394398,1.0,12.0
AL,01,2021Q4,0.033794415842438315,1.0,12.0
AL,01,2022Q1,0.03481463688078731,1.0,12.0
AL,01,2022Q2,0.03588034826912476,1.0,12.0
AL,01,2022Q3,0.03750214707666239,1.0,12.0
AL,01,2022Q4,0.03793121484671649,1.0,12.0
AL,01,2023Q1,0.04342576737455909,1.0,12.0
AK,02,2001Q1,0.04972419536125726,1.0,12.0
AK,02,2001Q2,0.048142638085521945,1.0,12.0
AK,02,2001Q3,0.050407969941528574,1.0,12.0
AK,02,2001Q4,0.054344942297998314,1.0,12.0
AK,02,2002Q1,0.04811217195398789,1.0,12.0
AK,02,2002Q2,0.0496179406092564,1.0,12.0
AK,02,2002Q3,0.050495231730102466,1.0,12.0
AK,02,2002Q4,0.04872667803920796,1.0,12.0
AK,02,2003Q1,0.050512426198920005,1.0,12.0
AK,02,2003Q2,0.05143981117881732,1.0,12.0
AK,02,2003Q3,0.05136619454783244,1.0,12.0
AK,02,2003Q4,0.05053403378147599,1.0,12.0
AK,02,2004Q1,0.0516926601287019,1.0,12.0
AK,02,2004Q2,0.04930213317898666,1.0,12.0
AK,02,2004Q3,0.049607090839368186,1.0,12.0
AK,02,2004Q4,0.04931858478171375,1.0,12.0
AK,02,2005Q1,0.05313245729034186,1.0,12.0
AK,02,2005Q2,0.050668592783568764,1.0,12.0
AK,02,2005Q3,0.04929410816867808,1.0,12.0
AK,02,2005Q4,0.047102556885319474,1.0,12.0
AK,02,2006Q1,0.04607427213270415,1.0,12.0
AK,02,2006Q2,0.04667430135404787,1.0,12.0
AK,02,2006Q3,0.04557581689052853,1.0,12.0
AK,02,2006Q4,0.04648831824195485,1.0,12.0
AK,02,2007Q1,0.047124460602019844,1.0,12.0
AK,02,2007Q2,0.04796566619957072,1.0,12.0
AK,02,2007Q3,0.050050325728754896,1.0,12.0
AK,02,2007Q4,0.04842634939938959,1.0,12.0
AK,02,2008Q1,0.04967279325146392,1.0,12.0
AK,02,2008Q2,0.05054440504981226,1.0,12.0
AK,02,2008Q3,0.05362339608710617,1.0,12.0
AK,02,2008Q4,0.05793423501918837,1.0,12.0
AK,02,2009Q1,0.06362886183855024,1.0,12.0
AK,02,2009Q2,0.05892223212064626,1.0,12.0
AK,02,2009Q3,0.055700881219287644,1.0,12.0
AK,02,2009Q4,0.05092502834612234,1.0,12.0
AK,02,2010Q1,0.046137735886845416,1.0,12.0
AK,02,2010Q2,0.04414567237466314,1.0,12.0
AK,02,2010Q3,0.04522960355788242,1.0,12.0
AK,02,2010Q4,0.04511025223510284,1.0,12.0
AK,02,2011Q1,0.04447192480156882,1.0,12.0
AK,02,2011Q2,0.04628773114048911,1.0,12.0
AK,02,2011Q3,0.0462790219392208,1.0,12.0
AK,02,2011Q4,0.04645240746090432,1.0,12.0
AK,02,2012Q1,0.045825152235666404,1.0,12.0
AK,02,2012Q2,0.048012467646468084,1.0,12.0
AK,02,2012Q3,0.0462928116706047,1.0,12.0
AK,02,2012Q4,0.04645185612479448,1.0,12.0
AK,02,2013Q1,0.043393783734464786,1.0,12.0
AK,02,2013Q2,0.04617645507930224,1.0,12.0
AK,02,2013Q3,0.04633630400903684,1.0,12.0
AK,02,2013Q4,0.0436635546902832,1.0,12.0
AK,02,2014Q1,0.04520477659010912,1.0,12.0
AK,02,2014Q2,0.044433637758930555,1.0,12.0
AK,02,2014Q3,0.0443276240622226,1.0,12.0
AK,02,2014Q4,0.046204284593996225,1.0,12.0
AK,02,2015Q1,0.047577988251623626,1.0,12.0
AK,02,2015Q2,0.046251655006726254,1.0,12.0
AK,02,2015Q3,0.04703023305217615,1.0,12.0
AK,02,2015Q4,0.04576940988703199,1.0,12.0
AK,02,2016Q1,0.047315082758296365,1.0,12.0
AK,02,2016Q2,0.045338216444724785,1.0,12.0
AK,02,2016Q3,0.04439761022168702,1.0,12.0
AK,02,2016Q4,0.04329022153771346,1.0,12.0
AK,02,2017Q1,0.04471049712588939,1.0,12.0
AK,02,2017Q2,0.046324214194566324,1.0,12.0
AK,02,2017Q3,0.047318533013754396,1.0,12.0
AK,02,2017Q4,0.04572997978265602,1.0,12.0
AK,02,2018Q1,0.04686032017766473,1.0,12.0
AK,02,2018Q2,0.046054991596628965,1.0,12.0
AK,02,2018Q3,0.0463578060227426,1.0,12.0
AK,02,2018Q4,0.0476086231698097,1.0,12.0
AK,02,2019Q1,0.04411419113097085,1.0,12.0
AK,02,2019Q2,0.047177520036607835,1.0,12.0
AK,02,2019Q3,0.048558173379201666,1.0,12.0
AK,02,2019Q4,0.04807706226204642,1.0,12.0
AK,02,2020Q1,0.156173917264749,1.0,12.0
AK,02,2020Q2,0.12003437902893074,1.0,12.0
AK,02,2020Q3,0.04211426171380789,1.0,12.0
AK,02,2020Q4,0.04729291924387324,1.0,12.0
AK,02,2021Q1,0.04057906560888368,1.0,12.0
AK,02,2021Q2,0.03529033544359782,1.0,12.0
AK,02,2021Q3,0.03449252087107194,1.0,12.0
AK,02,2021Q4,0.03449957402356915,1.0,12.0
AK,02,2022Q1,0.03502279844629162,1.0,12.0
AK,02,2022Q2,0.036239459458388926,1.0,12.0
AK,02,2022Q3,0.03916281450614756,1.0,12.0
AK,02,2022Q4,0.03913926340731677,1.0,12.0
AK,02,2023Q1,0.045416384788818515,1.0,12.0
AZ,04,2001Q1,0.05805773673546691,1.0,12.0
AZ,04,2001Q2,0.05401904234457458,1.0,12.0
AZ,04,2001Q3,0.05637627279268584,1.0,12.0
AZ,04,2001Q4,0.060025979424179185,1.0,12.0
AZ,04,2002Q1,0.05296308840199887,1.0,12.0
AZ,04,2002Q2,0.054904334635429486,1.0,12.0
AZ,04,2002Q3,0.05544128400744785,1.0,12.0
AZ,04,2002Q4,0.05449819380590881,1.0,12.0
AZ,04,2003Q1,0.055692431618941614,1.0,12.0
AZ,04,2003Q2,0.05645352643332127,1.0,12.0
AZ,04,2003Q3,0.05721629602862654,1.0,12.0
AZ,04,2003Q4,0.05514135232214702,1.0,12.0
AZ,04,2004Q1,0.056625286803264833,1.0,12.0
AZ,04,2004Q2,0.053888502014603816,1.0,12.0
AZ,04,2004Q3,0.053996026780860316,1.0,12.0
AZ,04,2004Q4,0.05393773773842029,1.0,12.0
AZ,04,2005Q1,0.05822177588943885,1.0,12.0
AZ,04,2005Q2,0.055479430215670054,1.0,12.0
AZ,04,2005Q3,0.053977018055865335,1.0,12.0
AZ,04,2005Q4,0.0509242553931729,1.0,12.0
AZ,04,2006Q1,0.05087863169999873,1.0,12.0
AZ,04,2006Q2,0.05156359625327837,1.0,12.0
AZ,04,2006Q3,0.05042607332085612,1.0,12.0
AZ,04,2006Q4,0.05195872553370471,1.0,12.0
AZ,04,2007Q1,0.05220326522786255,1.0,12.0
AZ,04,2007Q2,0.05382365118607327,1.0,12.0
AZ,04,2007Q3,0.056341734211033,1.0,12.0
AZ,04,2007Q4,0.05471226109575506,1.0,12.0
AZ,04,2008Q1,0.05527385507103568,1.0,12.0
AZ,04,2008Q2,0.0566310416525192,1.0,12.0
AZ,04,2008Q3,0.05934831722938219,1.0,12.0
AZ,04,2008Q4,0.06596884545165799,1.0,12.0
AZ,04,2009Q1,0.0716713500330743,1.0,12.0
AZ,04,2009Q2,0.06487616816383877,1.0,12.0
AZ,04,2009Q3,0.06065601231936317,1.0,12.0
AZ,04,2009Q4,0.05509804561731108,1.0,12.0
AZ,04,2010Q1,0.05158810702721705,1.0,12.0
AZ,04,2010Q2,0.048972653143847855,1.0,12.0
AZ,04,2010Q3,0.050887819109198484,1.0,12.0
AZ,04,2010Q4,0.0503769809551797,1.0,12.0
AZ,04,2011Q1,0.05006838363110454,1.0,12.0
AZ,04,2011Q2,0.053052826068050875,1.0,12.0
AZ,04,2011Q3,0.051611869544836084,1.0,12.0
AZ,04,2011Q4,0.050740363560738626,1.0,12.0
AZ,04,2012Q1,0.05093494700349873,1.0,12.0
AZ,04,2012Q2,0.05296138934847654,1.0,12.0
AZ,04,2012Q3,0.05107753353762804,1.0,12.0
AZ,04,2012Q4,0.05126716435848467,1.0,12.0
AZ,04,2013Q1,0.0473656572377163,1.0,12.0
AZ,04,2013Q2,0.04977302383390289,1.0,12.0
AZ,04,2013Q3,0.049685239614765724,1.0,12.0
AZ,04,2013Q4,0.04717903256494894,1.0,12.0
AZ,04,2014Q1,0.047913212970271846,1.0,12.0
AZ,04,2014Q2,0.04780589898737816,1.0,12.0
AZ,04,2014Q3,0.04800395048797586,1.0,12.0
AZ,04,2014Q4,0.05043314033713068,1.0,12.0
AZ,04,2015Q1,0.05076952156390668,1.0,12.0
AZ,04,2015Q2,0.049005653331317775,1.0,12.0
AZ,04,2015Q3,0.049597403502673665,1.0,12.0
AZ,04,2015Q4,0.049263646471653974,1.0,12.0
AZ,04,2016Q1,0.05110161823893792,1.0,12.0
AZ,04,2016Q2,0.04865014336293126,1.0,12.0
AZ,04,2016Q3,0.04725726722967728,1.0,12.0
AZ,04,2016Q4,0.04732951629756296,1.0,12.0
AZ,04,2017Q1,0.0477530728567358,1.0,12.0
AZ,04,2017Q2,0.05023564542975715,1.0,12.0
AZ,04,2017Q3,0.05113481075691009,1.0,12.0
AZ,04,2017Q4,0.04772175709737313,1.0,12.0
AZ,04,2018Q1,0.050038286408159896,1.0,12.0
AZ,04,2018Q2,0.048486901323690296,1.0,12.0
AZ,04,2018Q3,0.048399508873968954,1.0,12.0
AZ,04,2018Q4,0.05060153612337847,1.0,12.0
AZ,04,2019Q1,0.04640768696341423,1.0,12.0
AZ,04,2019Q2,0.05129893445347368,1.0,12.0
AZ,04,2019Q3,0.05174929887488228,1.0,12.0
AZ,04,2019Q4,0.05185577089597203,1.0,12.0
AZ,04,2020Q1,0.15207985551090206,1.0,12.0
AZ,04,2020Q2,0.12062449635353462,1.0,12.0
AZ,04,2020Q3,0.04481153601495922,1.0,12.0
AZ,04,2020Q4,0.05009184798365642,1.0,12.0
AZ,04,2021Q1,0.043674917818298006,1.0,12.0
AZ,04,2021Q2,0.037873443408330466,1.0,12.0
AZ,04,2021Q3,0.03777516480038286,1.0,12.0
AZ,04,2021Q4,0.037062465725985996,1.0,12.0
AZ,04,2022Q1,0.03804201769549082,1.0,12.0
AZ,04,2022Q2,0.03935102943469134,1.0,12.0
AZ,04,2022Q3,0.04097929671755835,1.0,12.0
AZ,04,2022Q4,0.04162863619067335,1.0,12.0
AZ,04,2023Q1,0.04825553491624885,1.0,12.0
AR,05,2001Q1,0.051486873908647424,1.0,12.0
AR,05,2001Q2,0.05126315924073773,1.0,12.0
AR,05,2001Q3,0.05253573149830684,1.0,12.0
AR,05,2001Q4,0.056015139837383814,1.0,12.0
AR,05,2002Q1,0.049389810716509705,1.0,12.0
AR,05,2002Q2,0.049723294228916616,1.0,12.0
AR,05,2002Q3,0.050323817453276895,1.0,12.0
AR,05,2002Q4,0.04929799393182868,1.0,12.0
AR,05,2003Q1,0.05034975588095037,1.0,12.0
AR,05,2003Q2,0.050559090269693276,1.0,12.0
AR,05,2003Q3,0.050462237468525656,1.0,12.0
AR,05,2003Q4,0.04856730825815103,1.0,12.0
AR,05,2004Q1,0.049854335051953844,1.0,12.0
AR,05,2004Q2,0.047313399893913866,1.0,12.0
AR,05,2004Q3,0.04826124338297274,1.0,12.0
AR,05,2004Q4,0.047720177311404634,1.0,12.0
AR,05,2005Q1,0.05072490009385272,1.0,12.0
AR,05,2005Q2,0.04880559416202541,1.0,12.0
AR,05,2005Q3,0.04743397767257803,1.0,12.0
AR,05,2005Q4,0.0452507050969079,1.0,12.0
AR,05,2006Q1,0.04451067483768661,1.0,12.0
AR,05,2006Q2,0.04516502297975714,1.0,12.0
AR,05,2006Q3,0.04432341843400673,1.0,12.0
AR,05,2006Q4,0.044601595848391046,1.0,12.0
AR,05,2007Q1,0.045932341210935014,1.0,12.0
AR,05,2007Q2,0.04664597422063423,1.0,12.0
AR,05,2007Q3,0.0491078182875346,1.0,12.0
AR,05,2007Q4,0.04783289255947892,1.0,12.0
AR,05,2008Q1,0.0475659973414351,1.0,12.0
AR,05,2008Q2,0.04987395968643003,1.0,12.0
AR,05,2008Q3,0.0520900707750851,1.0,12.0
AR,05,2008Q4,0.05804051434321165,1.0,12.0
AR,05,2009Q1,0.06524917636320424,1.0,12.0
AR,05,2009Q2,0.05873315445929432,1.0,12.0
AR,05,2009Q3,0.053449629783739634,1.0,12.0
AR,05,2009Q4,0.04881860812228386,1.0,12.0
AR,05,2010Q1,0.04460657668575852,1.0,12.0
AR,05,2010Q2,0.04201042908063903,1.0,12.0
AR,05,2010Q3,0.04396184490208328,1.0,12.0
AR,05,2010Q4,0.04334931144619834,1.0,12.0
AR,05,2011Q1,0.042507088952897315,1.0,12.0
AR,05,2011Q2,0.04402250914374785,1.0,12.0
AR,05,2011Q3,0.04345509972649558,1.0,12.0
AR,05,2011Q4,0.04330753688628166,1.0,12.0
AR,05,2012Q1,0.04297978359207369,1.0,12.0
AR,05,2012Q2,0.0450414846768394,1.0,12.0
AR,05,2012Q3,0.04282953247631908,1.0,12.0
AR,05,2012Q4,0.04362446054228897,1.0,12.0
AR,05,2013Q1,0.04051286326639255,1.0,12.0
AR,05,2013Q2,0.04290677573293861,1.0,12.0
AR,05,2013Q3,0.043002915633863645,1.0,12.0
AR,05,2013Q4,0.040149973880733346,1.0,12.0
AR,05,2014Q1,0.04191804893090731,1.0,12.0
AR,05,2014Q2,0.04185794265086927,1.0,12.0
AR,05,2014Q3,0.04136919292075163,1.0,12.0
AR,05,2014Q4,0.04311815663576252,1.0,12.0
AR,05,2015Q1,0.043741784888181215,1.0,12.0
AR,05,2015Q2,0.04235635184702431,1.0,12.0
AR,05,2015Q3,0.04301230198117518,1.0,12.0
AR,05,2015Q4,0.04251100459040738,1.0,12.0
AR,05,2016Q1,0.04385620725349135,1.0,12.0
AR,05,2016Q2,0.04233365602722645,1.0,12.0
AR,05,2016Q3,0.0411788763739645,1.0,12.0
AR,05,2016Q4,0.04039747601110749,1.0,12.0
AR,05,2017Q1,0.041146352733265106,1.0,12.0
AR,05,2017Q2,0.042926730278036604,1.0,12.0
AR,05,2017Q3,0.04365122602424216,1.0,12.0
AR,05,2017Q4,0.042163838124471054,1.0,12.0
AR,05,2018Q1,0.04369833372963432,1.0,12.0
AR,05,2018Q2,0.04274249259205853,1.0,12.0
AR,05,2018Q3,0.04270045498157938,1.0,12.0
AR,05,2018Q4,0.04484055226086779,1.0,12.0
AR,05,2019Q1,0.04094983871065806,1.0,12.0
AR,05,2019Q2,0.04399545966558919,1.0,12.0
AR,05,2019Q3,0.044960137798849324,1.0,12.0
AR,05,2019Q4,0.04434480282722894,1.0,12.0
AR,05,2020Q1,0.13818994320676925,1.0,12.0
AR,05,2020Q2,0.11163400408440319,1.0,12.0
AR,05,2020Q3,0.039991383354162684,1.0,12.0
AR,05,2020Q4,0.04369433448745025,1.0,12.0
AR,05,2021Q1,0.03790737110966106,1.0,12.0
AR,05,2021Q2,0.03346117467400148,1.0,12.0
AR,05,2021Q3,0.03342993153197246,1.0,12.0
AR,05,2021Q4,0.03297928774566371,1.0,12.0
AR,05,2022Q1,0.03386212894626216,1.0,12.0
AR,05,2022Q2,0.03487526412059463,1.0,12.0
AR,05,2022Q3,0.036885310915532564,1.0,12.0
AR,05,2022Q4,0.03723303608301553,1.0,12.0
AR,05,2023Q1,0.042574344391777076,1.0,12.0
CA,06,2001Q1,0.06124431997331805,1.0,12.0
CA,06,2001Q2,0.0578974400705627,1.0,12.0
CA,06,2001Q3,0.060232354839937094,1.0,12.0
CA,06,2001Q4,0.06377542186120551,1.0,12.0
CA,06,2002Q1,0.055913184527519824,1.0,12.0
CA,06,2002Q2,0.058094193339395854,1.0,12.0
CA,06,2002Q3,0.058393297520631,1.0,12.0
CA,06,2002Q4,0.057165690761576966,1.0,12.0
CA,06,2003Q1,0.05895039210320693,1.0,12.0
CA,06,2003Q2,0.05967032245984184,1.0,12.0
CA,06,2003Q3,0.05988752618144597,1.0,12.0
CA,06,2003Q4,0.05814654735525007,1.0,12.0
CA,06,2004Q1,0.05884148474896285,1.0,12.0
CA,06,2004Q2,0.05661992750745682,1.0,12.0
CA,06,2004Q3,0.05705768129361628,1.0,12.0
CA,06,2004Q4,0.056255925222760406,1.0,12.0
CA,06,2005Q1,0.06084934985019892,1.0,12.0
CA,06,2005Q2,0.05805086166993767,1.0,12.0
CA,06,2005Q3,0.056479611837980025,1.0,12.0
CA,06,2005Q4,0.053538709081048894,1.0,12.0
CA,06,2006Q1,0.05329190520282696,1.0,12.0
CA,06,2006Q2,0.05472483981480444,1.0,12.0
CA,06,2006Q3,0.05270242890817498,1.0,12.0
CA,06,2006Q4,0.05431923434378968,1.0,12.0
CA,06,2007Q1,0.05452623755019503,1.0,12.0
CA,06,2007Q2,0.05594533464199769,1.0,12.0
CA,06,2007Q3,0.05933426722450791,1.0,12.0
CA,06,2007Q4,0.05729499442336698,1.0,12.0
CA,06,2008Q1,0.05771498382865221,1.0,12.0
CA,06,2008Q2,0.05927877981106099,1.0,12.0
CA,06,2008Q3,0.06217787944773283,1.0,12.0
CA,06,2008Q4,0.06914835468233653,1.0,12.0
