state,state_fips,quarter_label,bartik_s,weight_sum,n_supersectors
,1,2001Q1,0.19313960638470604,1.0,12.0
,1,2001Q2,0.10091004025445575,1.0,12.0
,1,2001Q3,0.10901965447496755,1.0,12.0
,1,2001Q4,0.07198756956669078,1.0,12.0
,1,2002Q1,-0.0005125615096411677,1.0,12.0
,1,2002Q2,0.04428377511351351,1.0,12.0
,1,2002Q3,0.03017346846181394,1.0,12.0
,1,2002Q4,0.02296727909534293,1.0,12.0
,1,2003Q1,0.002534270261161278,1.0,12.0
,1,2003Q2,-0.04610250804435666,1.0,12.0
,1,2003Q3,-0.07610268021933835,1.0,12.0
,1,2003Q4,-0.030162295164054262,1.0,12.0
,1,2004Q1,0.021449999351809097,1.0,12.0
,1,2004Q2,-0.02144468798456088,1.0,12.0
,1,2004Q3,0.01297514492288798,1.0,12.0
,1,2004Q4,0.026249183200318757,1.0,12.0
,1,2005Q1,0.03394861244549885,1.0,12.0
,1,2005Q2,0.058260945478628076,1.0,12.0
,1,2005Q3,0.054355791820885214,1.0,12.0
,1,2005Q4,0.05753659645748915,1.0,12.0
,1,2006Q1,0.04707957881499381,1.0,12.0
,1,2006Q2,0.08515429842261114,1.0,12.0
,1,2006Q3,0.0903546928934212,1.0,12.0
,1,2006Q4,0.0733613468371032,1.0,12.0
,1,2007Q1,0.07950098342365887,1.0,12.0
,1,2007Q2,0.07439546686741401,1.0,12.0
,1,2007Q3,0.06305042024472066,1.0,12.0
,1,2007Q4,0.050521795570980355,1.0,12.0
,1,2008Q1,0.08207099083630602,1.0,12.0
,1,2008Q2,0.022108681614479497,1.0,12.0
,1,2008Q3,0.017405803098982934,1.0,12.0
,1,2008Q4,0.05276449208513413,1.0,12.0
,1,2009Q1,0.008378104193612262,1.0,12.0
,1,2009Q2,-0.13983956326370436,1.0,12.0
,1,2009Q3,-0.19827063392675492,1.0,12.0
,1,2009Q4,-0.2268481854760534,1.0,12.0
,1,2010Q1,-0.20926894878719118,1.0,12.0
,1,2010Q2,-0.2373739084207851,1.0,12.0
,1,2010Q3,-0.23219790361457698,1.0,12.0
,1,2010Q4,-0.210162328748033,1.0,12.0
,1,2011Q1,-0.18566627117755619,1.0,12.0
,1,2011Q2,-0.2003351586836902,1.0,12.0
,1,2011Q3,-0.1927541259786261,1.0,12.0
,1,2011Q4,-0.20603768315260748,1.0,12.0
,1,2012Q1,-0.18380876280811265,1.0,12.0
,1,2012Q2,-0.14994342895938234,1.0,12.0
,1,2012Q3,-0.16931561783735022,1.0,12.0
,1,2012Q4,-0.15285085274603952,1.0,12.0
,1,2013Q1,-0.17417281650963168,1.0,12.0
,1,2013Q2,-0.12545281118864113,1.0,12.0
,1,2013Q3,-0.13338728284860382,1.0,12.0
,1,2013Q4,-0.17561734756559408,1.0,12.0
,1,2014Q1,-0.09682857560172996,1.0,12.0
,1,2014Q2,-0.11157057478810627,1.0,12.0
,1,2014Q3,-0.09314979840409034,1.0,12.0
,1,2014Q4,-0.03160611148874196,1.0,12.0
,1,2015Q1,-0.04114794190644718,1.0,12.0
,1,2015Q2,-0.04739770927929944,1.0,12.0
,1,2015Q3,-0.02603959346868524,1.0,12.0
,1,2015Q4,0.018578508662112865,1.0,12.0
,1,2016Q1,0.00990522502213232,1.0,12.0
,1,2016Q2,0.00032148110290738973,1.0,12.0
,1,2016Q3,-0.016029551220591007,1.0,12.0
,1,2016Q4,-0.014025887147823496,1.0,12.0
,1,2017Q1,0.036909674313156636,1.0,12.0
,1,2017Q2,0.05178662324355095,1.0,12.0
,1,2017Q3,0.03018724762661747,1.0,12.0
,1,2017Q4,0.04386153457634025,1.0,12.0
,1,2018Q1,0.06888614593860624,1.0,12.0
,1,2018Q2,0.09703484218664746,1.0,12.0
,1,2018Q3,0.0962256672034639,1.0,12.0
,1,2018Q4,0.13604995403544543,1.0,12.0
,1,2019Q1,0.08338249293480417,1.0,12.0
,1,2019Q2,0.10312496262050719,1.0,12.0
,1,2019Q3,0.10832955758156054,1.0,12.0
,1,2019Q4,0.09667763938819403,1.0,12.0
,1,2020Q1,0.5809609694840511,1.0,12.0
,1,2020Q2,0.24296202273633397,1.0,12.0
,1,2020Q3,-0.015783000914667826,1.0,12.0
,1,2020Q4,0.12817703809688297,1.0,12.0
,1,2021Q1,0.08314824439344236,1.0,12.0
,1,2021Q2,0.14579145635590138,1.0,12.0
,1,2021Q3,0.2184092742810547,1.0,12.0
,1,2021Q4,0.20455795485775916,1.0,12.0
,2,2001Q1,0.11307168486158277,1.0,12.0
,2,2001Q2,0.028430697982350095,1.0,12.0
,2,2001Q3,0.05340975744129836,1.0,12.0
,2,2001Q4,0.014816249991123267,1.0,12.0
,2,2002Q1,-0.06006494456764573,1.0,12.0
,2,2002Q2,-0.017623962346422353,1.0,12.0
,2,2002Q3,-0.024147185076155205,1.0,12.0
,2,2002Q4,-0.044346846034484376,1.0,12.0
,2,2003Q1,-0.04366052272560019,1.0,12.0
,2,2003Q2,-0.0883518746206346,1.0,12.0
,2,2003Q3,-0.12127305420467681,1.0,12.0
,2,2003Q4,-0.06671280459045513,1.0,12.0
,2,2004Q1,-0.016300430412443813,1.0,12.0
,2,2004Q2,-0.0541391366004023,1.0,12.0
,2,2004Q3,-0.020253569882543804,1.0,12.0
,2,2004Q4,-0.0011824261579806818,1.0,12.0
,2,2005Q1,0.012659191228936793,1.0,12.0
,2,2005Q2,0.03319137893669505,1.0,12.0
,2,2005Q3,0.020132654047621407,1.0,12.0
,2,2005Q4,0.03835786657399631,1.0,12.0
,2,2006Q1,0.01652960932127811,1.0,12.0
,2,2006Q2,0.05539190548125892,1.0,12.0
,2,2006Q3,0.06707600357012809,1.0,12.0
,2,2006Q4,0.03265408691354729,1.0,12.0
,2,2007Q1,0.03917318462864753,1.0,12.0
,2,2007Q2,0.040325976251058104,1.0,12.0
,2,2007Q3,0.030431565446159985,1.0,12.0
,2,2007Q4,0.012417748754051555,1.0,12.0
,2,2008Q1,0.06626242316525245,1.0,12.0
,2,2008Q2,-0.0036689613048740063,1.0,12.0
,2,2008Q3,0.00748038992271065,1.0,12.0
,2,2008Q4,0.026932036550644002,1.0,12.0
,2,2009Q1,-0.02523129142771139,1.0,12.0
,2,2009Q2,-0.1632920924406276,1.0,12.0
,2,2009Q3,-0.19682300547014567,1.0,12.0
,2,2009Q4,-0.2111841222460195,1.0,12.0
,2,2010Q1,-0.21912137472643312,1.0,12.0
,2,2010Q2,-0.2315044232171015,1.0,12.0
,2,2010Q3,-0.24027664330388693,1.0,12.0
,2,2010Q4,-0.20811686367622306,1.0,12.0
,2,2011Q1,-0.19266050426219622,1.0,12.0
,2,2011Q2,-0.19914231331826213,1.0,12.0
,2,2011Q3,-0.1710407054626899,1.0,12.0
,2,2011Q4,-0.17967271524571568,1.0,12.0
,2,2012Q1,-0.15142007263533694,1.0,12.0
,2,2012Q2,-0.10874977396948445,1.0,12.0
,2,2012Q3,-0.1250291901629354,1.0,12.0
,2,2012Q4,-0.11043047571447528,1.0,12.0
,2,2013Q1,-0.12245619668068333,1.0,12.0
,2,2013Q2,-0.08778084146291615,1.0,12.0
,2,2013Q3,-0.08946787017305415,1.0,12.0
,2,2013Q4,-0.12361939292421238,1.0,12.0
,2,2014Q1,-0.04369162685260505,1.0,12.0
,2,2014Q2,-0.06771107694195523,1.0,12.0
,2,2014Q3,-0.052917608690868215,1.0,12.0
,2,2014Q4,0.01302440553071105,1.0,12.0
,2,2015Q1,0.009742169572369126,1.0,12.0
,2,2015Q2,0.007039453424041414,1.0,12.0
,2,2015Q3,0.0333609777632261,1.0,12.0
,2,2015Q4,0.06957887413760938,1.0,12.0
,2,2016Q1,0.05557725579234009,1.0,12.0
,2,2016Q2,0.04369294055879867,1.0,12.0
,2,2016Q3,0.027169060440617305,1.0,12.0
,2,2016Q4,0.02164218809915623,1.0,12.0
,2,2017Q1,0.0659871573638915,1.0,12.0
,2,2017Q2,0.0715322674062192,1.0,12.0
,2,2017Q3,0.05237477509387796,1.0,12.0
,2,2017Q4,0.06695145691004312,1.0,12.0
,2,2018Q1,0.08733812509147013,1.0,12.0
,2,2018Q2,0.1345639085044376,1.0,12.0
,2,2018Q3,0.13454582982284355,1.0,12.0
,2,2018Q4,0.1642433471604986,1.0,12.0
,2,2019Q1,0.12346863953121207,1.0,12.0
,2,2019Q2,0.12592201747279202,1.0,12.0
,2,2019Q3,0.13970719335184667,1.0,12.0
,2,2019Q4,0.13456993825614877,1.0,12.0
,2,2020Q1,0.6258518387107197,1.0,12.0
,2,2020Q2,0.26915660583303147,1.0,12.0
,2,2020Q3,-0.015226337271012342,1.0,12.0
,2,2020Q4,0.12015375214325644,1.0,12.0
,2,2021Q1,0.07971596700522798,1.0,12.0
,2,2021Q2,0.13837709335464465,1.0,12.0
,2,2021Q3,0.19096896271509065,1.0,12.0
,2,2021Q4,0.183291624686397,1.0,12.0
,4,2001Q1,0.15532348789102005,1.0,12.0
,4,2001Q2,0.05474960904902449,1.0,12.0
,4,2001Q3,0.07606322556427768,1.0,12.0
,4,2001Q4,0.03267393508915777,1.0,12.0
,4,2002Q1,-0.03481431294599447,1.0,12.0
,4,2002Q2,0.01118536160064336,1.0,12.0
,4,2002Q3,-0.0016955737397946794,1.0,12.0
,4,2002Q4,-0.006525178793427214,1.0,12.0
,4,2003Q1,-0.02626599050431227,1.0,12.0
,4,2003Q2,-0.06974964001625768,1.0,12.0
,4,2003Q3,-0.09726230591640261,1.0,12.0
,4,2003Q4,-0.0507870291605846,1.0,12.0
,4,2004Q1,0.004161416774045351,1.0,12.0
,4,2004Q2,-0.03418969916518709,1.0,12.0
,4,2004Q3,-0.004886733725072503,1.0,12.0
,4,2004Q4,0.008881745486428446,1.0,12.0
,4,2005Q1,0.02773803240134507,1.0,12.0
,4,2005Q2,0.04794385664008286,1.0,12.0
,4,2005Q3,0.041683630481620715,1.0,12.0
,4,2005Q4,0.04287238422579476,1.0,12.0
,4,2006Q1,0.03990972910878347,1.0,12.0
,4,2006Q2,0.08088384389722061,1.0,12.0
,4,2006Q3,0.08480978584038301,1.0,12.0
,4,2006Q4,0.0662198636307906,1.0,12.0
,4,2007Q1,0.06708043152655298,1.0,12.0
,4,2007Q2,0.06733745627422463,1.0,12.0
,4,2007Q3,0.06296710400572714,1.0,12.0
,4,2007Q4,0.04138853367864506,1.0,12.0
,4,2008Q1,0.08481090250282589,1.0,12.0
,4,2008Q2,0.01623868581199931,1.0,12.0
,4,2008Q3,0.020312903537685355,1.0,12.0
,4,2008Q4,0.044138386571331956,1.0,12.0
,4,2009Q1,-0.015401874581950714,1.0,12.0
,4,2009Q2,-0.16013162865484834,1.0,12.0
,4,2009Q3,-0.20228512787284422,1.0,12.0
,4,2009Q4,-0.22042709174479028,1.0,12.0
,4,2010Q1,-0.1952172469789966,1.0,12.0
,4,2010Q2,-0.21760383210873227,1.0,12.0
,4,2010Q3,-0.22081275636153314,1.0,12.0
,4,2010Q4,-0.19731733175424984,1.0,12.0
,4,2011Q1,-0.1687609842207199,1.0,12.0
,4,2011Q2,-0.17794671401461057,1.0,12.0
,4,2011Q3,-0.167650621383074,1.0,12.0
,4,2011Q4,-0.18331972188504547,1.0,12.0
,4,2012Q1,-0.1594590748067121,1.0,12.0
,4,2012Q2,-0.1263533753888921,1.0,12.0
,4,2012Q3,-0.14080750430634703,1.0,12.0
,4,2012Q4,-0.12938882805775967,1.0,12.0
,4,2013Q1,-0.14439179169721983,1.0,12.0
,4,2013Q2,-0.10334780931071591,1.0,12.0
,4,2013Q3,-0.10834714292751939,1.0,12.0
,4,2013Q4,-0.1455732123362404,1.0,12.0
,4,2014Q1,-0.07768021702914382,1.0,12.0
,4,2014Q2,-0.09175391921816328,1.0,12.0
,4,2014Q3,-0.06834327493959892,1.0,12.0
,4,2014Q4,-0.005012376860148384,1.0,12.0
,4,2015Q1,-0.015657897771946386,1.0,12.0
,4,2015Q2,-0.023477391603436114,1.0,12.0
,4,2015Q3,-0.007459600171830663,1.0,12.0
,4,2015Q4,0.04105025550214416,1.0,12.0
,4,2016Q1,0.031288522337881916,1.0,12.0
,4,2016Q2,0.02076598159534443,1.0,12.0
,4,2016Q3,0.0022522762341175024,1.0,12.0
,4,2016Q4,0.00627283941719902,1.0,12.0
,4,2017Q1,0.05346900599055965,1.0,12.0
,4,2017Q2,0.06331960181805489,1.0,12.0
,4,2017Q3,0.04526961512558585,1.0,12.0
,4,2017Q4,0.04813681502722911,1.0,12.0
,4,2018Q1,0.0699086643688366,1.0,12.0
,4,2018Q2,0.102021428132848,1.0,12.0
,4,2018Q3,0.10256709430486763,1.0,12.0
,4,2018Q4,0.13754635091005601,1.0,12.0
,4,2019Q1,0.08885496443520073,1.0,12.0
,4,2019Q2,0.11365909014698534,1.0,12.0
,4,2019Q3,0.1225054426862025,1.0,12.0
,4,2019Q4,0.11418405681857349,1.0,12.0
,4,2020Q1,0.5772358894485089,1.0,12.0
,4,2020Q2,0.22268129318466404,1.0,12.0
,4,2020Q3,-0.029144699489740303,1.0,12.0
,4,2020Q4,0.11257286954404479,1.0,12.0
,4,2021Q1,0.06970419427675845,1.0,12.0
,4,2021Q2,0.12803722260229589,1.0,12.0
,4,2021Q3,0.1947426047829581,1.0,12.0
,4,2021Q4,0.18182912116330538,1.0,12.0
,5,2001Q1,0.18605514422229408,1.0,12.0
,5,2001Q2,0.09928036442023964,1.0,12.0
,5,2001Q3,0.10382370083243606,1.0,12.0
,5,2001Q4,0.06990631862782175,1.0,12.0
,5,2002Q1,-0.0036724818600365307,1.0,12.0
,5,2002Q2,0.038465916760711816,1.0,12.0
,5,2002Q3,0.025527902491857775,1.0,12.0
,5,2002Q4,0.015235280914865708,1.0,12.0
,5,2003Q1,-0.002582374227379751,1.0,12.0
,5,2003Q2,-0.05053930848856244,1.0,12.0
,5,2003Q3,-0.08111372040149858,1.0,12.0
,5,2003Q4,-0.035575868096794715,1.0,12.0
,5,2004Q1,0.015557761997371656,1.0,12.0
,5,2004Q2,-0.02875942417468561,1.0,12.0
,5,2004Q3,0.008517753273899857,1.0,12.0
,5,2004Q4,0.021484556336218846,1.0,12.0
,5,2005Q1,0.027399283427600604,1.0,12.0
,5,2005Q2,0.053778932624948726,1.0,12.0
,5,2005Q3,0.04723623394002444,1.0,12.0
,5,2005Q4,0.05764819432499976,1.0,12.0
,5,2006Q1,0.038268123729850494,1.0,12.0
,5,2006Q2,0.07736705464994853,1.0,12.0
,5,2006Q3,0.08512786573035967,1.0,12.0
,5,2006Q4,0.06396110482662154,1.0,12.0
,5,2007Q1,0.07345068353643312,1.0,12.0
,5,2007Q2,0.06650715562320487,1.0,12.0
,5,2007Q3,0.05063869012102099,1.0,12.0
,5,2007Q4,0.04105587012625292,1.0,12.0
,5,2008Q1,0.07541315108421617,1.0,12.0
,5,2008Q2,0.015547391165972969,1.0,12.0
,5,2008Q3,0.012341221779211164,1.0,12.0
,5,2008Q4,0.04895456582158779,1.0,12.0
,5,2009Q1,0.011443792653285356,1.0,12.0
,5,2009Q2,-0.13707391450283665,1.0,12.0
,5,2009Q3,-0.19304751060302117,1.0,12.0
,5,2009Q4,-0.2229547841667811,1.0,12.0
,5,2010Q1,-0.21622866978030802,1.0,12.0
,5,2010Q2,-0.24204805580827493,1.0,12.0
,5,2010Q3,-0.234962312097838,1.0,12.0
,5,2010Q4,-0.21218513170866884,1.0,12.0
,5,2011Q1,-0.1920665388799418,1.0,12.0
,5,2011Q2,-0.2075839274275222,1.0,12.0
,5,2011Q3,-0.1975572052485451,1.0,12.0
,5,2011Q4,-0.2075453028731582,1.0,12.0
,5,2012Q1,-0.18450754901403962,1.0,12.0
,5,2012Q2,-0.14792887967025176,1.0,12.0
,5,2012Q3,-0.1707698889653486,1.0,12.0
,5,2012Q4,-0.15180248719120812,1.0,12.0
,5,2013Q1,-0.17353156808215273,1.0,12.0
,5,2013Q2,-0.12409106134398806,1.0,12.0
,5,2013Q3,-0.13225648975275514,1.0,12.0
,5,2013Q4,-0.17595715971262738,1.0,12.0
,5,2014Q1,-0.09236758713681756,1.0,12.0
,5,2014Q2,-0.1110739946151961,1.0,12.0
,5,2014Q3,-0.0945711394150463,1.0,12.0
,5,2014Q4,-0.03282990687128453,1.0,12.0
,5,2015Q1,-0.041250064053590045,1.0,12.0
,5,2015Q2,-0.04583936207913254,1.0,12.0
,5,2015Q3,-0.02174363895585509,1.0,12.0
,5,2015Q4,0.021092090922517397,1.0,12.0
,5,2016Q1,0.010435315113300462,1.0,12.0
,5,2016Q2,0.0036898781306566636,1.0,12.0
,5,2016Q3,-0.011249523163241935,1.0,12.0
,5,2016Q4,-0.011665062269367829,1.0,12.0
,5,2017Q1,0.03718534965326985,1.0,12.0
,5,2017Q2,0.05404268825777776,1.0,12.0
,5,2017Q3,0.032366120105029615,1.0,12.0
,5,2017Q4,0.05042145319510832,1.0,12.0
,5,2018Q1,0.07545495111945963,1.0,12.0
,5,2018Q2,0.10694069203392505,1.0,12.0
,5,2018Q3,0.10319654488722169,1.0,12.0
,5,2018Q4,0.14610715341853953,1.0,12.0
,5,2019Q1,0.09529948613526149,1.0,12.0
,5,2019Q2,0.10659244981165678,1.0,12.0
,5,2019Q3,0.1140748065236731,1.0,12.0
,5,2019Q4,0.10295353358001617,1.0,12.0
,5,2020Q1,0.5923667156112595,1.0,12.0
,5,2020Q2,0.2628355078636776,1.0,12.0
,5,2020Q3,0.0016563023200996205,1.0,12.0
,5,2020Q4,0.1398642514899375,1.0,12.0
,5,2021Q1,0.09714358802052396,1.0,12.0
,5,2021Q2,0.15952506079804651,1.0,12.0
,5,2021Q3,0.2289707617661296,1.0,12.0
,5,2021Q4,0.21672317683740333,1.0,12.0
,6,2001Q1,0.16119754448353205,1.0,12.0
,6,2001Q2,0.06305431854339986,1.0,12.0
,6,2001Q3,0.08619261601666692,1.0,12.0
,6,2001Q4,0.04297573824421642,1.0,12.0
,6,2002Q1,-0.02812154990978301,1.0,12.0
,6,2002Q2,0.018859468652804644,1.0,12.0
,6,2002Q3,0.004826812967783962,1.0,12.0
,6,2002Q4,-0.0027029672603118594,1.0,12.0
