,Mining,Construction,Manufacturing,Wholesale trade,Retail trade,"Transport, warehousing & utilities",Information,Financial activities,Professional & business services,Education & health,Leisure & hospitality,Other services
AK,0.0571062584928033,0.07786981019396048,0.05715818900977159,0.028414647867819526,0.15480054353941095,0.09279117873618432,0.030063441781562936,0.059287340205471745,0.10534105367018928,0.16035278131193795,0.13575935398436892,0.04105540120651901
AL,0.013901043975515668,0.069876752714095,0.19230285578556014,0.05161257953025548,0.14982299794609027,0.04210832500295321,0.019246671129294696,0.06133276767194349,0.13587876724769746,0.12560604309272824,0.10778199342291614,0.03052920248095021
AR,0.01905268606925112,0.058499449474947,0.20420987329706988,0.0492442605709027,0.13683834283742255,0.0654713973476196,0.020450567780315853,0.052557681878687285,0.11731113703965423,0.14972843502982697,0.10009079554978555,0.026545373124517265
AZ,0.01710854069249736,0.10810403609452349,0.08437979002600993,0.04764561904615837,0.14551078424031258,0.037120756245584946,0.020247234133539273,0.081934875043192,0.1779487614385483,0.12829353053843162,0.12011885354237507,0.03158721895882709
CA,0.03075179545324608,0.07098458856990499,0.11411836484544259,0.05343358320997508,0.12809521850345604,0.03637682507945549,0.0358868524206779,0.07132792818965598,0.169658013739844,0.12031252301875368,0.11557828337975949,0.05347602358982869
CO,0.01878677847534771,0.08868466100852107,0.07889822743883214,0.05097303599503167,0.13144238276910578,0.03713501892749152,0.040009585414934205,0.08291436817726881,0.1755585673084451,0.12068788577063139,0.14017346850249582,0.0347360202118948
CT,0.004118091249266632,0.04712996830725957,0.13594613637703412,0.04748296760827885,0.13421973820505118,0.03395319917020602,0.026478456515819704,0.10128553502903999,0.14447636799510433,0.19140422139442442,0.09296934871278068,0.040535969435734474
DE,0.0038592128413523167,0.08027766569774623,0.0912514444599984,0.041523593075375426,0.1473417818803644,0.03392868416213086,0.01841772273504555,0.12085704169102691,0.1707605613699931,0.1429637986072798,0.1123371294153814,0.03648136406430558
FL,0.014123398030741119,0.09228689249041039,0.05849315042601656,0.05055089263347484,0.14642966237807717,0.03467422814621478,0.024322264884700087,0.07913528590136201,0.1958412734829607,0.13663469088992047,0.13143755491225018,0.03607070582387167
GA,0.00985837350260106,0.06517891232759032,0.13360348160167995,0.06431596907364101,0.14031164988307163,0.05276004629408677,0.034591108671789245,0.06772926311268077,0.1641641411731017,0.12349574046675893,0.11448539588603064,0.029505918006967977
HI,0.015164597949271452,0.07140173092682536,0.030279226879334813,0.03585377066218944,0.14003118066798584,0.06548140153105075,0.02139873278567288,0.059806919709779936,0.15645299914053287,0.13930762926985268,0.21548040215066658,0.04934140832683736
IA,0.013136752350369294,0.05999337276885234,0.18637031709930446,0.05462870171574338,0.1452564907762971,0.046605882111071424,0.026577454353131448,0.08120293113887597,0.09430824042175634,0.1510686208667483,0.10809320370189715,0.032758032695952795
ID,0.04521792653588197,0.09779389963331744,0.12381822753834779,0.05059243440435665,0.15112237889529842,0.03537904917749762,0.0198766715582695,0.055974448568737026,0.15312468332814147,0.12569104836681766,0.11208213388980007,0.02932709810353434
IL,0.005161007038626746,0.05497716052120278,0.13638463016744956,0.061602067679011135,0.12564110554823738,0.04882790104131083,0.023335502814132228,0.07977616391845789,0.1708288335584719,0.14989194547291684,0.10445211020962458,0.03912157203055812
IN,0.007534016960761197,0.060410080216348354,0.22657870296853422,0.049442287056151446,0.13247005721489993,0.049986045146357544,0.015989936465315772,0.05477721156360125,0.11227481758439879,0.14426391355048368,0.11265055602873737,0.03362237524441044
KS,0.016815049192767134,0.059733942825149274,0.16825547087662948,0.05531930176106791,0.13673139754607103,0.04374399133647411,0.036265622525167324,0.06614226305146179,0.12860934202141572,0.148429183411116,0.10615489736005569,0.033799538092624586
KY,0.020323580796937753,0.05617720293123114,0.1761791208872843,0.05117633512365076,0.14310248301021852,0.05944178024140583,0.020062225517865018,0.06076206336953813,0.12080421788250899,0.1477109802308706,0.11373344327813807,0.030526566730350913
LA,0.03841383058216154,0.08859724203518783,0.10330548196454045,0.04946878608790164,0.14956117111609266,0.05214727260376333,0.018349296922763398,0.06201005366483255,0.1318803070443584,0.1496175531553563,0.12510155560084232,0.031547449222199576
MA,0.0029969861647503523,0.05050531122589998,0.10732831230603387,0.049024384210758394,0.1257483055018715,0.028455953444902954,0.031254693993731424,0.08035436134977661,0.16944802039384557,0.20489957049173158,0.10619189530337136,0.043792205613326404
MD,0.00329195518503441,0.09082902284158678,0.0657199662749441,0.04579796993685234,0.14456144886544514,0.03646521669506028,0.024490217225631813,0.07602318308190674,0.19038450036561202,0.16842559168372534,0.11075005450416643,0.04326087334003461
ME,0.011710911675029217,0.06276423220560849,0.12065326119422433,0.043203281140059856,0.17489791540961128,0.03247663129872447,0.022585902403723757,0.06485303226815221,0.1037905105933435,0.210824474642729,0.11974717901738194,0.03249266815141195
MI,0.008629054394357353,0.048745758544997034,0.18054686089918706,0.04698701998660088,0.13727560718057022,0.03434295791236287,0.018146933651560074,0.05847138253703877,0.16179310126179203,0.1565371872809051,0.1121162458329382,0.036407890517690424
MN,0.009757952594149149,0.055057225223529904,0.1506129375963228,0.057889954374896,0.1311632441304615,0.03847467358056442,0.025268919781884648,0.07771905843445867,0.1397973398569304,0.16993064322074727,0.10637435933624491,0.03795369186981033
MO,0.007287226065809979,0.06481110391016967,0.13459860403075377,0.053749814738972695,0.13884360285999178,0.044314437731685904,0.027617705429266243,0.06959631951015668,0.1453126109921835,0.15495056928850118,0.1220683812702636,0.03684962417224496
MS,0.02321942122764447,0.06453671250112339,0.19740046733171565,0.040878044396512984,0.16026444684101734,0.05144580749528175,0.015391614990563494,0.0513660465534286,0.1054641862137144,0.12954188011144063,0.133835490248944,0.026655882088613282
MT,0.033889193953931966,0.08709574867778389,0.05828733273604809,0.0477731857460767,0.1623045576717436,0.03975318632409468,0.022357735325568624,0.06360509811855149,0.10986965694633104,0.1652668998005838,0.16403861160082078,0.04575879309846536
NC,0.010046740068953171,0.07455759513942253,0.1685111619620112,0.05383876259381808,0.13766460407946543,0.038885411326002844,0.022277646726429328,0.061626439924153946,0.14534237283181733,0.14245004183223994,0.11459537202683596,0.030203851488850218
ND,0.027886289915796218,0.06724888900343516,0.09576109247688722,0.07016490981322003,0.15913299926731295,0.04474545568347919,0.027573333136968296,0.06887626425334036,0.10428088054992028,0.1770157177939861,0.11624687503451729,0.041067293071136914
NE,0.015836429935288703,0.0630691300519374,0.1356011015485014,0.05454963315121172,0.14232076119620363,0.05438929130239003,0.026058222797671303,0.0839309407657125,0.13538998478088618,0.14733678870017544,0.1076334745677785,0.03388424120224318
NH,0.004465589454111262,0.05442067479196933,0.14484146787769903,0.05178679028364626,0.18171954767423376,0.028780502230946386,0.023161548613190492,0.06938853215926777,0.11368584873924728,0.17387704102945145,0.11824755187366226,0.0356249052725747
NJ,0.003644212786046405,0.052192262786589734,0.09714228276893765,0.06947488080016324,0.14006569423264764,0.0513274678199681,0.029324548344604344,0.08047513314522156,0.17999084796391346,0.15765891399863083,0.10121723287343748,0.03748652247983956
NM,0.048077987546508064,0.0949671014104438,0.060420774645062646,0.037705425660097644,0.15114739947920594,0.03556513214788241,0.025444463875728206,0.05434163512648429,0.1642298232412772,0.15412038589459937,0.13897628509864762,0.03500358587406282
NV,0.012283873813701695,0.12701429472225656,0.044692240579650856,0.03471981970844921,0.12203653322969296,0.044011878324547914,0.013483623724987794,0.05832083037990895,0.14074160375168646,0.07769114399578086,0.2996884563425326,0.025315701426804137
NY,0.0038547307419301,0.0481637388733753,0.08108809175747168,0.050527881805492794,0.12603696968008235,0.03792510406681419,0.03830902594151346,0.1036610606125457,0.1581114663230281,0.20998917894723537,0.0969512610246477,0.04538149022586326
OH,0.005461316333800321,0.05047189535919678,0.17445908168051366,0.05214169074512344,0.13255675604914352,0.042872407678295886,0.01943519034022821,0.06551737672623184,0.14381159357684645,0.16760820613980365,0.10977276529737598,0.0358917200734403
OK,0.04139493703817153,0.059111526986937675,0.12530515821231206,0.04942199321078051,0.14300496393489398,0.04469051984944549,0.02507899076447954,0.06768742735577105,0.14757866557009722,0.1513173519526349,0.11505922733814761,0.03034923778632841
OR,0.03486165274038626,0.06967793542514883,0.1442746828807612,0.05595733260368977,0.137627620731463,0.03877185353429243,0.024322537819431368,0.062288898366189394,0.13560132424722351,0.13867671601765383,0.11490141086912972,0.04303803476463062
