outcome,h,HP-1600,HP-100k,Hamilton,FD
u,-4,-0.2654,-0.4111,-0.3325,-0.0127
u,-3,-0.3427,-0.4348,-0.3336,-0.1149
u,-2,-0.2708,-0.3651,-0.2575,-0.0182
u,-1,-0.1967,-0.3093,-0.1757,-0.4139
u,0,0.3855,0.0182,0.1854,0.6011
u,1,0.2156,-0.0475,0.1718,-0.1294
u,2,0.1981,-0.0314,0.1575,-0.0255
u,3,0.2013,-0.0032,0.1330,-0.0155
u,4,0.2152,0.0315,0.1223,0.1274
v,-4,0.2958,0.5573,0.4477,0.1747
v,-3,0.2108,0.4902,0.3571,0.0677
v,-2,0.0886,0.3724,0.2286,0.0320
v,-1,-0.0288,0.2808,0.0853,0.1370
v,0,-0.2246,0.1478,-0.0573,-0.1434
v,1,-0.3121,0.0653,-0.1433,0.0031
v,2,-0.3844,-0.0053,-0.2046,-0.1968
v,3,-0.2918,0.0213,-0.1437,-0.1686
v,4,-0.0582,0.1326,-0.0283,0.1741
