h,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,outcome
0,0.24349227068210133,0.16223763067173885,1.5008371958708389,0.13339767548118586,-0.023388631772909063,0.5103731731371117,-0.07449348543450679,0.5614780267987094,2850,0.6633270049012945,unemp
1,0.4737345166612762,0.32436232827098865,1.4605102854777097,0.1441498828379314,-0.05984151334450016,1.0073105466670524,-0.16201564674986157,1.109484680072414,2800,0.741006672732601,unemp
2,0.5791876960127779,0.48392206823801454,1.196861507311767,0.23136053965932712,-0.21686410623875607,1.3752394982643117,-0.3692995577337306,1.5276749497592863,2750,0.7829613037965061,unemp
3,0.6234806732979975,0.6370744685119865,0.9786621566459256,0.327746936431649,-0.4245068274042202,1.671468174000215,-0.6251852849854959,1.872146631581491,2700,0.8149537242151412,unemp
4,0.5719679795873571,0.7933780244994365,0.7209274292015172,0.47095416574971427,-0.7331388707142159,1.8770748298889302,-0.9830529484315385,2.1269889076062527,2650,0.838269962215354,unemp
5,0.5297250831119444,0.9234505474544696,0.5736366550132587,0.5662137019420836,-0.989351067450658,2.048801233674547,-1.280237989898816,2.3396881561227048,2600,0.8555534814668901,unemp
6,0.5099439144241058,1.052437555155649,0.484536029644712,0.6280055006858636,-1.221315863806937,2.241203692655149,-1.5528336936809664,2.5727215225291777,2550,0.8692317297293644,unemp
7,0.5202527726078262,1.1279164363312009,0.4612511670634609,0.6446184156965518,-1.3351697651569991,2.375675310372652,-1.6904634426013274,2.73096898781698,2500,0.8813915926536449,unemp
8,0.5908916457136926,1.1947431711842238,0.49457629050769425,0.6208992417704995,-1.3744608708843555,2.5562441623117405,-1.7508049698073862,2.9325882612347716,2450,0.89255450541434,unemp
9,0.5575356817990436,1.2535571899812423,0.4447628606457008,0.6564911364473622,-1.5045658957201002,2.6196372593181874,-1.8994364105641912,3.0145077741622783,2400,0.902323063855676,unemp
10,0.6745877095432644,1.2496514413314068,0.5398206949807888,0.5893206936141108,-1.3810889114468998,2.7302643305334287,-1.7747291154662928,3.1239045345528216,2350,0.911101697314424,unemp
11,0.6829470607980209,1.2069249319789193,0.565857115635382,0.5714909160007213,-1.3024444523073013,2.668338573903343,-1.6826258058806607,3.0485199274767023,2300,0.919044008047886,unemp
12,0.7664892660461625,1.1378876766484092,0.6736071422302577,0.5005611111969561,-1.1053359620404706,2.638314494132796,-1.4637705801847196,2.9967491122770444,2250,0.9264269565219505,unemp
13,0.939848104955534,1.106947646746008,0.8490447653222976,0.39585638343486973,-0.8810807739416492,2.760776983852717,-1.2297692826666418,3.10946549257771,2200,0.9332944666963608,unemp
14,1.0248887476401205,1.036462828766849,0.98883309578936,0.3227448087281518,-0.6800926056813459,2.7298701009615867,-1.0065783967429034,3.056355892023144,2150,0.939651415104597,unemp
15,1.178109590579512,0.9756942734774731,1.2074577279013952,0.22725591523548605,-0.42690748929093125,2.7831266704499553,-0.7342511854363352,3.0904703665953592,2100,0.9454658872596194,unemp
16,1.2675576261784969,0.8849035963108579,1.4324245391960373,0.15202235985869117,-0.18810878975286438,2.723224042109858,-0.46685342259078455,3.0019686749477783,2050,0.9507194649847344,unemp
17,1.3486384488440148,0.7732283228406421,1.7441658679669982,0.08113017114769,0.07667785777115843,2.620599039916871,-0.16688906392364378,2.8641659616116737,2000,0.9554688235373612,unemp
18,1.2100855688691545,0.6895911851072847,1.7547868867855276,0.07929576742747672,0.07570806936767127,2.344463068370638,-0.1415131539411234,2.5616842916794322,1950,0.9594604767697512,unemp
19,1.0695911925286445,0.5992074431081389,1.7850098573218416,0.0742597180037394,0.08389494861575608,2.055287436441533,-0.10485539596330762,2.2440377810205967,1900,0.963037549177498,unemp
20,1.028949381806299,0.539454091715458,1.9073900775027053,0.05647009333421546,0.14154740093437046,1.9163513626782274,-0.028380637955998766,2.0862794015685964,1850,0.966329315272626,unemp
