h,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,outcome
0,-0.0986051620845378,0.07365522701459923,-1.3387395040543864,0.1806554910805983,-0.21976801052355355,0.022557686354477927,-0.24296940703315228,0.04575908286407669,2850,0.38070021206977156,vacancy
1,-0.020949275275896892,0.09767324265317814,-0.21448325771556878,0.8301702215928375,-0.18162175944037495,0.13972320888858114,-0.21238883087612603,0.17049028032433228,2800,0.5702865810152059,vacancy
2,-0.010636755691161308,0.12001040124313316,-0.08863194840597144,0.929374416838737,-0.20805386573611537,0.18678035435379273,-0.2458571421277023,0.22458363074537965,2750,0.6807598107838806,vacancy
3,-0.06331246605060199,0.1235430591859157,-0.5124728695225625,0.6083201033315249,-0.2665407984114333,0.13991586631022934,-0.3054568620549968,0.17883192995379277,2700,0.7483109901381149,vacancy
4,-0.07790336875648673,0.1331897263138705,-0.5849052394093989,0.5586114354252414,-0.2970004685428037,0.14119373102983024,-0.3389552323316729,0.18314849481869944,2650,0.7972971681523611,vacancy
5,-0.13252976594423516,0.14247120852163736,-0.9302213922338395,0.3522564680062481,-0.3668949039623286,0.10183537207385832,-0.4117733346466444,0.14671380275817408,2600,0.8304296095662517,vacancy
6,-0.25543386149339,0.14739877545726218,-1.7329442575148952,0.08310557691718842,-0.49790484712058625,-0.012962875866193685,-0.5443354613896239,0.033467738402843894,2550,0.856668382022181,vacancy
7,-0.2918302163625689,0.16585083666183253,-1.759594478004392,0.07847658847406092,-0.5646548426712834,-0.019005590053854382,-0.6168978562197607,0.033237423494622886,2500,0.8772157917113808,vacancy
8,-0.24033441824577134,0.1603284600154265,-1.4990128279324009,0.13387030421906188,-0.5040747349711479,0.023405898479605225,-0.5545781998760073,0.07390936338446458,2450,0.8922364825293183,vacancy
9,-0.28652889079714,0.1685220004860759,-1.7002461991353728,0.08908462560431289,-0.5637475815967349,-0.009310199997545121,-0.6168320117498487,0.04377423015556875,2400,0.904228677036703,vacancy
10,-0.15663242658209625,0.18841301264191915,-0.8313248877336183,0.40579011868466475,-0.4665718323780533,0.15330697921386077,-0.5259219313602578,0.21265707819606527,2350,0.9130551096693487,vacancy
11,-0.12624245940778211,0.19966586277216744,-0.6322686194576661,0.5272113652134969,-0.4546928036679976,0.20220788485243335,-0.5175875504412303,0.26510263162566605,2300,0.9195972196686101,vacancy
12,-0.02570196727017106,0.20084712935085544,-0.12796780991214893,0.8981744475243079,-0.35609549505232824,0.30469156051198615,-0.4193623407978477,0.3679584062575056,2250,0.9243010087835059,vacancy
13,-0.04841448544883076,0.21807468359555132,-0.2220087387063319,0.8243070805752551,-0.4071473399635127,0.3103183690658512,-0.47584086529611136,0.37901189439844984,2200,0.9282843722617986,vacancy
14,0.004522431872792512,0.21441172610756354,0.021092278649553674,0.9831720442712758,-0.3481848575741495,0.3572297213197345,-0.41572455129803204,0.42476941504361704,2150,0.9303734593658214,vacancy
15,0.007769175522391092,0.21433735031849555,0.03624741796446793,0.971085076743076,-0.3448157657515341,0.3603541167963163,-0.4123320311018602,0.42787038214664236,2100,0.9318478364896927,vacancy
16,-0.03904800606456264,0.20489711496893842,-0.19057372316092475,0.8488595787372417,-0.37610376018846636,0.29800774805934105,-0.44064635140368197,0.36255033927455665,2050,0.9329672335555232,vacancy
17,0.0010078147411595115,0.21082374751783323,0.004780366315584358,0.9961858340486431,-0.3457972499256761,0.34781287940799516,-0.4122067303937936,0.4142223598761126,2000,0.9344648478221758,vacancy
18,-0.05913085630477857,0.19610026832784797,-0.30153378579738266,0.763007490774394,-0.3817157977040885,0.2634540850945314,-0.4434873822273606,0.3252256696178034,1950,0.937022852663935,vacancy
19,-0.059048923954289324,0.23699078683571512,-0.24916126378880185,0.8032360416685718,-0.44889876829904074,0.33080092039046205,-0.523550866152291,0.40545301824371227,1900,0.9402053450395708,vacancy
20,-0.23033734530262348,0.2331866228312328,-0.9877811278622468,0.32325985208127284,-0.6139293398600014,0.15325464925475443,-0.6873831260518397,0.22670843544659278,1850,0.9428399932339545,vacancy
