h,outcome,r2_delta_only,r2_ld_only,r2_joint,nobs,partial_f_ld,partial_r2_ld,partial_f_delta,partial_r2_delta
0,unemp,0.664266200262756,0.6651248289424688,0.6655074761369011,2850,10.167927987979965,0.0036972025906137343,3.1344596304744563,0.0011426562119367263
1,unemp,0.7427810262966736,0.7434112912072222,0.7440874826152244,2800,13.737795982578323,0.005079159984743604,7.110363719325702,0.0026353124078750123
2,unemp,0.7852980865043683,0.7852947874478304,0.7862149936665092,2750,11.331331246856978,0.004270605451122511,11.372101680305345,0.00428590534780392
3,unemp,0.8176352263188933,0.8171173181228149,0.8182392831740688,2700,8.617480459048366,0.0033123549191127954,16.005963382547762,0.006134889535398457
4,unemp,0.841635151356701,0.840272811714263,0.8418725185969583,2650,3.8188318302216557,0.0014988631775982298,25.736540375318473,0.01001524474238887
5,unemp,0.8596664271621828,0.8575376115345246,0.8597428583934125,2600,1.3596164853620543,0.0005446396730597115,39.22859720297401,0.015479502222597669
6,unemp,0.8738334614557834,0.8711868203633042,0.8738422301177318,2550,0.17001051259554456,6.950069368233273e-05,51.484203195658665,0.02061442596104592
7,unemp,0.8865889743460441,0.8834556863294322,0.8865890096822943,2500,0.0007468499425664255,3.115768501732469e-07,66.22441137116046,0.0268852529495258
8,unemp,0.898156725873825,0.8947771549711054,0.8981568026901762,2450,0.0017710048123858822,7.542604244408179e-07,77.91794694187816,0.03211895399846554
9,unemp,0.9084433987276123,0.9045877227272404,0.9084493128515847,2400,0.14851413393103102,6.459527647650678e-05,96.97137151439914,0.04047267536970083
10,unemp,0.9174537244099047,0.9135738583215506,0.9174537495009111,2350,0.0006839167620818473,3.0396291297622935e-07,105.75592592976062,0.044892564957900415
11,unemp,0.9253408747661803,0.9214624067102346,0.9253411260783859,2300,0.007408873660609628,3.3661284513353956e-06,114.34757693056409,0.0493867867053264
12,unemp,0.9325136106001334,0.9288029352503874,0.9325138491491631,2250,0.007606857192976258,3.5347724463136845e-06,118.33371157611965,0.05212172597039471
13,unemp,0.9390374806059805,0.9356344883788476,0.9390420639076943,2200,0.15812024031742894,7.518228838607785e-05,117.5586280728626,0.052941015196201875
14,unemp,0.944590176852724,0.941761967621314,0.9446109959003477,2150,0.7720363367110559,0.0003757284618723242,105.65100745640368,0.04892040755271725
15,unemp,0.9496170674307315,0.9473988360612235,0.9496752317739718,2100,2.3173382075625772,0.0011544453701734319,90.69437505525792,0.043276527405321945
16,unemp,0.9541904173873038,0.9525078388911359,0.9543080703547133,2050,5.036539407276694,0.0025683047235820437,77.06509158386363,0.0379058653374575
17,unemp,0.9581166461768635,0.9570282164009101,0.9583136722884248,2000,9.013238041665451,0.004704162718039346,58.804997035272294,0.029913952362497307
18,unemp,0.9615964576700532,0.9607350381767008,0.9617693188847466,1950,8.401004835150324,0.004501178907097911,50.26574205559599,0.026341059815625793
19,unemp,0.9648157390123538,0.9640929394292063,0.964970347939719,1900,7.984308525883104,0.004394263884623617,45.31109794599726,0.024435542663897084
20,unemp,0.9676114385131724,0.9671391788023532,0.9677495268160758,1850,7.535871232771205,0.004263489842226114,33.30842614387645,0.018573729793652422
