h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.8025736636585927,0.4297947886944661,1.867341542452086,0.06185390760010106,3.486964436167336,0.09556123625619595,1.5095860910609897,-0.03982412218256084,1.6449714494997463,5850,0.8472183130565275,50,1992Q4-2021Q4,unemp,0.16769457392865822
1,0.6773873920217891,0.3077715368367099,2.2009422930528535,0.027740109360855907,4.844146977348752,0.1711032139254013,1.1836715701181768,0.07415517982183772,1.2806196042217404,5800,0.8351859745950332,50,1992Q4-2021Q3,unemp,0.16769457392865822
2,0.5770602238626845,0.1897207625429108,3.041629266760752,0.0023530150686529236,9.251508596415551,0.26496956947959627,0.8891508782457728,0.2052075292785794,0.9489129184467897,5750,0.8320136728536792,50,1992Q4-2021Q2,unemp,0.16769457392865822
3,0.5619106724498115,0.14996885077029537,3.7468492261134956,0.00017906964339251837,14.0388791232273,0.3152119129326757,0.8086094319669475,0.26797172494003263,0.8558496199595905,5700,0.8377964565083942,50,1992Q4-2021Q1,unemp,0.16769457392865822
4,0.48146627563874983,0.13126454744330066,3.667907938712224,0.00024454319631558245,13.453548646868155,0.26553609509452025,0.6973964561829795,0.22418776264988052,0.7387447886276192,5650,0.8456704842616691,50,1992Q4-2020Q4,unemp,0.16769457392865822
5,0.4608336459794818,0.1363552694028421,3.379654105027763,0.0007257710678600526,11.422061869631008,0.23652922781180655,0.6851380641471572,0.19357731794991132,0.7280899740090523,5600,0.8491324492009771,50,1992Q4-2020Q3,unemp,0.16769457392865822
6,0.5307377288432387,0.14623828002278993,3.6292667607997573,0.0002842274077308462,13.171577221045963,0.29017575820574926,0.7712996994807282,0.2441106999985704,0.817364757687907,5550,0.833264550748728,50,1992Q4-2020Q2,unemp,0.16769457392865822
7,0.7183801889145067,0.22957176622027106,3.129218373592293,0.0017527199728790258,9.792007629627594,0.3407346334821608,1.0960257443468526,0.26841952712277545,1.168340850706238,5500,0.8411170533269707,50,1992Q4-2020Q1,unemp,0.16769457392865822
8,0.747966786564714,0.26229968272273146,2.8515733560965284,0.004350344715161829,8.131470605199619,0.31648380848582075,1.1794497646436075,0.23385940842816033,1.2620741647012679,5450,0.8475712077870861,50,1992Q4-2019Q4,unemp,0.16769457392865822
9,0.7486108630960792,0.28310436987106036,2.644292857213873,0.008186179490825243,6.992284714712308,0.2829041746581849,1.2143175515339735,0.19372629814880088,1.3034954280433575,5400,0.8532214103134979,50,1992Q4-2019Q3,unemp,0.16769457392865822
10,0.8285059264606349,0.3224529040238127,2.5693858424653877,0.010187895247667044,6.60174360746157,0.2980708993414629,1.3589409535798067,0.19649823457396198,1.4605136183473078,5350,0.8586881536296163,50,1992Q4-2019Q2,unemp,0.16769457392865822
11,0.8814867463975983,0.3702879082030289,2.3805442383343474,0.017287085215511377,5.666990870666858,0.2723631374036157,1.490610355391581,0.15572244631966164,1.607251046475535,5300,0.8636726812387456,50,1992Q4-2019Q1,unemp,0.16769457392865822
12,0.8741740412862392,0.395595763922147,2.209765930300194,0.02712141137183293,4.8830654667154825,0.22341900963430736,1.524929072938171,0.09880634399883109,1.649541738573647,5250,0.8677644866312084,50,1992Q4-2018Q4,unemp,0.16769457392865822
13,0.8738339169195394,0.4256801269201949,2.052794719926784,0.04009249085248529,4.213966162159283,0.17359010813581877,1.57407772570326,0.039500868155957505,1.7081669656831213,5200,0.8716198775559492,50,1992Q4-2018Q3,unemp,0.16769457392865822
14,0.9707823116557796,0.45135624657244927,2.150811734694703,0.03149106250386951,4.625991118100437,0.22830128604410055,1.7132633372674586,0.086124068373779,1.8554405549377804,5150,0.8760775751490646,50,1992Q4-2018Q2,unemp,0.16769457392865822
15,1.0335902498695364,0.47969247861434183,2.1546934670629088,0.031185829366809345,4.642703937003578,0.24449612254894396,1.8226843771901289,0.09339299178542643,1.9737875079536464,5100,0.8805940798333548,50,1992Q4-2018Q1,unemp,0.16769457392865822
16,1.082490129541746,0.48723283666306216,2.2217101313520957,0.026302901426251076,4.935995907752546,0.28099211323100864,1.8839881458524832,0.12751376968214406,2.0374664894013477,5050,0.8849108811330992,50,1992Q4-2017Q4,unemp,0.16769457392865822
17,0.9981296938884185,0.4505709964224364,2.215255091458692,0.026742560410605822,4.9073551202336585,0.2569404047735106,1.7393189830033264,0.11501054090044316,1.8812488468763937,5000,0.8886702654821106,50,1992Q4-2017Q3,unemp,0.16769457392865822
18,0.9316509981353837,0.43064535833557616,2.1633833503655313,0.030511707078026296,4.680227520638791,0.22323938367336074,1.6400626125974063,0.08758609579765436,1.7757159004731127,4950,0.8920932821107403,50,1992Q4-2017Q2,unemp,0.16769457392865822
19,0.8930252959046608,0.4171044711676829,2.141011083876993,0.032273144241630865,4.583928461284137,0.20688844083382255,1.5791621509754992,0.07550053241600241,1.7105500593933192,4900,0.8949494480181182,50,1992Q4-2017Q1,unemp,0.16769457392865822
20,0.8967131758667662,0.4249093307391449,2.1103635787590305,0.0348270510885897,4.453634434552622,0.19773732680087297,1.5956890249326594,0.06389088761804226,1.7295354641154903,4850,0.8973888827093541,50,1992Q4-2016Q4,unemp,0.16769457392865822
