h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,delta_h,delta_h_se,delta_h_t,delta_h_p,instr_sd
0,0.7721697406647867,0.43050154395380197,1.7936515013931054,0.07286881078610985,3.217185708449741,0.06399470086078254,1.480344780468791,-0.0716132854846651,1.6159527668142388,5850,0.8475804237857575,50,1992Q4-2021Q4,unemp,0.10355991372947772,0.03973457032767842,2.606292527525827,0.009152825509134878,0.16769457392865822
1,0.6200415972040124,0.31023107803492317,1.9986443690023001,0.045646846128719186,3.9945793137446026,0.1097114738365638,1.130371720571461,0.011988684255562933,1.2280945101524618,5800,0.8358925176043963,50,1992Q4-2021Q3,unemp,0.18795701254812935,0.07337589826184036,2.561563360729277,0.010420223221456625,0.16769457392865822
2,0.49383398156096536,0.1940316699736542,2.5451205034106987,0.010924003274686558,6.477638376881528,0.17465188445430418,0.8130160786676266,0.11353190841260315,0.8741360547093276,5750,0.833009169525814,50,1992Q4-2021Q2,unemp,0.2545570608181613,0.10283614173305397,2.4753657277316994,0.013309979956125673,0.16769457392865822
3,0.4499907536545974,0.15634407482831555,2.8782079151304,0.003999414508938649,8.284080802719284,0.1928047505620183,0.7071767567471765,0.14355636699109892,0.7564251403180958,5700,0.8391672865039426,50,1992Q4-2021Q1,unemp,0.3310954780893631,0.13057690887224152,2.5356357486859498,0.011224341602929183,0.16769457392865822
4,0.3442945171026266,0.13266906067913137,2.5951379721857304,0.009455295438890671,6.734741094680265,0.12605391228545546,0.5625351219197977,0.08426315817152912,0.6043258760337241,5650,0.8474369108934872,50,1992Q4-2020Q4,unemp,0.40728361015433656,0.15272526567327768,2.66677296882646,0.007658338642700556,0.16769457392865822
5,0.30174544061332603,0.13273954422383102,2.273214379164284,0.023013264199262893,5.16750361363926,0.083388890365124,0.5201019908615281,0.041575933934617205,0.5619149472920347,5600,0.8512723005692562,50,1992Q4-2020Q3,unemp,0.47030701763426624,0.16953197390961774,2.7741493642078408,0.005534626074536273,0.16769457392865822
6,0.3514897047672419,0.14474654889724903,2.428311468874835,0.015169309580000826,5.896696589869058,0.11338163183126726,0.5895977777032165,0.0677864689286338,0.6351929406058501,5550,0.8361357511630689,50,1992Q4-2020Q2,unemp,0.5246841316517373,0.17448659193950875,3.007016904964454,0.002638250910154162,0.16769457392865822
7,0.49695775861413727,0.21774715297191802,2.2822698337563474,0.022473414385854144,5.208755594074225,0.1387636919753322,0.8551518252529424,0.07017333878917797,0.9237421784390966,5500,0.8441003694888329,50,1992Q4-2020Q1,unemp,0.5667375940505675,0.17654465280853737,3.210165728809664,0.0013265846273402214,0.16769457392865822
8,0.505653971636558,0.24824299998511126,2.0369314408337207,0.041656912878413214,4.149089694656937,0.09729423666104996,0.9140137066120659,0.019097691665739963,0.992210251607376,5450,0.8506388388576862,50,1992Q4-2019Q4,unemp,0.6023811481387653,0.17741328411538168,3.3953553768104734,0.0006853957338550233,0.16769457392865822
9,0.4936619561945725,0.2689188770398788,1.8357281631864235,0.06639787052923249,3.3698978891158005,0.051290403463971755,0.9360335089251732,-0.03341904280359006,1.020742955192735,5400,0.8562548085375241,50,1992Q4-2019Q3,unemp,0.6246689913993672,0.17462929242395744,3.5771145993240516,0.0003474078913776128,0.16769457392865822
10,0.5793354957733653,0.3098723174887555,1.8695942266426817,0.06154018761712876,3.495382572295647,0.06959553350436255,1.089075458042368,-0.028014246504595452,1.1866852380513262,5350,0.8613294644990312,50,1992Q4-2019Q2,unemp,0.605556723402329,0.16782862993725317,3.6081848706548536,0.0003083467479399149,0.16769457392865822
