h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.1487951404334201,0.07652541532645439,1.9443885380911154,0.05184861500300933,3.780646787060105,0.022910832221402607,0.2746794486454376,-0.0011946736064305204,0.2987849544732707,0.3777718425625657,0.11597876163451044,3.2572501830383103,0.0011249723277453102,2850,0.6686358997771429,50,2005Q4-2019Q4,unemp,11.159107723175232
1,0.3425824012929352,0.16411056127850682,2.0875097777013236,0.036842078136552374,4.357697071998629,0.07262052798979149,0.612544274596079,0.02092570118706186,0.6642391013988086,0.687685877348971,0.21878714388621368,3.143173155122045,0.0016712694387361507,2800,0.7471068453922052,50,2005Q4-2019Q3,unemp,11.159107723175232
2,0.5189518164791973,0.22841777286452403,2.2719414954938326,0.02309004417703447,5.161718158946752,0.14320458011705534,0.8946990528413393,0.07125298166473026,0.9666506512936645,0.8162067550300002,0.2929526976156892,2.7861383823157118,0.00533400953506883,2750,0.7883850146571014,50,2005Q4-2019Q2,unemp,11.159107723175232
3,0.6883173017834915,0.2818207891888728,2.4423936352054914,0.014590228304316596,5.965286669292294,0.2247221035677957,1.1519124999991872,0.1359485549733008,1.2406860485936821,0.8246839411876277,0.3462296302699129,2.381898800933711,0.017223629966471702,2700,0.8196129213362731,50,2005Q4-2019Q1,unemp,11.159107723175232
4,0.8950025090342618,0.34153131444967616,2.620557679978532,0.00877860783564773,6.867322554094466,0.33318349676454456,1.456821521303979,0.22560113271289653,1.564403885355627,0.776298457601533,0.38175137879355947,2.033518412048313,0.042000175324920785,2650,0.8428695555800804,50,2005Q4-2018Q4,unemp,11.159107723175232
5,1.1545041396224902,0.42355725186041693,2.725733379729634,0.006415880116891204,7.429622457372333,0.45775246031210426,1.8512558189328763,0.32433192597607297,1.9846763532689073,0.6768640449897815,0.3924396141745307,1.7247597351085913,0.08457078086353143,2600,0.8603753567852079,50,2005Q4-2018Q3,unemp,11.159107723175232
6,1.4049941548882872,0.5093455797454426,2.7584300536984454,0.005807973324157288,7.608936361146808,0.567120676207034,2.2428676335695403,0.4066768185872196,2.4033114911893545,0.5394621594270222,0.38694313072532494,1.3941639393256586,0.16326810463983155,2550,0.8741917896806941,50,2005Q4-2018Q2,unemp,11.159107723175232
7,1.6867858164593879,0.5836044391653272,2.890289557892729,0.0038488712880429196,8.353773728463747,0.7267565140324245,2.646815118886351,0.5429211156953464,2.8306505172234293,0.3868311978447112,0.37523536692884635,1.0309028197708872,0.3025863941707293,2500,0.8867426339384368,50,2005Q4-2018Q1,unemp,11.159107723175232
8,1.9466450771270498,0.635063116972259,3.0652781197685006,0.002174676687594719,9.395929951531514,0.9019662497076836,2.991323904546416,0.7019213678614219,3.1913687863926774,0.25255300485230464,0.35138782642994254,0.7187300920985578,0.47230723840557765,2450,0.8982131907299953,50,2005Q4-2017Q4,unemp,11.159107723175232
9,2.2314498779007033,0.6839483933753229,3.262599780209111,0.0011039530243273825,10.64455732582054,1.1063547707982968,3.3565449850031093,0.8909110268850703,3.5719887289163363,0.034966571818599704,0.3370130021507102,0.10375437029270125,0.9173642781887046,2400,0.9084443506058592,50,2005Q4-2017Q3,unemp,11.159107723175232
10,2.4879029381323496,0.7282710880289555,3.4161769964887476,0.0006350695459189742,11.67026527133888,1.289896998324718,3.685908877939981,1.0604916055955966,3.915314270669102,-0.22357753692476595,0.31713284844763795,-0.7049964644759308,0.4808124363866014,2350,0.917488614921855,50,2005Q4-2017Q2,unemp,11.159107723175232
11,2.6706553047883865,0.7608087996141176,3.5102844579912107,0.0004476275503959572,12.322096976014647,1.419124829423163,3.92218578015361,1.1794700575447161,4.161840552032057,-0.48612213186572256,0.3065536832601319,-1.5857650989409724,0.11279260556092627,2300,0.9254914118031624,50,2005Q4-2017Q1,unemp,11.159107723175232
12,2.864855257201082,0.7749060585150626,3.697035564144315,0.00021813179339853062,13.668071962547872,1.5901347909438042,4.13957572345836,1.3460393825115593,4.383671131890605,-0.7675863033100488,0.3162497773220995,-2.4271520752037223,0.01521787542922764,2250,0.9328605379715212,50,2005Q4-2016Q4,unemp,11.159107723175232
13,3.0385345295370767,0.7717465895840518,3.937217955410409,8.243173042325927e-05,15.50168522840612,1.7690113896713113,4.308057669402842,1.5259112139523352,4.551157845121818,-0.9310056022126224,0.3356106996954903,-2.7740641256591396,0.005536076458485996,2200,0.9395163263407176,50,2005Q4-2016Q3,unemp,11.159107723175232
