h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,-0.17143864915207205,0.047231965086764735,-3.6297166301918766,0.00028373252721759697,13.174842815491472,-0.24913523171980004,-0.09374206658434407,-0.264013300722131,-0.07886399758201317,0.029803807130389718,0.054473063091573015,0.5471292679151794,0.5842899259727913,2850,0.3835147214532584,50,2005Q4-2019Q4,vacancy,11.159107723175232
1,-0.3041085152933272,0.06857346446602922,-4.434784178710707,9.216457241436836e-06,19.6673107117428,-0.41691186433994537,-0.19130516624670918,-0.4385125056467445,-0.16970452493990998,0.026786775183328733,0.08059276673773624,0.3323719518216548,0.7396084150460258,2800,0.5757914238305599,50,2005Q4-2019Q3,vacancy,11.159107723175232
2,-0.383546452905295,0.09112192506168366,-4.209156606883127,2.5632568503546334e-05,17.71699934126788,-0.5334420196317646,-0.23365088617882535,-0.562145426026195,-0.204947479784395,0.11789967264530697,0.10203807110963381,1.1554478770833565,0.24790706557397257,2750,0.6861789527557034,50,2005Q4-2019Q2,vacancy,11.159107723175232
3,-0.5086216387114357,0.10823037831591861,-4.6994350996981336,2.6088211018869647e-06,22.084690256274808,-0.6866606110411219,-0.33058266638174955,-0.7207531802106362,-0.2964900972122352,0.14499482242121103,0.10789924139999606,1.3437983487177354,0.17901360363303942,2700,0.7548606238665794,50,2005Q4-2019Q1,vacancy,11.159107723175232
4,-0.5178376074111859,0.11935192342554028,-4.338745388835293,1.4329842160322345e-05,18.82471154913952,-0.7141715214461997,-0.32150369337617213,-0.7517673773252449,-0.28390783749712695,0.08665330741120647,0.1062001527036176,0.8159433409953536,0.41453254207260126,2650,0.8025751799041032,50,2005Q4-2018Q4,vacancy,11.159107723175232
5,-0.5444677095629467,0.1361680672627804,-3.998497742589089,6.374578893478879e-05,15.98798419749004,-0.7684641802102204,-0.3204712389156729,-0.8113571213979963,-0.2775782977278971,0.03267834905951676,0.11198032393945005,0.29182224081782965,0.7704225393277511,2600,0.8350717012173361,50,2005Q4-2018Q3,vacancy,11.159107723175232
6,-0.47762162564498223,0.1533101322175293,-3.1153950409963285,0.0018369871074605097,9.705686261464516,-0.7298167931428179,-0.22542645814714654,-0.7781094847913397,-0.1771337664986248,0.001788901888739831,0.11408114090673704,0.01568096071376323,0.9874889162803691,2550,0.8593519297088302,50,2005Q4-2018Q2,vacancy,11.159107723175232
7,-0.39922851117725633,0.16793032410329378,-2.377346160135386,0.01743771511750032,5.651774765110464,-0.6754738943271746,-0.12298312802733807,-0.728371946419712,-0.07008507593480055,-0.0283839065139721,0.11489296787053353,-0.24704650806789447,0.804872231083569,2500,0.8786710806528546,50,2005Q4-2018Q1,vacancy,11.159107723175232
8,-0.31476241696099067,0.17388375502536627,-1.810188748886133,0.07026652178609001,3.2767833065939436,-0.6008011939777181,-0.0287236399442631,-0.6555745768107085,0.026049742888727256,-0.12298177860047338,0.09701809671313832,-1.267616895888033,0.20493479520931068,2450,0.893272225829241,50,2005Q4-2017Q4,vacancy,11.159107723175232
9,-0.23253226098031934,0.1840260724397957,-1.263583240664947,0.2063796520681228,1.5966426060893293,-0.5352551501437832,0.07019062818314463,-0.5932233629623189,0.12815884100168023,-0.005232815564582868,0.10070264455124246,-0.05196304017537647,0.9585581432740713,2400,0.9043688117562743,50,2005Q4-2017Q3,vacancy,11.159107723175232
