h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,instr_x_nfci_beta,instr_x_nfci_se,instr_x_nfci_t,instr_x_nfci_p,instr_sd,recsev_beta,recsev_se,recsev_p,horsrace_nfci_beta,horsrace_nfci_se,horsrace_recsev_beta,horsrace_recsev_se
0,0.07660672357040467,0.03404534738943195,2.250137814548611,0.024440198294754793,5.0631201844615985,0.020602127114789107,0.13261132002602022,0.009877842687118044,0.14333560445369128,5450,0.616870674590657,50,1992Q4–2019Q4,0.0869727833095375,0.032603187334909446,2.6676159731294895,0.007639151935272789,0.16769457392865839,0.18610355622931052,0.06771835328981302,0.005992350448768793,0.03523019324065256,0.028912607419322608,0.1321752505242483,0.06623012387819839
1,0.10673019278646129,0.07122769951268874,1.4984366126754942,0.13401984992504729,2.245312282206409,-0.01043937291191171,0.22389975848483426,-0.032876098258408655,0.24633648383133125,5400,0.6792523845111834,50,1992Q4–2019Q3,0.17502220307552646,0.06560214300271353,2.667934233006488,0.007631919578566509,0.16769457392865839,0.3937377235064209,0.12529606602675375,0.0016753529730720574,0.05081530782407292,0.058002010227283296,0.3159388209673048,0.10225142173971187
2,0.11758224698601444,0.10560960383861756,1.1133669923210046,0.2655508451461863,1.2395860595899197,-0.05614555132851143,0.29131004530054033,-0.08941257653767595,0.32457707050970486,5350,0.7294275029253487,50,1992Q4–2019Q2,0.2829141071555454,0.09377099345657232,3.017074862138151,0.0025522677186509534,0.16769457392865839,0.6211828506189837,0.17150800394036808,0.00029246028916009846,0.09568258044021674,0.0806200654272855,0.4747396485535824,0.11608594566231245
3,0.12375878801507413,0.1365146195167173,0.9065606925705042,0.3646391560489184,0.8218522893139122,-0.10080776108992587,0.34832533712007413,-0.14380986623769182,0.3913274422678401,5300,0.7686995613765992,50,1992Q4–2019Q1,0.4012917498604607,0.11835274649795197,3.3906416347288135,0.0006972921396262933,0.16769457392865839,0.8225643816286399,0.21297121996698845,0.00011231233618020064,0.19412661380652263,0.10119212322389008,0.5258981668946162,0.13166528420086768
4,0.13805774808251856,0.16587166129398465,0.8323166658217176,0.40523022600991065,0.6927510322045807,-0.13480113474608618,0.41091663091112335,-0.18705070805369137,0.46316620421872845,5250,0.797815070664135,50,1992Q4–2018Q4,0.503737112481766,0.13937200842656303,3.6143348881076918,0.0003011196406060979,0.16769457392865839,0.991045673212845,0.2463235357948,5.737625530959101e-05,0.2835405425079733,0.12147428637923872,0.5580948314654343,0.14189265910178867
5,0.15446949358995946,0.19395204794147555,0.7964313614083114,0.42578135590883837,0.6343029134346964,-0.16458162527376785,0.47352061245368676,-0.22567652037533267,0.5346155075552516,5200,0.8182888255090826,50,1992Q4–2018Q3,0.5950331140837515,0.15421981937610973,3.8583439955443772,0.00011415789856674819,0.16769457392865839,1.1316855611674765,0.27147977598045353,3.065012193385146e-05,0.37259493844858144,0.13675599859379833,0.5618432765106793,0.1563468970671995
6,0.14636320882207587,0.22529056958874052,0.6496641607736019,0.5159091788620228,0.42206352179366846,-0.2242397781514023,0.516966195795554,-0.2952063075718555,0.5879327252160073,5150,0.8333473875851545,50,1992Q4–2018Q2,0.6802046429186089,0.16285926787835692,4.176640677438563,2.9584580438898514e-05,0.16769457392865839,1.2222682282794137,0.2896932772249632,2.451919117943555e-05,0.4959291532739318,0.14595528778349112,0.46465991052220085,0.17945658217622418
7,0.1375974336565248,0.25753284743132193,0.5342908100032515,0.5931403494210363,0.2854666696539306,-0.2860441003679998,0.5612389676810494,-0.3671669473088662,0.6423618146219158,5100,0.8454561291034368,50,1992Q4–2018Q1,0.7425988349924253,0.16742652013051176,4.435371615043764,9.191359594606135e-06,0.16769457392865839,1.2700494772643869,0.300941603751657,2.4402912050117102e-05,0.6060284137510722,0.15310186731642633,0.34465739452849686,0.20204224991152053
8,0.13915594053225555,0.28447943127767394,0.4891599364750859,0.624728470862875,0.23927744345231006,-0.3288127239195181,0.6071246049840292,-0.41842374477198535,0.6967356258364965,5050,0.8554568213481588,50,1992Q4–2017Q4,0.7738758922178187,0.1687457527981198,4.586046637533157,4.517177389321704e-06,0.16769457392865839,1.293836374277544,0.3063660806704916,2.408888169665109e-05,0.6610210429932266,0.1564073189778004,0.28505728614830256,0.21912477356636315
9,0.13256793472276157,0.3148950425153874,0.4209908598871753,0.6737617561516123,0.17723330410854324,-0.3854344102150508,0.6505702796605739,-0.48462634860739784,0.749762218052921,5000,0.8634948822880596,50,1992Q4–2017Q3,0.7840753197414901,0.166642265418656,4.705140786292449,2.5369082339883273e-06,0.16769457392865839,1.2875674823344492,0.30879157951016795,3.050041807459619e-05,0.690506203868457,0.15274042087716097,0.23604334743112063,0.23365939956712556
