h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,1.663219291039714,0.6443357999370853,2.5812926911745633,0.009843108954776275,6.663071957511219,0.6032869001432087,2.7231516819362196,0.40032112316302687,2.926117458916401,4200,0.8641249573878416,50,2001Q1-2021Q4,unemp,0.17673443662751856
1,1.5473282718866845,0.45116235965423757,3.42964841542306,0.0006043638065851953,11.762488253413908,0.8051661902554638,2.2894903535179054,0.663050046964379,2.43160649680899,4150,0.853378437666349,50,2001Q1-2021Q3,unemp,0.17673443662751856
2,1.4241524851105491,0.32863164447022114,4.333582931145872,1.4670198091087833e-05,18.779941021118848,0.8835534299570353,1.9647515402640632,0.7800344619489159,2.0682705082721826,4100,0.8514210025806639,50,2001Q1-2021Q2,unemp,0.17673443662751856
3,1.4157545172078647,0.32548512155886994,4.349675064799543,1.3633940353551572e-05,18.91967316933891,0.8803314922435237,1.9511775421722057,0.7778036789524798,2.05370535546325,4050,0.8573625482031529,50,2001Q1-2021Q1,unemp,0.17673443662751856
4,1.2575563243847456,0.3121941595288056,4.028122519277025,5.622404350839923e-05,16.225771030306685,0.7439969319598604,1.7711157168096305,0.6456557717082867,1.8694568770612046,4000,0.8640299148098521,50,2001Q1-2020Q4,unemp,0.17673443662751856
5,1.1339002701194338,0.2927161676680549,3.8737193068382054,0.00010718686161474842,15.005701268171066,0.6523821743054833,1.615418365933384,0.5601765814900461,1.7076239587488216,3950,0.8667203263267433,50,2001Q1-2020Q3,unemp,0.17673443662751856
6,1.0931091226573602,0.3015439226473574,3.6250411318542937,0.0002889154647168245,13.140923207635458,0.5970693699024572,1.5891488754122631,0.5020830342685396,1.6841352110461807,3900,0.8501221100824137,50,2001Q1-2020Q2,unemp,0.17673443662751856
7,2.0173251870543782,0.4158583931480928,4.850990674452929,1.2284632294912271e-06,23.53211052362929,1.3332381303257654,2.7014122437829906,1.2022427364841162,2.83240763762464,3850,0.8599431463953288,50,2001Q1-2020Q1,unemp,0.17673443662751856
8,2.150979103069611,0.4988276005676721,4.312069140965274,1.6173383784996898e-05,18.593940276465,1.3304077001357903,2.9715505060034317,1.1732770059569735,3.1286812001822484,3800,0.8670053291047966,50,2001Q1-2019Q4,unemp,0.17673443662751856
9,2.1829547675968866,0.525892237003439,4.15095453782599,3.310915333895867e-05,17.230423575098182,1.3178620377262293,3.0480474974675436,1.152205983070146,3.213703552123627,3750,0.8730972544433699,50,2001Q1-2019Q3,unemp,0.17673443662751856
10,2.4122840772974996,0.5846781721053815,4.125832282417948,3.693964077945824e-05,17.02249202264209,1.450488484184147,3.374079670410852,1.266314859970952,3.5582532946240475,3700,0.8796737088594597,50,2001Q1-2019Q2,unemp,0.17673443662751856
11,2.5294655347553876,0.6728519170306279,3.7593198008830933,0.000170375941138594,14.1324853653117,1.4226241312400045,3.6363069382707707,1.210675777375357,3.848255292135418,3650,0.8855275962854605,50,2001Q1-2019Q1,unemp,0.17673443662751856
12,2.4589894205847447,0.7004797082174703,3.510436336324719,0.00044737192102106753,12.323163271388916,1.3067003005670061,3.6112785406024837,1.086049192478503,3.831929648690987,3600,0.8901473906712152,50,2001Q1-2018Q4,unemp,0.17673443662751856
13,2.406158597208962,0.7450087503972536,3.229705149001203,0.0012391794252377027,10.430995349484883,1.1806192028054798,3.6316979916124437,0.9459414464303451,3.866375747987579,3550,0.894603829913939,50,2001Q1-2018Q3,unemp,0.17673443662751856
14,2.5496511232098746,0.7689616737619995,3.3157063742022266,0.0009141181879507447,10.993908759925276,1.2847091698713855,3.8145930765483635,1.0424862426363557,4.056816003783394,3500,0.8998101570114253,50,2001Q1-2018Q2,unemp,0.17673443662751856
15,2.6158066929105495,0.8323374647538353,3.1427237192599247,0.0016738374696894595,9.876712375598935,1.2466115633904906,3.985001822430609,0.9844252619930326,4.247188123828067,3450,0.9049637252508629,50,2001Q1-2018Q1,unemp,0.17673443662751856
16,2.6562772771732113,0.8261823288269952,3.215122357972199,0.0013038893127228835,10.337011776732712,1.2972073462528044,4.015347208093618,1.036959912672301,4.275594641674122,3400,0.909983436148586,50,2001Q1-2017Q4,unemp,0.17673443662751856
17,2.3548271856181384,0.7255401751110602,3.2456192867027376,0.0011719545365822238,10.534044554216788,1.1613135975604443,3.5483407736758323,0.9327684424004605,3.7768859288358163,3350,0.9138339260634112,50,2001Q1-2017Q3,unemp,0.17673443662751856
18,2.085606708510751,0.6722970639617659,3.1022100501533068,0.0019208161216550089,9.623707195272182,0.9796780382936459,3.191535378727856,0.7679044631456897,3.403308953875812,3300,0.9174441079605629,50,2001Q1-2017Q2,unemp,0.17673443662751856
19,1.8732063184547745,0.6401433415456207,2.9262294815594485,0.0034309775042749946,8.562818978747678,0.8201705216122285,2.9262421152973204,0.6185253690253579,3.127887267884191,3250,0.9208267077877628,50,2001Q1-2017Q1,unemp,0.17673443662751856
20,1.753898126026016,0.6384907554717256,2.7469436495289776,0.0060153468670523826,7.545699413687578,0.7035808332750274,2.8042154187770048,0.5024562453014338,3.005340006750598,3200,0.9245147018108351,50,2001Q1-2016Q4,unemp,0.17673443662751856
