h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.17715600818863786,0.034126799078262646,5.19111117870644,2.0904274905443904e-07,26.947635269690966,0.12101742370489582,0.2332945926723799,0.11026748199524308,0.2440445343820326,3800,0.6512563353909973,50,2001Q1-2019Q4,unemp,14.014983574386228
1,0.349868804631218,0.06419497367583372,5.450096551140523,5.034248207449563e-08,29.703552416753823,0.24426807293447153,0.45546953632796444,0.22404665622658393,0.47569095303585207,3750,0.716365929249853,50,2001Q1-2019Q3,unemp,14.014983574386228
2,0.4819745714121055,0.0888752562928827,5.4230456430278995,5.859202357151145e-08,29.409424046363885,0.3357747748103134,0.6281743680138976,0.30777906907805536,0.6561700737461555,3700,0.7638254687056342,50,2001Q1-2019Q2,unemp,14.014983574386228
3,0.5927142828147857,0.11148873318676554,5.316360369992479,1.0586338888486732e-07,28.263687583626567,0.40931531672255633,0.7761132489070149,0.37419636576872517,0.811232199860846,3650,0.7979287614138537,50,2001Q1-2019Q1,unemp,14.014983574386228
4,0.6910894931049,0.13496734175071487,5.12042012638394,3.048557200797048e-07,26.218702270677724,0.46906821592497394,0.9131107702848259,0.4265535032734988,0.9556254829363012,3600,0.822255748484421,50,2001Q1-2018Q4,unemp,14.014983574386228
5,0.780489187798036,0.16067934638939976,4.857433175677431,1.1891725089234357e-06,23.594657056171734,0.5161716629874734,1.0448067126085987,0.4655576688748125,1.0954207067212596,3550,0.8398781487225045,50,2001Q1-2018Q3,unemp,14.014983574386228
6,0.8636988839805025,0.1896623378058325,4.553876610256262,5.266625458038548e-06,20.737792181439065,0.5517043382899082,1.175693429671097,0.4919607018810708,1.2354370660799343,3500,0.8535278899868655,50,2001Q1-2018Q2,unemp,14.014983574386228
7,0.9530347056924743,0.21650099789450614,4.401987588790963,1.072636942247406e-05,19.377494731869675,0.5968905641560117,1.3091788472289367,0.5286927498192423,1.3773766615657062,3450,0.8656667216017316,50,2001Q1-2018Q1,unemp,14.014983574386228
8,1.034091100344187,0.24084077362607612,4.293671228401273,1.7574266046816706e-05,18.435612617600896,0.6379080277292919,1.4302741729590822,0.5620431840370779,1.5061390166512962,3400,0.8763939912184248,50,2001Q1-2017Q4,unemp,14.014983574386228
9,1.108760551582844,0.2663633060041958,4.162587438246388,3.1466158800075506e-05,17.327134181046628,0.6705929132059419,1.546928189959746,0.5866884718146204,1.6308326313510677,3350,0.8854595718459437,50,2001Q1-2017Q3,unemp,14.014983574386228
10,1.1632466346576864,0.2944487739079776,3.950590859044396,7.795849511129006e-05,15.60716813556514,0.6788784015790633,1.6476148677363094,0.5861270377980503,1.7403662315173225,3300,0.893214516334882,50,2001Q1-2017Q2,unemp,14.014983574386228
11,1.1983185061690154,0.32125102962039,3.730162382934686,0.0001913564029480608,13.914111403060977,0.6698605624434738,1.7267764498945566,0.568666488113051,1.8279705242249795,3250,0.9001376153748277,50,2001Q1-2017Q1,unemp,14.014983574386228
12,1.237649205739211,0.3465084610134862,3.571771962275522,0.00035457408694186915,12.757554950497532,0.6676427873720261,1.807655624106396,0.5584926221527778,1.916805789325644,3200,0.9067302956196845,50,2001Q1-2016Q4,unemp,14.014983574386228
13,1.2906290688653412,0.3685305251182248,3.5020954328038543,0.000461614243444546,12.264672420465615,0.6843963550458614,1.896861782684821,0.5683092396336206,2.012948898097062,3150,0.9131281049688342,50,2001Q1-2016Q3,unemp,14.014983574386228
14,1.3409715659717383,0.3836311064951896,3.495471413209171,0.00047322514136452585,12.21832040056252,0.7098983957871514,1.9720447361563254,0.5890545972411667,2.0928885347023103,3100,0.9192431805301243,50,2001Q1-2016Q2,unemp,14.014983574386228
15,1.4044997202982243,0.3910320898512231,3.5917761144170997,0.0003284319520512958,12.900855656097198,0.7612519324929623,2.0477475081034866,0.6380768241898271,2.1709226164066218,3050,0.9252001189850163,50,2001Q1-2016Q1,unemp,14.014983574386228
16,1.4616404013581883,0.3919938436966294,3.728733052474611,0.00019244488162329217,13.90345017661663,0.816810528477233,2.1064702742391437,0.6933324677127948,2.229948335003582,3000,0.9309590881569239,50,2001Q1-2015Q4,unemp,14.014983574386228
17,1.4929605035207385,0.3858224498250814,3.8695532211710213,0.00010903497858890109,14.973442131475027,0.8582825735584795,2.127638433482997,0.7367485018635789,2.249172505177898,2950,0.9362034765633418,50,2001Q1-2015Q3,unemp,14.014983574386228
18,1.4924975840535248,0.3764156472462554,3.965025351555367,7.338814695517521e-05,15.72142603847676,0.8732938443334347,2.111701323773615,0.7547229154508643,2.230272252656185,2900,0.9408591506984177,50,2001Q1-2015Q2,unemp,14.014983574386228
19,1.491060726273384,0.3700299483661664,4.029567695417701,5.5879522423784833e-05,16.237415811953923,0.8823614612110403,2.099759991335728,0.7658020274756978,2.21631942507107,2850,0.9453030607085524,50,2001Q1-2015Q1,unemp,14.014983574386228
20,1.5016254550126038,0.36829534804106023,4.077231664748564,4.5575078867300775e-05,16.623818048028348,0.8957796074850597,2.107471302540148,0.7797665728521257,2.223484337173082,2800,0.9500463080643406,50,2001Q1-2014Q4,unemp,14.014983574386228
