h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.18386095610497946,0.07988213757500133,2.301652931262041,0.021354752575635412,5.2976062159871455,0.052454839794102266,0.31526707241585666,0.027291966457976848,0.3404299457519821,-0.004702614778270365,0.0032854333155816354,-1.4313529834763483,0.15232907603116386,2850,0.6649367578333606,50,2005Q4-2019Q4,unemp,11.159107723175232
1,0.43319135124198027,0.16886288656991066,2.5653437533926993,0.01030736322764191,6.580988573070942,0.15541190283447723,0.7109707996494833,0.10222009356495536,0.7641626089190051,-0.004857158104985999,0.006018823175700448,-0.8069946504817765,0.41966956519468457,2800,0.7429931339305844,50,2005Q4-2019Q3,unemp,11.159107723175232
2,0.6419312783142398,0.234088315296756,2.7422610885146375,0.00610178198044392,7.519995877581485,0.25685599965107614,1.0270065569774034,0.183118180332598,1.1007443762958817,-0.0036030483016856185,0.008046720964069925,-0.4477660301349935,0.6543220619098122,2750,0.7853572915759288,50,2005Q4-2019Q2,unemp,11.159107723175232
3,0.8369766188072462,0.2901365122163408,2.8847683196217413,0.003917018055216432,8.321888257893246,0.35970205621136564,1.3142511814031268,0.26830905486321827,1.405644182751274,3.7714858982370224e-06,0.009292741487517528,0.0004058528802617687,0.9996761762617716,2700,0.81763522635951,50,2005Q4-2019Q1,unemp,11.159107723175232
4,1.0633733457931873,0.3487915608874084,3.048735878493486,0.002298064256202239,9.294790456813448,0.4896112281334005,1.6371354634529744,0.37974188645386686,1.7470048051325078,0.003529995603082324,0.009772592340677516,0.3612138396880675,0.7179395970248591,2650,0.8416603870094427,50,2005Q4-2018Q4,unemp,11.159107723175232
5,1.3206245338076115,0.4225297110129405,3.125518749064171,0.0017749175514653445,9.768867450751662,0.6255631591913244,2.0156859084238987,0.4924663002222482,2.148782767392975,0.004616885646770463,0.009684188557354884,0.47674470808027186,0.6335439226410913,2600,0.8596994533972188,50,2005Q4-2018Q3,unemp,11.159107723175232
6,1.5571551452548746,0.4997134893287713,3.1160958799541065,0.0018326267586052023,9.710053533066958,0.7351264553090459,2.379183835200703,0.5777167061704828,2.5365935843392666,0.00555950957828186,0.009808073951982086,0.5668299000904612,0.5708297541497395,2550,0.8738718203666325,50,2005Q4-2018Q2,unemp,11.159107723175232
7,1.8086473941925456,0.5684205764969545,3.1818823402538032,0.001463212485840054,10.12437522721902,0.8735955458550554,2.7436992425300355,0.6945430642585146,2.9227517241265764,0.005759882335184471,0.009828319160903065,0.5860495819160222,0.557842196026105,2500,0.8866234353340724,50,2005Q4-2018Q1,unemp,11.159107723175232
8,2.0483804564345496,0.6169036954143654,3.320421763819524,0.0008988154744921029,11.02520068964636,1.0335738774779186,3.0631870353911808,0.8392492134223936,3.257511699446706,0.007220451002735785,0.009538843610538538,0.7569524459713978,0.44907835289898956,2450,0.8982034668783092,50,2005Q4-2017Q4,unemp,11.159107723175232
9,2.3101857390715277,0.6627691435958291,3.485656750007555,0.0004909305032148078,12.149802978873229,1.2199304978563892,3.4004409802866666,1.011158217623703,3.6092132605193528,0.012078169863527447,0.008989069749533759,1.3436507002466984,0.1790613663379067,2400,0.9085585094226655,50,2005Q4-2017Q3,unemp,11.159107723175232
10,2.5500571634062577,0.7072636570673768,3.6055255178527137,0.0003115218762836426,12.99981425988708,1.386608447530423,3.7135058792820925,1.1638203955541995,3.9362939312583163,0.020265078781419223,0.008744067046398634,2.3175804432750406,0.020472134083651203,2350,0.9177439682188754,50,2005Q4-2017Q2,unemp,11.159107723175232
11,2.7041249201597735,0.7437594392472299,3.63575206910538,0.00027717081491600087,13.218693108004054,1.4806406425980803,3.927609197721466,1.2463564192352028,4.161893421084344,0.026934045398941314,0.009046897182135055,2.9771583402238817,0.002909337113999013,2300,0.9258084157705686,50,2005Q4-2017Q1,unemp,11.159107723175232
12,2.8467821016013914,0.7633504677654352,3.729325155108387,0.00019199327338520022,13.907866112524193,1.5910705821272506,4.102493621075532,1.3506151847811385,4.342949018421645,0.030608878647878337,0.009325001676350968,3.282452884218259,0.001029081813836818,2250,0.9330733999220349,50,2005Q4-2016Q4,unemp,11.159107723175232
13,2.9614238225409033,0.7665495361833936,3.8633169583347,0.00011185771698822173,14.925217920556477,1.7004498355192206,4.222397809562586,1.4589867316214515,4.463860913460355,0.030668334542184924,0.009391507341421652,3.2655391118016706,0.0010925591606843004,2200,0.9395669898302947,50,2005Q4-2016Q3,unemp,11.159107723175232
14,2.8715334958870566,0.7583704435295612,3.7864522811866737,0.00015281342542680377,14.337220877703764,1.624014116280928,4.1190528754931846,1.3851274265691167,4.357939565204996,0.024827995045128358,0.009579867297002043,2.5916846523435786,0.009550727223558509,2150,0.9449234762595865,50,2005Q4-2016Q2,unemp,11.159107723175232
15,2.7571894453616004,0.7324759133026184,3.764204931913553,0.00016707982429865515,14.169238769442316,1.5522665679787928,3.962112322744408,1.3215366552884684,4.192842235434733,0.020890619458514073,0.009974544166499084,2.094393398815975,0.03622495032650409,2100,0.9498484152206994,50,2005Q4-2016Q1,unemp,11.159107723175232
16,2.6140521762210542,0.7064157610321968,3.7004442998291367,0.0002152223174486753,13.69328801613795,1.4519982493230907,3.776106103119018,1.2294772845979485,3.99862706784416,0.02114573386676584,0.010562899339046285,2.0018872837876605,0.04529685559635211,2050,0.9544249943464092,50,2005Q4-2015Q4,unemp,11.159107723175232
17,2.40021351923972,0.6825935782336361,3.5163142399475995,0.0004375827432102223,12.364465834058265,1.277347083045389,3.5230799554340515,1.0623301059017936,3.7380969325776467,0.021714288074234984,0.011197280235924156,1.9392466399625496,0.05247131291022609,2000,0.9583643597600419,50,2005Q4-2015Q3,unemp,11.159107723175232
18,2.182810265842895,0.6514098456060123,3.350901556933343,0.0008054893143190714,11.228541244258302,1.111241069821005,3.2543794618647857,0.9060469684551112,3.4595735632306797,0.021267515337714114,0.011403205819330398,1.865047046828008,0.062174809974086864,1950,0.961836005449425,50,2005Q4-2015Q2,unemp,11.159107723175232
19,2.0149605460265265,0.6176405882326044,3.2623512515464563,0.0011049214278734754,10.64293568846673,0.9989417783838923,3.0309793136691607,0.804384993090622,3.225536098962431,0.020117541228040582,0.010652499201440556,1.8885278325409356,0.05895512506521374,1900,0.96503268444677,50,2005Q4-2015Q1,unemp,11.159107723175232
20,1.795633055209762,0.5909127756231812,3.038744683284387,0.002375660969929833,9.23396925018913,0.8235815393096287,2.767684571109895,0.6374440149883268,2.953822095431197,0.015320614517051042,0.009986036436666986,1.5342037468235559,0.12497953616973892,1850,0.967736877788074,50,2005Q4-2014Q4,unemp,11.159107723175232
