h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,-0.17137669963071828,0.049609776168747,-3.454494514302639,0.0005513254320459806,11.933532349347026,-0.2529847814283071,-0.08976861783312946,-0.2686118609214624,-0.07414153833997418,-0.0007772377605565162,0.0010762275110411034,-0.7221872258261124,0.4701793759975038,2850,0.38349682743593316,50,2005Q4-2019Q4,vacancy,11.159107723175232
1,-0.30149019490755263,0.07180737703676995,-4.198596402611537,2.685745132511911e-05,17.62821175202254,-0.41961333013303914,-0.18336705968206604,-0.4422326538996217,-0.1607477359154835,-0.00033189865855291,0.001886348600646387,-0.175947679256729,0.8603350469697049,2800,0.5757718591104485,50,2005Q4-2019Q3,vacancy,11.159107723175232
2,-0.35782798669909094,0.09726438834672227,-3.67892085460433,0.0002342229342382643,13.534458654442656,-0.5178279055294491,-0.19782806786873278,-0.5484661878586666,-0.16718978553951533,0.0007748051889852086,0.002378222628764667,0.3257916982261958,0.7445819602161963,2750,0.6859028322257785,50,2005Q4-2019Q2,vacancy,11.159107723175232
3,-0.47461716575235924,0.11243468263056379,-4.221270115662168,2.429296207433597e-05,17.819121389382495,-0.6595722186796367,-0.28966211282508175,-0.6949891437082643,-0.2542451877964542,0.0012844591313615787,0.00270536283164132,0.4747825749429361,0.6349419542012369,2700,0.7545781003807635,50,2005Q4-2019Q1,vacancy,11.159107723175232
4,-0.48717291857912254,0.12229190518031559,-3.983689009185042,6.785365737552617e-05,15.869778121901703,-0.6883431026007417,-0.28600273455750336,-0.726865052732541,-0.24748078442570395,0.0023702900918136463,0.002849568961177089,0.8318065377981011,0.4055181530486506,2650,0.8025528477657095,50,2005Q4-2018Q4,vacancy,11.159107723175232
5,-0.5341137784901505,0.13791556734186358,-3.872759172763979,0.0001076101468619984,14.99826361022754,-0.7609848867675161,-0.30724267021278484,-0.8044282904802031,-0.26379926650009783,0.0006220420364744606,0.0030420919890368344,0.20447837827264623,0.8379796866849158,2600,0.8350654287968722,50,2005Q4-2018Q3,vacancy,11.159107723175232
6,-0.48125078711561264,0.15326860510050022,-3.139917576727799,0.0016899537491061299,9.859082388644174,-0.7333776425059355,-0.22912393172528978,-0.7816572531125932,-0.1808443211186322,-0.000657949957478081,0.0029150814938117904,-0.22570551076352202,0.8214304717123482,2550,0.8593552888551357,50,2005Q4-2018Q2,vacancy,11.159107723175232
7,-0.4081282161341732,0.16650801559200515,-2.4511025170956957,0.014241938458810641,6.007903549312855,-0.6820339017830217,-0.1342225304853247,-0.7344839266945032,-0.08177250557384311,-0.00040933900621003584,0.0028929029987423012,-0.14149766044281376,0.8874768081449969,2500,0.8786667869811879,50,2005Q4-2018Q1,vacancy,11.159107723175232
8,-0.3384565323077109,0.168199695897465,-2.012230346207254,0.044195660986378546,4.049070966197366,-0.6151450320590409,-0.06176803255638094,-0.6681279362667424,-0.008785128348679483,0.0007388520056045829,0.002734426495340348,0.2702036448460538,0.7870035887751956,2450,0.893182227895107,50,2005Q4-2017Q4,vacancy,11.159107723175232
9,-0.2576082531112421,0.18139552923611543,-1.4201466496780277,0.15556499163267204,2.0168165065917267,-0.5560038987046519,0.040787392482167825,-0.6131434904140284,0.09792698419154423,-0.003926611779064463,0.003000673015169072,-1.3085770289580252,0.19067766626200433,2400,0.9044580139631915,50,2005Q4-2017Q3,vacancy,11.159107723175232
10,-0.22234497775722914,0.1836861031651738,-1.210461618630412,0.22610180991075435,1.465217330177357,-0.5245086174639401,0.07981866194948181,-0.5823697399609699,0.13767978444651155,-0.008002831574256308,0.0037127332956719303,-2.1555094150138663,0.031121992670311814,2350,0.913568112415947,50,2005Q4-2017Q2,vacancy,11.159107723175232
11,-0.20458491436682222,0.1983676323126435,-1.031342220410131,0.3023803658915565,1.0636667756004992,-0.5308996695211208,0.12172984078747635,-0.5933854736996035,0.18421564496595905,-0.006059260762907671,0.003810151440010217,-1.5902939445607505,0.11176856294395075,2300,0.9199588699567705,50,2005Q4-2017Q1,vacancy,11.159107723175232
