h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.18499320032542899,0.07912534491693839,2.337976542404019,0.019388465046249637,5.466134312831451,0.054832007937065365,0.31515439271379264,0.029907524288229768,0.34007887636262824,-0.004587332060585939,0.0034586783957526205,-1.326325126446953,0.18473202756863083,2850,0.6648783190232175,50,2005Q4-2019Q4,unemp,11.159107723175232
1,0.4353692242426224,0.1666634437259662,2.6122658605235087,0.008994427855233618,6.823932926056628,0.16120785931340806,0.7095305891718369,0.10870887453972868,0.7620295739455162,-0.004498634141612037,0.006198131434713334,-0.7258048960396241,0.467958385045702,2800,0.7429563930584288,50,2005Q4-2019Q3,unemp,11.159107723175232
2,0.6401923758687079,0.23140265571444973,2.7665731574779486,0.0056648872888451045,7.653927035677507,0.2595350072184381,1.0208497445189777,0.18664317066838645,1.0937415810690292,-0.003961859369778327,0.008150867753354106,-0.4860659612773144,0.6269203996594812,2750,0.7853670078961671,50,2005Q4-2019Q2,unemp,11.159107723175232
3,0.8316217806975383,0.2875178913015887,2.8924175011607116,0.0038228956627403693,8.366079001020776,0.3586548495064249,1.3045887118886519,0.2680867137464244,1.3951568476486522,-0.0009241931212937213,0.009070491068274586,-0.10189008669290536,0.9188439186833406,2700,0.8176375822723102,50,2005Q4-2019Q1,unemp,11.159107723175232
4,1.0598528388062585,0.34730914152552433,3.0516122730053974,0.0022761590694463096,9.312337464757167,0.48852930099677094,1.631176376615746,0.3791269214162308,1.740578756196286,0.0029258286575168306,0.0094441944439102,0.309801823214627,0.7567116650577047,2650,0.8416518887670015,50,2005Q4-2018Q4,unemp,11.159107723175232
5,1.3220100667257313,0.4225193897578377,3.1288743162377157,0.001754773484982157,9.789854486812033,0.6269656705740883,2.0170544628773746,0.49387206280036944,2.150148070651093,0.004700482781788113,0.00940036614708385,0.5000318826140916,0.6170526281050175,2600,0.8596994853772472,50,2005Q4-2018Q3,unemp,11.159107723175232
6,1.5631358436578235,0.5014999575769619,3.116921188209551,0.0018275042046572998,9.71519769350964,0.7381684134437213,2.3881032738719257,0.5801959268069783,2.546075760508669,0.00613023464410025,0.00969593410878329,0.6322479686147034,0.5272248571135886,2550,0.8738779213622707,50,2005Q4-2018Q2,unemp,11.159107723175232
7,1.818396263952975,0.5712299209543177,3.1833000990478495,0.0014560661585006844,10.133399520598049,0.8787230439831222,2.758069483922828,0.6987856188825121,2.938006909023438,0.006784048235446489,0.009763298126903904,0.6948521029745321,0.487147991856681,2500,0.8866344546252065,50,2005Q4-2018Q1,unemp,11.159107723175232
8,2.0613317366492403,0.6197670640592071,3.325978187915321,0.0008810882323603579,11.062130906488484,1.0418149162718446,3.080848557026636,0.8465882910931943,3.2760751822052865,0.008472848927183954,0.009461747809612535,0.8954845444703228,0.3705281241219007,2450,0.8982178103182977,50,2005Q4-2017Q4,unemp,11.159107723175232
9,2.337294413266427,0.6655778059326861,3.5116772110379104,0.00044528847895826325,12.331876834522998,1.242418922507158,3.4321699040256957,1.032761913638362,3.6418269128944916,0.014661735751613622,0.009245122992413644,1.585888664071288,0.11276456776127522,2400,0.9086045976467407,50,2005Q4-2017Q3,unemp,11.159107723175232
10,2.5987721660537,0.7108013699070544,3.656115865946515,0.00025606565141092177,13.367183225225837,1.4295039125565951,3.768040419550805,1.205601481035873,3.9919428510715265,0.024842114727112185,0.009502913423563892,2.614157745088202,0.008944772795719284,2350,0.9178687370045511,50,2005Q4-2017Q2,unemp,11.159107723175232
11,2.763285719399364,0.7491395173365016,3.688612942518342,0.00022547993128784692,13.605865439713822,1.5309512133808185,3.995620225417909,1.2949722654198206,4.231599173378907,0.03224652673154658,0.010077010520867399,3.200009235355139,0.0013742318406799415,2300,0.9259784710732767,50,2005Q4-2017Q1,unemp,11.159107723175232
