h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,-0.16821707370104108,0.04889070529432441,-3.4406759462430774,0.0005802630316849202,11.838250967055696,-0.2486422839102047,-0.08779186349187743,-0.2640428560779169,-0.07239129132416522,-0.0002888055585903437,0.0011376705879083445,-0.25385692630177326,0.7996060927094275,2850,0.38346465877453084,50,2005Q4-2019Q4,vacancy,11.159107723175232
1,-0.3001362710022692,0.07123259642912136,-4.213468075685182,2.5147914624529825e-05,17.753313224818193,-0.4173138921281738,-0.1829586498763645,-0.43975216000334705,-0.16052038200119131,-0.00011151057856733523,0.0019572435255213244,-0.056973277526941195,0.9545664819990832,2800,0.5757687560497537,50,2005Q4-2019Q3,vacancy,11.159107723175232
2,-0.35742656573177195,0.09692792901883591,-3.6875498047865394,0.00022642378609598926,13.598023562781245,-0.5168730089677571,-0.19798012249578686,-0.5474053066086904,-0.16744782485485357,0.0008449080519441777,0.002401300079340317,0.3518544221996153,0.7249474419318076,2750,0.6859046311383732,50,2005Q4-2019Q2,vacancy,11.159107723175232
3,-0.4776582989060284,0.11220264079690682,-4.2571038926848175,2.0709213325377045e-05,18.122933553112226,-0.6622316430169402,-0.29308495479511665,-0.6975754748679658,-0.257741122944091,0.0007687680442410106,0.0026735527134316346,0.2875454971876203,0.7736946703557556,2700,0.7545626660362783,50,2005Q4-2019Q1,vacancy,11.159107723175232
4,-0.48832823680945225,0.12098824972130932,-4.036162502840508,5.4332590263678315e-05,16.290607749335752,-0.6873539076010061,-0.28930256601789844,-0.7254652062632185,-0.25119126735568603,0.002154427463767091,0.002770674254255019,0.7775823738422023,0.4368152554506535,2650,0.8025400175836195,50,2005Q4-2018Q4,vacancy,11.159107723175232
5,-0.5356529766971865,0.13769984836363808,-3.8900041144753685,0.00010024252235102836,15.132132010635296,-0.762169227255371,-0.30913672613900184,-0.805544679489917,-0.2657612739044558,0.00034162411109414913,0.003104991447141115,0.1100241713737072,0.9123902053028056,2600,0.8350628943690553,50,2005Q4-2018Q3,vacancy,11.159107723175232
6,-0.4851133082328368,0.15447095068803401,-3.1404824406924283,0.0016866981847257028,9.862629960297472,-0.7392180221146527,-0.2310085943510209,-0.7878763715813835,-0.18235024488429016,-0.0011944735129859612,0.0029371670997256315,-0.4066753686222142,0.6842464336318264,2550,0.8593625403398808,50,2005Q4-2018Q2,vacancy,11.159107723175232
7,-0.41737827333540445,0.16831259742675636,-2.47978035938179,0.013146333490276474,6.1493106307756795,-0.6942524961024187,-0.14050405056839022,-0.7472709642918468,-0.08748558237896195,-0.001748010824845783,0.0029397881742226485,-0.5946043460454424,0.5521079743058394,2500,0.8786854855593635,50,2005Q4-2018Q1,vacancy,11.159107723175232
8,-0.35089653106165575,0.1707164983424302,-2.055434210920921,0.03983708398415731,4.22480979542411,-0.6317251708349534,-0.0700678912883581,-0.6855008678128189,-0.01629219431049256,-0.0011351199161999822,0.0029778298906582286,-0.3811903157265547,0.7030620345615595,2450,0.8931864613085135,50,2005Q4-2017Q4,vacancy,11.159107723175232
9,-0.26470117107514884,0.18524921433108696,-1.4288922737456866,0.15303519846419522,2.041733129970118,-0.5694361286497869,0.04003378649948918,-0.6277896311640792,0.09838728901378153,-0.004453887161179541,0.003227407888534434,-1.3800199153637354,0.16758051304203514,2400,0.9044779039306279,50,2005Q4-2017Q3,vacancy,11.159107723175232
