h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,-0.1663620341665378,0.049531907352255114,-3.358684190847409,0.0007831451088815348,11.280759493848317,-0.24784202176099746,-0.08488204657207814,-0.2634445725769578,-0.06927949575611776,2850,0.38345973909932907,50,2005Q4-2019Q4,vacancy,11.159107723175232
1,-0.2994415454304755,0.0709754955644911,-4.218942651247729,2.4545069048078066e-05,17.799477094517215,-0.4161962356340634,-0.18268685522688766,-0.4385535167368781,-0.16032957412407295,2800,0.5757683765944694,50,2005Q4-2019Q3,vacancy,11.159107723175232
2,-0.3626138777006502,0.0931855177862492,-3.891311507571607,9.970382912088269e-05,15.142305248959213,-0.5159040544590301,-0.2093237009422702,-0.5452574925616985,-0.17997026283960174,2750,0.6858905560751782,50,2005Q4-2019Q2,vacancy,11.159107723175232
3,-0.4823057691442061,0.11172764541691167,-4.316798831161995,1.583083125573711e-05,18.634752148721564,-0.6660977458550258,-0.2985137924333864,-0.7012919541613528,-0.2633195841270592,2700,0.754554480152694,50,2005Q4-2019Q1,vacancy,11.159107723175232
4,-0.501262334346904,0.122520193192483,-4.091263009677151,4.2903023030144014e-05,16.73843301435254,-0.7028080521485386,-0.2997166165452695,-0.7414019130041706,-0.26112275568963733,2650,0.8024890925594432,50,2005Q4-2018Q4,vacancy,11.159107723175232
5,-0.5377250880004107,0.13863005964367558,-3.8788491426934346,0.00010495181234843935,15.045470671773593,-0.7657715361142571,-0.3096786398865644,-0.8094400049020148,-0.2660101710988066,2600,0.8350618513163197,50,2005Q4-2018Q3,vacancy,11.159107723175232
6,-0.477228505189369,0.155644720839188,-3.0661400053680015,0.002168417531131104,9.401214532518088,-0.7332640709698334,-0.22119293940890472,-0.7822921580341775,-0.17216485234456053,2550,0.8593519048977851,50,2005Q4-2018Q2,vacancy,11.159107723175232
7,-0.4056238557361892,0.1684854940415439,-2.407470494974324,0.016063460142858005,5.7959141841719175,-0.6827824934345289,-0.12846521803784952,-0.7358554240576153,-0.0753922874147632,2500,0.8786656431521417,50,2005Q4-2018Q1,vacancy,11.159107723175232
8,-0.34304599094695354,0.17303565917230898,-1.9825161622053182,0.04742150030070991,3.9303703334053037,-0.6276896502854018,-0.05840233160850523,-0.6821958829246791,-0.003896098969227909,2450,0.8931788139006607,50,2005Q4-2017Q4,vacancy,11.159107723175232
9,-0.23376170142540392,0.18507068009280095,-1.263094193570735,0.20655533047469632,1.5954069418321053,-0.5382029701780615,0.07067956732725368,-0.5965002344072938,0.12897683155648598,2400,0.9043686550879754,50,2005Q4-2017Q3,vacancy,11.159107723175232
10,-0.17461774593240748,0.18656938394210812,-0.9359399824495899,0.3493040898631803,0.8759836507477385,-0.48152438251717533,0.1322888906523604,-0.5402937384589394,0.19105824659412446,2350,0.9132202574508455,50,2005Q4-2017Q2,vacancy,11.159107723175232
11,-0.16907797873485386,0.20061498070730188,-0.8427983699858355,0.39934121979233705,0.7103090924507812,-0.49908962199836543,0.16093366452865776,-0.5622833409211656,0.22412738345145788,2300,0.919769696262348,50,2005Q4-2017Q1,vacancy,11.159107723175232
12,-0.21238890506068864,0.2036416593433128,-1.0429541074531765,0.2969695481560145,1.087753270253452,-0.5473794346804381,0.12260162455906093,-0.6115265573735817,0.1867487472522045,2250,0.9246415457672377,50,2005Q4-2016Q4,vacancy,11.159107723175232
13,-0.16932820723876732,0.19765005688600584,-0.856707100956854,0.3916067779470912,0.7339470568298972,-0.4944625508162469,0.15580613633871224,-0.5567223187353387,0.21806590425780406,2200,0.9284733158735663,50,2005Q4-2016Q3,vacancy,11.159107723175232
14,-0.2697739667246869,0.2008703584441239,-1.343025266715646,0.17926379251256663,1.803716867036632,-0.6002057063652707,0.06065777291589694,-0.6634798692751698,0.12393193582579592,2150,0.9308447229821691,50,2005Q4-2016Q2,vacancy,11.159107723175232
15,-0.266790598596843,0.19518411984904707,-1.3668663147553985,0.17166721212282277,1.8683235224130041,-0.5878684757485254,0.05428727855483942,-0.6493514735009753,0.11577027630728925,2100,0.932286722405063,50,2005Q4-2016Q1,vacancy,11.159107723175232
16,-0.264463168825716,0.18483638151116472,-1.4307960730649858,0.15248866888264542,2.047177402698184,-0.568519016411582,0.039592678760149935,-0.6267424765875989,0.09781613893616681,2050,0.9333842638774592,50,2005Q4-2015Q4,vacancy,11.159107723175232
17,-0.2417063650318797,0.19081441022436915,-1.2667091796037273,0.20525929648052466,1.604552145692348,-0.5555960698509669,0.07218333978720752,-0.6157026090716432,0.13228987900788383,2000,0.9348053514063402,50,2005Q4-2015Q3,vacancy,11.159107723175232
18,-0.27330204724980595,0.19227079647412754,-1.4214433614549582,0.1551879082144189,2.020501229824371,-0.5895875074497458,0.04298341295013386,-0.650152808339096,0.10354871383948398,1950,0.9374271281998853,50,2005Q4-2015Q2,vacancy,11.159107723175232
19,-0.2448234931686253,0.1856074047822497,-1.31903947181335,0.18715591679595567,1.7398651282016413,-0.5501476740354261,0.060500687698175445,-0.6086140065418347,0.11896702020458405,1900,0.940507639178534,50,2005Q4-2015Q1,vacancy,11.159107723175232
20,-0.16482260531127324,0.20786954105377342,-0.7929136922885472,0.42782810931465876,0.628712123418657,-0.5067680003447305,0.17712278972218404,-0.5722469057766691,0.24260169515412267,1850,0.9428284820828777,50,2005Q4-2014Q4,vacancy,11.159107723175232
