h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.21101925608875927,0.07812207050953586,2.701147764164821,0.006910063087978214,7.2961992438526115,0.08250845010057278,0.33953006207694575,0.057899997890068985,0.36413851428744953,3700,0.652443267076489,50,2001Q3-2019Q4,unemp,16.921527932093753
1,0.41911451298217783,0.1538349056039695,2.7244435281882033,0.006440994430789954,7.422592538286586,0.16605609326364804,0.6721729327007077,0.11759809799839767,0.7206309279659581,3650,0.7161245977867305,50,2001Q3-2019Q3,unemp,16.921527932093753
2,0.5454818431086573,0.2253873551334002,2.420197188017946,0.015512092842397254,5.857354428889973,0.17471964391421402,0.9162440423031007,0.103722627047193,0.9872410591701217,3600,0.7613314026314468,50,2001Q3-2019Q2,unemp,16.921527932093753
3,0.6317651659694793,0.2867692624097052,2.203043522380306,0.02759168123812703,4.853400761501827,0.1600297293055142,1.1035006026334444,0.06969741164645707,1.1938329202925015,3550,0.7945386217496297,50,2001Q3-2019Q1,unemp,16.921527932093753
4,0.695436582343857,0.3447467999466399,2.0172386877891166,0.04367061052477498,4.069251923513157,0.1283280964316343,1.2625450682560795,0.019732854448442666,1.3711403102392712,3500,0.8192647862108177,50,2001Q3-2018Q4,unemp,16.921527932093753
5,0.7633884274339962,0.4010429290564615,1.9035080090553629,0.056974289629275886,3.6233427405379115,0.10367280913611701,1.4231040457318753,-0.02265571351666837,1.5494325683846608,3450,0.8377799949714284,50,2001Q3-2018Q3,unemp,16.921527932093753
6,0.8576909425591274,0.45228276258895334,1.896360006402941,0.05791245650000961,3.596181273884562,0.11368579810029916,1.6016960870179555,-0.028783272115221213,1.7441651572334758,3400,0.852048219747347,50,2001Q3-2018Q2,unemp,16.921527932093753
7,0.9658195627629835,0.49089469552068427,1.967467914352902,0.04912929143665148,3.870929994008158,0.15829778863145788,1.7733413368945092,0.003665959542442348,1.9279731659835249,3350,0.8642413016624311,50,2001Q3-2018Q1,unemp,16.921527932093753
8,1.065988174216732,0.5248156606928199,2.031166853537677,0.04223807157710373,4.125638786910146,0.2026664123770433,1.929309936056421,0.03734947925880516,2.094626869174659,3300,0.8750376751759574,50,2001Q3-2017Q4,unemp,16.921527932093753
9,1.1482368139096613,0.5577508431737718,2.058691309861308,0.039523819240860375,4.238209909298469,0.23073667688880686,2.065736950930516,0.0550451612890687,2.241428466530254,3250,0.8844548096873209,50,2001Q3-2017Q3,unemp,16.921527932093753
10,1.2689046816534135,0.5723677301559863,2.216939591104483,0.026627219838387402,4.914821150606513,0.32735976554681595,2.2104495977600114,0.1470639305476803,2.3907454327591466,3200,0.8931925604258342,50,2001Q3-2017Q2,unemp,16.921527932093753
11,1.3366135085728832,0.5770199087144154,2.316407958177425,0.020536004649364684,5.365745828707706,0.3874157587376699,2.2858112584080965,0.20565448749262896,2.4675725296531374,3150,0.9009233289682406,50,2001Q3-2017Q1,unemp,16.921527932093753
12,1.4183333752731715,0.56779053952474,2.4979869803050345,0.012490078102757148,6.239938953773465,0.4843179377549742,2.352348812791369,0.30546391780468113,2.531202832741662,3100,0.9080012910339708,50,2001Q3-2016Q4,unemp,16.921527932093753
13,1.5058221486107806,0.5641109650281381,2.669372236959921,0.007599317846493089,7.125548139452413,0.5778596111394935,2.433784686082068,0.40016465715563015,2.611479640065931,3050,0.9147561890405727,50,2001Q3-2016Q3,unemp,16.921527932093753
14,1.5518691750363378,0.5525393130550719,2.8086131400421497,0.004975539600191557,7.888307770417424,0.6429420050607445,2.460796345011931,0.4688921214483968,2.6348462286242786,3000,0.9211204749946439,50,2001Q3-2016Q2,unemp,16.921527932093753
15,1.613025894086091,0.5379647117670374,2.9983860628847396,0.0027141361944147497,8.99031898210145,0.7280739432293146,2.497977844942868,0.5586150590226977,2.6674367291494847,2950,0.9272688581983645,50,2001Q3-2016Q1,unemp,16.921527932093753
16,1.654593533557048,0.5225983164375995,3.1660904398543233,0.0015450274846872973,10.024128673336943,0.7949193030171969,2.5142677640968993,0.6303008333393532,2.678886233774743,2900,0.9330707519828594,50,2001Q3-2015Q4,unemp,16.921527932093753
17,1.6613269461373574,0.4982632697398371,3.3342352267001374,0.0008553429018819135,11.117124546968116,0.8416838674153255,2.4809700248593893,0.6847309374472769,2.6379229548274385,2850,0.9386823383296758,50,2001Q3-2015Q3,unemp,16.921527932093753
18,1.6149526760774866,0.48334249284948866,3.3412180802824176,0.0008341167802118546,11.163738260006124,0.8198542753400777,2.4100510768148955,0.6676013900924889,2.5623039620624843,2800,0.9444280592267701,50,2001Q3-2015Q2,unemp,16.921527932093753
19,1.557209205604957,0.45984390899438504,3.386386500172108,0.0007081956460339047,11.467613528547899,0.8007659753091936,2.3136524359007202,0.6559151439759624,2.4585032672339517,2750,0.948596265621034,50,2001Q3-2015Q1,unemp,16.921527932093753
20,1.497631740515604,0.4399179676430261,3.4043431973000606,0.0006632336640419112,11.589552605003199,0.7739666837428262,2.2212967972883817,0.6353925239352728,2.3598709570959353,2700,0.9522285949113302,50,2001Q3-2014Q4,unemp,16.921527932093753
