h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,-0.09365518221233524,0.0408063527043423,-2.295112795081271,0.02172666100038333,5.267542742145765,-0.16078163241097831,-0.026528732013692147,-0.17363563351284614,-0.013674730911824324,3700,0.39112968692027383,50,2001Q3-2019Q4,vacancy,16.92152793209377
1,-0.1214826483751993,0.06470969226680183,-1.8773485720550065,0.06047033512820372,3.524437660996972,-0.2279300921540883,-0.015035204596310298,-0.24831364521813087,0.005348348467732272,3650,0.5784206768659055,50,2001Q3-2019Q3,vacancy,16.92152793209377
2,-0.15543982946764762,0.0803679939619606,-1.9341011490372608,0.053100692689218625,3.7407472547072524,-0.28764517953507285,-0.023234479400222437,-0.3129610976330904,0.002081438697795135,3600,0.6811803641317058,50,2001Q3-2019Q2,vacancy,16.92152793209377
3,-0.22032148695908324,0.0960012192243582,-2.2949863422482606,0.021733907016132335,5.266962311106051,-0.37824349258315243,-0.06239948133501399,-0.4084838766388253,-0.032159097279341145,3550,0.7438076539424401,50,2001Q3-2019Q1,vacancy,16.92152793209377
4,-0.23304656787200895,0.10446893642524475,-2.2307738151308834,0.02569611526464532,4.976351814273596,-0.40489796829153657,-0.06119516745248132,-0.4378056832654887,-0.02828745247852922,3500,0.7891346370977023,50,2001Q3-2018Q4,vacancy,16.92152793209377
5,-0.27215392693689167,0.11213328490750202,-2.427057471484846,0.015221844319969943,5.8906079698904135,-0.4566131806097325,-0.08769467326405085,-0.49193516535559567,-0.05237268851818773,3450,0.8189397892378055,50,2001Q3-2018Q3,vacancy,16.92152793209377
6,-0.3114174717222994,0.12244903051994172,-2.5432416279652195,0.010982924978843513,6.46807797821518,-0.5128461269276035,-0.1099888165169953,-0.5514175715413852,-0.07141737190321365,3400,0.841010226129158,50,2001Q3-2018Q2,vacancy,16.92152793209377
7,-0.31242149365376914,0.13039156379489888,-2.3960253605455377,0.01657394353086638,5.740937528377374,-0.5269156160963778,-0.09792737121116045,-0.567988958691771,-0.056854028615767285,3350,0.8570083753737174,50,2001Q3-2018Q1,vacancy,16.92152793209377
8,-0.28409549655244326,0.13452037984682197,-2.1119141714879346,0.03469381164181756,4.460181467731569,-0.5053815214004654,-0.06280947170442111,-0.5477554410522143,-0.0204355520526722,3300,0.868677469113357,50,2001Q3-2017Q4,vacancy,16.92152793209377
9,-0.29013536313108496,0.1405856375439619,-2.0637624738896823,0.03904024268455723,4.259115548635261,-0.5213987368909022,-0.05887198937126767,-0.5656832127172503,-0.01458751354491969,3250,0.8773828833500581,50,2001Q3-2017Q3,vacancy,16.92152793209377
10,-0.27959050986759165,0.1464490899842194,-1.9091310836941282,0.05624518379909232,3.644781494727116,-0.5204992628916326,-0.03868175684355076,-0.5666307262366618,0.007449706501478331,3200,0.884532455275018,50,2001Q3-2017Q2,vacancy,16.92152793209377
11,-0.2732277779084792,0.15188587809241866,-1.7989017895543065,0.07203421747541446,3.2360476484616862,-0.5230800473705078,-0.02337550844645047,-0.5709240989696198,0.024468543152661417,3150,0.890759206744656,50,2001Q3-2017Q1,vacancy,16.92152793209377
12,-0.25743960299427104,0.153590052690667,-1.6761476312060313,0.09370927894820472,2.8094708815975897,-0.5100952396704181,-0.004783966318123814,-0.5584761062679783,0.04359690027943628,3100,0.8959016443761584,50,2001Q3-2016Q4,vacancy,16.92152793209377
13,-0.23659426708216624,0.158075072571425,-1.496720913888956,0.13446589207580584,2.2401734940725913,-0.4966277614621603,0.023439227297827873,-0.5464214093221592,0.07323287515782673,3050,0.9013095600045691,50,2001Q3-2016Q3,vacancy,16.92152793209377
14,-0.22870838155230355,0.16618638924680548,-1.3762160823690912,0.16875474446002936,1.8939707053713293,-0.5020849918632986,0.04466822875869152,-0.5544337044760422,0.09701694137143524,3000,0.9058468358384026,50,2001Q3-2016Q2,vacancy,16.92152793209377
15,-0.2562362354410155,0.1676626521957896,-1.528284517065812,0.1264419123692097,2.335653565103082,-0.5320412983030893,0.019568827421058373,-0.5848550337447631,0.07238256286273209,2950,0.9106234453162763,50,2001Q3-2016Q1,vacancy,16.92152793209377
16,-0.2897401604188283,0.16768588004777835,-1.7278745254894048,0.08401072240633686,2.9855503758352357,-0.5655834330974236,-0.01389688774023287,-0.6184044853124738,0.03892416447481725,2900,0.9145787648796315,50,2001Q3-2015Q4,vacancy,16.92152793209377
17,-0.3043190149494285,0.18128345777262378,-1.6786915843756853,0.09321216693356463,2.8180054354537485,-0.6025303029853946,-0.006107726913462384,-0.6596345921837711,0.050996562284914095,2850,0.9190492766760054,50,2001Q3-2015Q3,vacancy,16.92152793209377
18,-0.36831552450847416,0.17538981486520644,-2.0999824008682504,0.03573038930044268,4.409926083956381,-0.6568317699617389,-0.07979927905520953,-0.7120795616442789,-0.02455148737266952,2800,0.9236709339314779,50,2001Q3-2015Q2,vacancy,16.92152793209377
19,-0.37448618638863485,0.18910672471335174,-1.9802901613164818,0.047670933698758695,3.9215491230068578,-0.6855667485420985,-0.06340562423517124,-0.7451353668268043,-0.0038370059504654283,2750,0.9271648258272962,50,2001Q3-2015Q1,vacancy,16.92152793209377
20,-0.43794400796127125,0.19120556799271582,-2.290435433229409,0.02199608746150212,5.246094473792789,-0.7524771673092888,-0.12341084861325367,-0.8127069212269943,-0.06318109469554824,2700,0.9311625542599631,50,2001Q3-2014Q4,vacancy,16.92152793209377
