h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,instr_sd
0,-0.24669196209954936,0.1098592083746665,-2.2455283061773494,0.024734237170201737,5.042397373843716,-0.4274103598758758,-0.06597356432322297,-0.4620160105138958,-0.031367913685203,,,,,3750,0.6497257068480351,50,2001Q2-2019Q4,1.7152090019782487
1,-0.5664530779623531,0.23389698930300526,-2.4218057686434484,0.015443602512734236,5.865143181034684,-0.9512136253657967,-0.18169253055890938,-1.0248911769962434,-0.10801497892846276,,,,,3700,0.7145232256542587,50,2001Q2-2019Q3,1.7152090019782487
2,-0.8269366392830143,0.34843364223485507,-2.373297348611456,0.017630064566738844,5.6325403049261675,-1.4001099807593511,-0.25376329780667767,-1.5098665780633302,-0.14400670050269843,,,,,3650,0.7614556583973782,50,2001Q2-2019Q2,1.7152090019782487
3,-0.9764153350307606,0.45486567128971167,-2.146601506027623,0.03182501992025517,4.607898025680059,-1.7246693643023365,-0.22816130575918492,-1.8679520507585958,-0.08487861930292574,,,,,3600,0.7946487239522544,50,2001Q2-2019Q1,1.7152090019782487
4,-1.0426662502214872,0.5481723077546318,-1.9020775684425792,0.0571610145401525,3.6178990763724346,-1.9444096964778566,-0.14092280396511803,-2.1170839734205655,0.03175147297759097,,,,,3550,0.8187360854619036,50,2001Q2-2018Q4,1.7152090019782487
5,-1.0037704368372373,0.6209519651135752,-1.616502552904624,0.10598570189186278,2.6130805035471667,-2.0252364194490684,0.017695545774593896,-2.2208362884598447,0.2132954147853701,,,,,3500,0.8364619400572254,50,2001Q2-2018Q3,1.7152090019782487
6,-0.8896645175594977,0.6894851119489316,-1.2903317303614135,0.19693550447004715,1.6649559743774793,-2.02386752671549,0.24453849159649463,-2.2410553369794037,0.4617263018604081,,,,,3450,0.8503109542905368,50,2001Q2-2018Q2,1.7152090019782487
7,-0.6534477918008904,0.74916802363775,-0.8722312901556196,0.3830822127741602,0.7607874235265367,-1.8858291906849896,0.5789336070832085,-2.1218171181308807,0.8149215345290995,,,,,3400,0.8622019475314738,50,2001Q2-2018Q1,1.7152090019782487
8,-0.2792198083255621,0.8043466703795202,-0.3471386388580635,0.7284871666538144,0.12050523458822904,-1.602370081099873,1.0439304644487486,-1.8557392822694219,1.2972996656182976,,,,,3350,0.8726380229579165,50,2001Q2-2017Q4,1.7152090019782487
9,0.1704902104036547,0.8575275342637309,0.19881601883493663,0.8424066649164959,0.03952780934537388,-1.2401425834601827,1.581123004267492,-1.510263756753258,1.8512441775605673,,,,,3300,0.8817338737849346,50,2001Q2-2017Q3,1.7152090019782487
10,0.5687647049692512,0.9034610132146064,0.6295398436126519,0.5289956925218179,0.3963204146958422,-0.9174286617687762,2.0549580717072784,-1.2020188809313772,2.33954829086988,,,,,3250,0.8899161314478051,50,2001Q2-2017Q2,1.7152090019782487
11,0.8933696011969035,0.9172839213514198,0.9739292059984179,0.3300916911495043,0.9485380982967088,-0.6155624494261821,2.402301651819989,-0.9045068846518791,2.6912460870456862,,,,,3200,0.8975634181347029,50,2001Q2-2017Q1,1.7152090019782487
12,1.2403591189741219,0.9225167256707444,1.3445383530279957,0.1787743628754369,1.8077833827632352,-0.27718089475425256,2.7578991327024966,-0.567773663340537,3.0484919012887812,,,,,3150,0.9046963439674557,50,2001Q2-2016Q4,1.7152090019782487
13,1.6636423730197285,0.9160134103539371,1.8161768749399818,0.06934324422373118,3.298498441066758,0.15680031298750213,3.170484433051955,-0.13174391127398818,3.4590286573134454,,,,,3100,0.9114807865128741,50,2001Q2-2016Q3,1.7152090019782487
14,1.995377678286272,0.8945575635729981,2.2305749339555434,0.025709298712717397,4.975464535990777,0.5238304862086902,3.4669248703638536,0.2420448536831957,3.748710502889349,,,,,3050,0.9179677974824636,50,2001Q2-2016Q2,1.7152090019782487
15,2.294308999673614,0.85539799373206,2.6821538236998372,0.007314981585016196,7.193949133987657,0.8871792999843753,3.701438699362853,0.6177289319587763,3.970889067388452,,,,,3000,0.9241979675638266,50,2001Q2-2016Q1,1.7152090019782487
16,2.4374040464710465,0.8078495105808886,3.017151108649453,0.0025516258073035466,9.103200812424625,1.1084916015654847,3.766316491376608,0.8540190057325047,4.020789087209588,,,,,2950,0.9300161123037062,50,2001Q2-2015Q4,1.7152090019782487
17,2.440670974476944,0.7851412780174735,3.1085755427861055,0.0018799157996867194,9.663241905207931,1.1491135721382002,3.732228376815688,0.9017940695626961,3.979547879391192,,,,,2900,0.9353663417716155,50,2001Q2-2015Q3,1.7152090019782487
18,2.404869717342651,0.7899414026703748,3.0443646949166814,0.002331722903764809,9.268156395655138,1.1054161099498845,3.7043233247354177,0.8565845681087165,3.9531548665765857,,,,,2850,0.9404816975578405,50,2001Q2-2015Q2,1.7152090019782487
19,2.229873381792435,0.8069741352217896,2.763252605586391,0.005722845737965452,7.635564962279978,0.902400929352591,3.5573458342322786,0.6482040767577273,3.811542686827143,,,,,2800,0.9458374437477456,50,2001Q2-2015Q1,1.7152090019782487
20,2.1397286433948506,0.834100052892336,2.5653141202606333,0.010308243649090247,6.580836535608587,0.7676340563869578,3.5118232304027432,0.5048925397258719,3.774564747063829,,,,,2750,0.9496027531187577,50,2001Q2-2014Q4,1.7152090019782487
