h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.008445338958936548,0.03290997403913631,0.2566194354603079,0.7974725700001142,0.06585353465596713,-0.04569156833544268,0.06258224625331577,-0.05605821015777061,0.07294888807564372,3700,0.6490297077323702,50,2001Q3-2019Q4,unemp,9.031967713717712
1,0.026473770459428902,0.06477002219600889,0.4087349295529531,0.6827341972913787,0.16706424263665753,-0.08007291605300573,0.13302045697186352,-0.10047547304474852,0.1534230139636063,3650,0.7121832313945962,50,2001Q3-2019Q3,unemp,9.031967713717712
2,0.08966597160650543,0.09395589745889968,0.9543410688587074,0.339911025887373,0.9107668757103801,-0.06489147971338453,0.24422342292639537,-0.09448758741293793,0.27381953062594877,3600,0.7579968192728542,50,2001Q3-2019Q2,unemp,9.031967713717712
3,0.1899712698190646,0.12179736138326329,1.5597322278704915,0.11882317286818267,2.4327646226578468,-0.010385389656403522,0.3903279292945327,-0.04875155849213144,0.42869409813026066,3550,0.7919741308718778,50,2001Q3-2019Q1,unemp,9.031967713717712
4,0.3017782334855418,0.146407293084481,2.0612240492104963,0.039281670193146254,4.248644581043714,0.06093823636157056,0.5426182306095131,0.014819939039959071,0.5887365279311246,3500,0.8174519737381698,50,2001Q3-2018Q4,unemp,9.031967713717712
5,0.41544854771176154,0.1689298719054343,2.4592959375729984,0.013920981246629271,6.048136508563053,0.13755890842732213,0.693338186996201,0.0843459987771103,0.7465510966464127,3450,0.8365017491431201,50,2001Q3-2018Q3,unemp,9.031967713717712
6,0.533831852666494,0.18951948371844726,2.816765021688018,0.004851000228158585,7.9341651874051,0.22207230194964828,0.8455914033833397,0.16237366457833738,0.9052900407546506,3400,0.8511194279298753,50,2001Q3-2018Q2,unemp,9.031967713717712
7,0.675902868929638,0.2094186127294881,3.227520515584356,0.0012486808658623912,10.416888678517907,0.33140925098963003,1.020396486869646,0.26544238797984127,1.0863633498794347,3350,0.8636594838623529,50,2001Q3-2018Q1,unemp,9.031967713717712
8,0.8431771618018219,0.23306874476997516,3.6177187234349546,0.0002972111372163043,13.087888761891838,0.4597790766552127,1.226575246948431,0.3863624220526706,1.2999919015509733,3300,0.8749929370751628,50,2001Q3-2017Q4,unemp,9.031967713717712
9,0.987046593590718,0.25380937291716965,3.8889288533597193,0.00010068762665761758,15.123767626493741,0.5695301751419739,1.404563012039462,0.48958022267306545,1.4845129645083703,3250,0.8849169079458228,50,2001Q3-2017Q3,unemp,9.031967713717712
10,1.0828896908939236,0.27434768986105296,3.9471434639831213,7.90891693366326e-05,15.579941525264674,0.6315877410724915,1.5341916407153557,0.5451682187662599,1.6206111630215874,3200,0.8937058801838424,50,2001Q3-2017Q2,unemp,9.031967713717712
11,1.164542562796361,0.29889732919970874,3.896129035058289,9.774232875810013e-05,15.179821457824234,0.6728564562628401,1.656228669329882,0.5787037975649318,1.75038132802779,3150,0.9015997773061535,50,2001Q3-2017Q1,unemp,9.031967713717712
12,1.2261725499392426,0.31791297286446113,3.8569440526165897,0.0001148134279320585,14.876017425014483,0.7032057095772042,1.7491393903012813,0.6030631231248988,1.8492819767535864,3100,0.9086892953911268,50,2001Q3-2016Q4,unemp,9.031967713717712
13,1.2838515047628727,0.33247007560321845,3.8615550660717703,0.0001126676110184967,14.911607528304554,0.7369382303955784,1.8307647791301669,0.6322101565805646,1.935492852945181,3050,0.915398298406309,50,2001Q3-2016Q3,unemp,9.031967713717712
14,1.3161843016197543,0.34551873953045287,3.809299326017454,0.0001393611625778263,14.51076135519703,0.7478059750921594,1.884562628147349,0.6389675721400667,1.993401031099442,3000,0.9217398047215952,50,2001Q3-2016Q2,unemp,9.031967713717712
15,1.330836759077554,0.3532109070366473,3.767824641212094,0.00016467631192800742,14.196502526925046,0.7498048170022693,1.9118687011528392,0.6385433812857254,2.0231301368693826,2950,0.9276937616760109,50,2001Q3-2016Q1,unemp,9.031967713717712
16,1.3042932023382552,0.3563219009480104,3.660435125845828,0.0002517872997132353,13.398785310525962,0.7181436752787781,1.8904427293977322,0.6059022764801547,2.0026841281963557,2900,0.9332782359232513,50,2001Q3-2015Q4,unemp,9.031967713717712
17,1.2711040352400163,0.35566136214871474,3.573916569291331,0.0003516810279025749,12.772879644255118,0.6860410945053805,1.8561669759746522,0.5740077654285354,1.9682003050514971,2850,0.9387441974839849,50,2001Q3-2015Q3,unemp,9.031967713717712
18,1.2467268375100173,0.3518010579509296,3.5438405011388996,0.00039434373259393204,12.558805497512408,0.6680140971807382,1.8254395778392964,0.5571967639261953,1.9362569110938392,2800,0.9445978777477377,50,2001Q3-2015Q2,unemp,9.031967713717712
19,1.2024390647554208,0.3468254500852461,3.466986244694193,0.0005263288233673155,12.019993620898742,0.6319111993651908,1.7729669301456508,0.5226611825883384,1.8822169469225032,2750,0.9488287021036845,50,2001Q3-2015Q1,unemp,9.031967713717712
20,1.173662783511426,0.34120372863233434,3.4397712715974205,0.0005822059966690109,11.832026400906935,0.6123826499112359,1.734942917111616,0.5049034753920505,1.8424220916308014,2700,0.9525648921504903,50,2001Q3-2014Q4,unemp,9.031967713717712
