h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,-0.01468856062981298,0.02620577087907628,-0.5605086260423998,0.575132557576894,0.3141699198679388,-0.057797053725893464,0.028419932466267506,-0.0660518715528025,0.03667475029317653,3700,0.3899053867576071,50,2001Q3-2019Q4,vacancy,9.031967713717712
1,-0.04701287239319965,0.034159236263645615,-1.3762858171168677,0.1687331621491993,1.8941626503970441,-0.1032048160468967,0.009179071260497395,-0.11396497546994507,0.01993923068354576,3650,0.5775765067609928,50,2001Q3-2019Q3,vacancy,9.031967713717712
2,-0.10213416840890353,0.040659443158163236,-2.5119421338754355,0.01200687750516034,6.3098532839386765,-0.16901895240408207,-0.03524938441372501,-0.18182667699890348,-0.022441659818903597,3600,0.6807967968412696,50,2001Q3-2019Q2,vacancy,9.031967713717712
3,-0.06559371719576063,0.04968934298653662,-1.3200761622775594,0.18680959065453195,1.7426010742134495,-0.14733268640861336,0.01614525201709212,-0.16298482944937243,0.031797395057851154,3550,0.7423892478836778,50,2001Q3-2019Q1,vacancy,9.031967713717712
4,-0.0843905777169379,0.05795364119388819,-1.4561738654971303,0.14534456221307604,2.1204423265568546,-0.179724317480884,0.01094316204700818,-0.19797971445695875,0.029198559023082948,3500,0.7879713341249018,50,2001Q3-2018Q4,vacancy,9.031967713717712
5,-0.1042915097298269,0.06503478519980055,-1.6036265732164936,0.1087963897257186,2.571618186326074,-0.2112737313834988,0.002690711923845016,-0.23175968872143599,0.023176669261782183,3450,0.8176773732913196,50,2001Q3-2018Q3,vacancy,9.031967713717712
6,-0.09837572188188463,0.07199266130866733,-1.3664687496424166,0.17179188300322723,1.8672368437493094,-0.2168036497346424,0.02005220597087312,-0.23948133804687258,0.04272989428310333,3400,0.8394972638959143,50,2001Q3-2018Q2,vacancy,9.031967713717712
7,-0.16626630928962693,0.08032047924153005,-2.070036320247181,0.03844894336351498,4.285050367142491,-0.29839349764194384,-0.03413912093731003,-0.3236944486030258,-0.008838169976228072,3350,0.8561379864749536,50,2001Q3-2018Q1,vacancy,9.031967713717712
8,-0.22052227321733966,0.08376697602298483,-2.6325681514016996,0.00847420197057961,6.930415071774562,-0.3583189487751497,-0.08272559765952962,-0.38470554622238995,-0.0563390002122894,3300,0.8686202134788753,50,2001Q3-2017Q4,vacancy,9.031967713717712
9,-0.2593981533837536,0.08619804183792344,-3.009327681381615,0.0026182655697733017,9.056053093929647,-0.4011939322071376,-0.11760237456036955,-0.42834631538608353,-0.09044999138142366,3250,0.8777008448416543,50,2001Q3-2017Q3,vacancy,9.031967713717712
10,-0.2737574172020986,0.09033949847194404,-3.030318098202826,0.002442962934660575,9.182827776295593,-0.42236589218844656,-0.12514894221575062,-0.45082283420710895,-0.09669200019708826,3200,0.8850842098346102,50,2001Q3-2017Q2,vacancy,9.031967713717712
11,-0.31305240123820527,0.09381045362453591,-3.337073739043589,0.0008466548216006201,11.13606113981436,-0.46737059745056686,-0.1587342050258437,-0.4969208903422957,-0.1291839121341149,3150,0.8917680542461518,50,2001Q3-2017Q1,vacancy,9.031967713717712
12,-0.34689549967768635,0.09121113343358149,-3.803214439060668,0.0001428306163079218,14.46444006947955,-0.4969378141759279,-0.1968531851794448,-0.5256693212075061,-0.16812167814786663,3100,0.8973801493786997,50,2001Q3-2016Q4,vacancy,9.031967713717712
13,-0.37524664199883995,0.09624738651456233,-3.8987722741132798,9.668164650648605e-05,15.200425245394435,-0.5335735928152949,-0.21691969118238494,-0.563891519567382,-0.18660176443029783,3050,0.9031884008527618,50,2001Q3-2016Q3,vacancy,9.031967713717712
14,-0.4254666353970457,0.1011260347892776,-4.2072907959222965,2.5845047694494517e-05,17.70129584145247,-0.5918189626254073,-0.259114308168684,-0.6236736635840298,-0.22725960721006158,3000,0.9083411061124351,50,2001Q3-2016Q2,vacancy,9.031967713717712
15,-0.4428961803872525,0.1056849981413154,-4.190719479362995,2.780712826490029e-05,17.562129754712455,-0.6167480023297163,-0.26904435844478863,-0.6500387767442307,-0.23575358403027424,2950,0.9131016786079178,50,2001Q3-2016Q1,vacancy,9.031967713717712
16,-0.4101580876409525,0.10942392564365623,-3.7483400931588777,0.0001780087725415918,14.050053453982304,-0.590160445324767,-0.23015572995713798,-0.6246289819025188,-0.19568719337938628,2900,0.9163879342505961,50,2001Q3-2015Q4,vacancy,9.031967713717712
17,-0.36789952135694226,0.11610924237659741,-3.168563620143773,0.001531942166406944,10.039795414898613,-0.558899225066445,-0.17689981764743956,-0.5954736364150732,-0.14032540629881138,2850,0.9202297157352564,50,2001Q3-2015Q3,vacancy,9.031967713717712
18,-0.39522317898781933,0.11931745023756632,-3.312366952201145,0.0009251011679400714,10.971774826034302,-0.5915003846286159,-0.19894597334702271,-0.6290853814534493,-0.16136097652218934,2800,0.9247724265634542,50,2001Q3-2015Q2,vacancy,9.031967713717712
19,-0.35112683766595754,0.12424874889987148,-2.825998980069575,0.004713341412509638,7.9862702353542785,-0.5555160296062461,-0.14673764572566894,-0.5946543855097056,-0.10759928982220945,2750,0.9278025383766304,50,2001Q3-2015Q1,vacancy,9.031967713717712
20,-0.3144772421007604,0.13113613524241222,-2.3980975306267203,0.016480476440932396,5.750871766397974,-0.5301961845745286,-0.09875829962699227,-0.5715040671758884,-0.057450417025632416,2700,0.9311824290917197,50,2001Q3-2014Q4,vacancy,9.031967713717712
