h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,0.09464744213655137,0.13651714389325373,0.6933007784762817,0.488120814612114,0.4806659694358182,-0.129923259567851,0.3192181438409537,-0.17292615989422594,0.36222104416732864,3750,0.6487966066606372,50,2001Q2-2019Q4,unemp,2.0691030628250546
1,0.12060316813909427,0.2854867157322739,0.4224475658341823,0.6726983653060516,0.1784619458792258,-0.34902247924049634,0.5902288155186849,-0.43895079469616266,0.6801571309743512,3700,0.7128795316839257,50,2001Q2-2019Q3,unemp,2.0691030628250546
2,0.14429504671714166,0.4200822762947386,0.3434923462848054,0.731228097760863,0.11798699195624067,-0.5467402977877034,0.8353303912219867,-0.679066214820546,0.9676563082548294,3650,0.7596972839410641,50,2001Q2-2019Q2,unemp,2.0691030628250546
3,0.2062403903905202,0.5345224965152819,0.38584043091743625,0.6996148499280677,0.1488728381305529,-0.6730491163771185,1.085529897158159,-0.8414237027794322,1.2539044835604727,3600,0.7931816693159787,50,2001Q2-2019Q1,unemp,2.0691030628250546
4,0.26718905451389097,0.6216881163136871,0.4297798968688579,0.66735575777113,0.18471075975260615,-0.7554878968221242,1.2898660058499063,-0.9513196534609357,1.4856977624887178,3550,0.8176298699077036,50,2001Q2-2018Q4,unemp,2.0691030628250546
5,0.3711981094122825,0.6981486170410366,0.5316892425935491,0.5949412437206967,0.2826934506897019,-0.7772563656202227,1.5196525844447875,-0.9971731799881492,1.739569398812714,3500,0.8357817244983499,50,2001Q2-2018Q3,unemp,2.0691030628250546
6,0.5385720562895477,0.7631943785898587,0.7056813721357044,0.48038630779087443,0.4979861989793305,-0.71688269649077,1.7940268090698654,-0.9572889257465754,2.034433038325671,3450,0.8500745560432376,50,2001Q2-2018Q2,unemp,2.0691030628250546
7,0.7906964850004724,0.8164762510171544,0.9684255776153122,0.3328318705509009,0.9378480993795512,-0.5524069479227466,2.1337999179236915,-0.8095969669931502,2.3909899369940946,3400,0.8624732857789996,50,2001Q2-2018Q1,unemp,2.0691030628250546
8,1.0842292009868912,0.8482481404341016,1.278198146631979,0.2011795694736337,1.633790502053426,-0.311138990027206,2.479597392000988,-0.5783371542639479,2.74679555623773,3350,0.8733966466234961,50,2001Q2-2017Q4,unemp,2.0691030628250546
9,1.3697784131710469,0.8768066909198068,1.562235356272307,0.11823255429774734,2.440579308387262,-0.07256859339203516,2.812125419734129,-0.34876270103177426,3.0883195273738684,3300,0.8828234722722462,50,2001Q2-2017Q3,unemp,2.0691030628250546
10,1.6766982839765452,0.8906345843852387,1.8825883402381995,0.05975617772913914,3.544138858800819,0.21160439266282746,3.1417921752902624,-0.06894550141852251,3.422342069371613,3250,0.8912421340762295,50,2001Q2-2017Q2,unemp,2.0691030628250546
11,1.908436776772751,0.8898729831369707,2.144617055397221,0.031983477518763785,4.599382314300646,0.44459571951243426,3.372277834033068,0.1642857298242885,3.652587823721214,3200,0.8989839696983016,50,2001Q2-2017Q1,unemp,2.0691030628250546
12,2.1674310965383854,0.8726144346598199,2.483835942254768,0.01299756727742196,6.169440988036631,0.7319803515229819,3.602881841553789,0.4571068046051386,3.8777553884716327,3150,0.906194720606084,50,2001Q2-2016Q4,unemp,2.0691030628250546
13,2.437070772475,0.8528770641915726,2.8574701733655568,0.0042703276609271194,8.165135791673785,1.034088001879863,3.840053543070137,0.7654317266595178,4.108709818290482,3100,0.9129964846610434,50,2001Q2-2016Q3,unemp,2.0691030628250546
14,2.598232240896996,0.8338628893619031,3.1158986375868594,0.0018338529616828939,9.708824319715646,1.2265277878966654,3.969936693897327,0.9638609777476661,4.232603504046327,3050,0.9193667011035924,50,2001Q2-2016Q2,unemp,2.0691030628250546
15,2.7705619952377996,0.8118822387134733,3.412517066056395,0.0006436589657135732,11.645272726126144,1.435015712554136,4.1061082779214635,1.179272807359392,4.361851183116207,3000,0.9255236217064129,50,2001Q2-2016Q1,unemp,2.0691030628250546
16,2.8744635916522805,0.7963065885075105,3.609744830869461,0.0003064983638064768,13.030257743988793,1.5645392535574258,4.184387929747135,1.3137026781775603,4.435224505127001,2950,0.9312642115979914,50,2001Q2-2015Q4,unemp,2.0691030628250546
17,2.902485583664715,0.7953857890732782,3.6491544399434974,0.00026310489982791266,13.316328126559341,1.5940759606391726,4.210895206690258,1.34352943708109,4.46144173024834,2900,0.9365433067143841,50,2001Q2-2015Q3,unemp,2.0691030628250546
18,2.8034605495615637,0.7993508575973108,3.5071715041229914,0.0004528971508430698,12.300251959332325,1.4885283888139875,4.1183927103091404,1.2367328686708345,4.3701882304522925,2850,0.9414639425083243,50,2001Q2-2015Q2,unemp,2.0691030628250546
19,2.629633266521549,0.8085378590936713,3.2523316464973333,0.0011446238083148816,10.577661138808056,1.2995884883124595,3.959678044730638,1.044899062697953,4.214367470345144,2800,0.9466535352128566,50,2001Q2-2015Q1,unemp,2.0691030628250546
20,2.470141195906315,0.8307598612612717,2.9733516399746502,0.0029456677109293825,8.840819974939942,1.1035412241315232,3.8367411676811067,0.8418518678342224,4.098430523978408,2750,0.9502472780224817,50,2001Q2-2014Q4,unemp,2.0691030628250546
