h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,instr_sd
0,0.15775532147669802,0.08959861485967605,1.7606892888217625,0.07829100664996003,3.1000267717716836,0.010365600032530925,0.3051450429208651,-0.01785796364826703,0.33336860660166306,1300,0.4274270871766255,50,2001Q2–2007Q3,0.8332263828907664
1,0.21229432579635227,0.20430615468155316,1.0390990233615334,0.298758685127406,1.0797267803508925,-0.12378929865480268,0.5483779502475072,-0.18814573737949192,0.6127343889721965,1250,0.5640313465051736,50,2001Q2–2007Q2,0.8332263828907664
2,0.2621264361932152,0.2859702639531193,0.9166213038016673,0.3593411168903782,0.8401946145830684,-0.20829464800966616,0.7325475203960965,-0.2983752811548987,0.822628153541329,1200,0.6518289677129958,50,2001Q2–2007Q1,0.8332263828907664
3,0.32091061639230395,0.3369727242879622,0.9523341008397693,0.34092756872110164,0.906940239622292,-0.23340951506139382,0.8752307478460017,-0.33955592321210193,0.9813771559967099,1150,0.7011400907101106,50,2001Q2–2006Q4,0.8332263828907664
4,0.30827167178011833,0.3846538889892459,0.8014261147603707,0.42288500180924804,0.6422838174199029,-0.3244839756071913,0.9410273191674279,-0.4456499506388037,1.0621932941990404,1100,0.7350884443690263,50,2001Q2–2006Q3,0.8332263828907664
5,0.27399620779381245,0.4610947414851597,0.5942297387979018,0.5523584647995756,0.35310898247182254,-0.4845046419492752,1.0324970575369001,-0.6297494855171004,1.1777419011047254,1050,0.7699144038638175,50,2001Q2–2006Q2,0.8332263828907664
6,0.20302925717277545,0.503626715599557,0.40313440666282646,0.6868493504171045,0.16251734983538915,-0.6254366899884958,1.0314952043340466,-0.7840791054023561,1.190137619747907,1000,0.8079620485919777,50,2001Q2–2006Q1,0.8332263828907664
7,0.21863190823113016,0.4987378331180592,0.4383704096885237,0.6611177930272655,0.1921686160904841,-0.6017918272480772,1.0390556437103375,-0.7588942446802659,1.1961580611425262,950,0.8316291622225884,50,2001Q2–2005Q4,0.8332263828907664
8,0.23255772936357913,0.49808486272524927,0.4669038285788285,0.6405686859904917,0.21799918514156807,-0.5867918698194559,1.0519073285466143,-0.7436886015779094,1.2088040603050678,900,0.8478124264847673,50,2001Q2–2005Q3,0.8332263828907664
9,0.22941194317851402,0.47196745927836375,0.486075763632696,0.6269134499566015,0.23626964799110856,-0.5469745273343943,1.0057984136914224,-0.6956442770070789,1.154468163364107,850,0.8577988472322032,50,2001Q2–2005Q2,0.8332263828907664
10,0.17904762564343693,0.4519294969936901,0.3961848625382751,0.6919686575716355,0.15696244530447195,-0.5643763969111834,0.9224716481980573,-0.7067341884641956,1.0648294397510694,800,0.8657010895257483,50,2001Q2–2005Q1,0.8332263828907664
11,0.1346147187402397,0.4408308096050254,0.3053659494917143,0.7600874524013659,0.09324836310897622,-0.590551963060027,0.8597814005405064,-0.72941366808561,0.9986431055660895,750,0.8776175027892112,50,2001Q2–2004Q4,0.8332263828907664
12,0.24933885430877886,0.4002103786802513,0.6230194607421427,0.5332717334555471,0.38815324846343024,-0.4090072186202344,0.9076849272377921,-0.5350734879045135,1.0337511965220714,700,0.8905304543094009,50,2001Q2–2004Q3,0.8332263828907664
13,0.3223450679028268,0.3529542219859238,0.9132772689022608,0.36109673431643075,0.8340753698935723,-0.2582646272640179,0.9029547630696714,-0.36944520718958385,1.0141353429952376,650,0.9000308982307306,50,2001Q2–2004Q2,0.8332263828907664
14,0.1564000112758494,0.3396929638943853,0.46041581045074603,0.6452177883838137,0.2119827185130173,-0.40239491433041435,0.7151949368821132,-0.5093981979571458,0.8221982205088445,600,0.9063851148508419,50,2001Q2–2004Q1,0.8332263828907664
15,0.1825889634567473,0.3072879560429168,0.5941949883361076,0.5523817043907828,0.35306768416374706,-0.3228997242338509,0.6880776511473455,-0.41969543038736956,0.7848733573008643,550,0.9108396333879031,50,2001Q2–2003Q4,0.8332263828907664
16,-0.026801058965224736,0.36255922590965683,-0.07392187827514579,0.9410725471280226,0.005464444087725472,-0.6232109855866103,0.5696088676561607,-0.7374171417481521,0.6838150238177025,500,0.910741521136911,50,2001Q2–2003Q3,0.8332263828907664
17,-0.15810533104775065,0.38555061843294564,-0.4100767149339901,0.6817496731676622,0.168162912131053,-0.7923360983699462,0.4761254362744449,-0.9137845431763242,0.5975738810808229,450,0.9084047113575849,50,2001Q2–2003Q2,0.8332263828907664
18,-0.061815173145120986,0.43023373691509353,-0.14367811689607268,0.8857546520706663,0.020643401274801527,-0.7695496703704499,0.6459193240802079,-0.9050732974987044,0.7814429512084623,400,0.9132255997548326,50,2001Q2–2003Q1,0.8332263828907664
19,-0.23240364629497862,0.47122414085584013,-0.49319129931010264,0.6218774250438679,0.24323765771518724,-1.0075673580028357,0.5427600654128784,-1.1560029623724253,0.6911956697824679,350,0.9699644634186957,50,2001Q2–2002Q4,0.8332263828907664
20,-0.6058488167987875,0.37149726839552544,-1.6308298023708558,0.10292623710297703,2.6596058443009647,-1.2169618233094268,0.005264189711851841,-1.3339834628540173,0.12228582925644231,300,0.9743559502644112,50,2001Q2–2002Q3,0.8332263828907664
