h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
0,-0.09914283716261957,0.039611667650665004,-2.5028695594681727,0.012319093762610062,6.2643560317124045,-0.1643040304479635,-0.03398164387727564,-0.17678170575792299,-0.021503968567316165,,,,,3750,0.40067010436668016,50,2001Q2–2019Q4,vacancy,12.89123289787742
1,-0.12874388378205207,0.060749966965540775,-2.119242037696572,0.034070017312176286,4.491186814340319,-0.22867757944036662,-0.028810188123737476,-0.247813819034512,-0.009673948529592129,,,,,3700,0.5896029721946763,50,2001Q2–2019Q3,vacancy,12.89123289787742
2,-0.20673529315051656,0.07869917383438157,-2.626905507109649,0.008616525793832158,6.900632543283003,-0.33619543410807423,-0.07727515219295887,-0.3609856738659044,-0.05248491243512868,,,,,3650,0.6988125484489773,50,2001Q2–2019Q2,vacancy,12.89123289787742
3,-0.24105056758030266,0.09807955814549914,-2.457704460930674,0.013982819065610922,6.040311217278536,-0.4023914407296487,-0.07970969443095657,-0.43328650154548093,-0.04881463361512434,,,,,3600,0.7562237137310057,50,2001Q2–2019Q1,vacancy,12.89123289787742
4,-0.2825906586711383,0.11166986199929207,-2.530590202331671,0.011387080155763656,6.403886772137048,-0.4662875816599738,-0.09889373568230286,-0.5014635881897508,-0.06371772915252587,,,,,3550,0.80067573197752,50,2001Q2–2018Q4,vacancy,12.89123289787742
5,-0.32733490309687435,0.12074879922361603,-2.7108750165761832,0.006710591561227982,7.348843355496922,-0.5259666778197227,-0.12870312837402595,-0.5640025495751617,-0.0906672566185869,,,,,3500,0.8285205705878675,50,2001Q2–2018Q3,vacancy,12.89123289787742
6,-0.36354425052938677,0.1291995260507943,-2.8138203106601236,0.004895658552256658,7.917584740683434,-0.5760774708829434,-0.15101103017583012,-0.6167753215889435,-0.11031317946982995,,,,,3450,0.8485332564004021,50,2001Q2–2018Q2,vacancy,12.89123289787742
7,-0.3976719953290872,0.14086553491032255,-2.823060982107881,0.004756752288691217,7.969673308699915,-0.6293958002565677,-0.16594819040160658,-0.6737684437533193,-0.121575546904855,,,,,3400,0.864091625883828,50,2001Q2–2018Q1,vacancy,12.89123289787742
8,-0.38778593742627215,0.14658245030542993,-2.6455140886119244,0.008156689031428325,6.998744793044181,-0.6289140681787043,-0.1466578066738399,-0.6750875400249148,-0.10048433482762949,,,,,3350,0.8754049936924193,50,2001Q2–2017Q4,vacancy,12.89123289787742
9,-0.40406489737866585,0.1551645639911221,-2.6041055185885407,0.009211439236997805,6.781365551943292,-0.6593106051440617,-0.14881918961326995,-0.7081874428012652,-0.09994235195606652,,,,,3300,0.8840448797711311,50,2001Q2–2017Q3,vacancy,12.89123289787742
10,-0.3745403504099991,0.16399830942286256,-2.283806166832263,0.02238292509209335,5.2157706076610735,-0.644317569410608,-0.1047631314093902,-0.6959770368788097,-0.05310366394118851,,,,,3250,0.88923727068584,50,2001Q2–2017Q2,vacancy,12.89123289787742
11,-0.3913473286570847,0.16856719091983008,-2.321610311719604,0.020253928150537587,5.3898744394827975,-0.6686403577202051,-0.11405429959396424,-0.7217390228599516,-0.06095563445421777,,,,,3200,0.8947314255527157,50,2001Q2–2017Q1,vacancy,12.89123289787742
12,-0.4004581675680931,0.17001707047483233,-2.355399763386542,0.018502788205985117,5.547908045361377,-0.6801362484991923,-0.12078008663699391,-0.7336916256987644,-0.06722470943742173,,,,,3150,0.900103686940392,50,2001Q2–2016Q4,vacancy,12.89123289787742
13,-0.4139413074349448,0.17624593201601557,-2.3486573715490335,0.018841235390995567,5.516191448931615,-0.7038658656012904,-0.1240167492685992,-0.7593833341863354,-0.06849928068355428,,,,,3100,0.9043656106748726,50,2001Q2–2016Q3,vacancy,12.89123289787742
14,-0.4336527832451218,0.17713006297943498,-2.4482167281534215,0.01435652700511783,5.993765148010244,-0.7250317368462924,-0.14227382964395122,-0.7808277066848144,-0.08647785980542921,,,,,3050,0.9088927506075506,50,2001Q2–2016Q2,vacancy,12.89123289787742
15,-0.45037830669743084,0.1838827383240415,-2.449269087475552,0.014314646189557247,5.998919062863322,-0.7528654112404791,-0.14789120215438256,-0.8107884738125523,-0.08996813958230948,,,,,3000,0.9128379545928984,50,2001Q2–2016Q1,vacancy,12.89123289787742
