h,beta_delta,se_delta,tstat_delta,pval_delta,ci90_lo_delta,ci90_hi_delta,ci95_lo_delta,ci95_hi_delta,beta_ld,se_ld,tstat_ld,pval_ld,ci90_lo_ld,ci90_hi_ld,ci95_lo_ld,ci95_hi_ld,vif_delta,vif_ld,nobs,r2,n_clusters,qt_range,outcome
0,0.10226587960685884,0.08458352492719753,1.209051995585202,0.22664287009738704,-0.0368740188983811,0.2414057781120988,-0.06351782925044833,0.26804958846416604,0.21151950326878233,0.15471672149947654,1.367140547051328,0.17158125616879372,-0.04298950359785658,0.46602851013542124,-0.09172527087019172,0.5147642774077563,1.59,1.59,2850,0.6655074761369011,50,2005Q4-2019Q4,unemp
1,0.25100814634099267,0.17520154536367208,1.4326822621339677,0.15194866086453476,-0.03719839578224793,0.5392146884642333,-0.09238688257180461,0.5944031752537899,0.40176018916102557,0.307905326714622,1.3048172743480717,0.19195507554974178,-0.10474407328452767,0.9082644516065788,-0.20173425119963356,1.0052546295216847,1.606,1.606,2800,0.7440874826152244,50,2005Q4-2019Q3,unemp
2,0.4137792650286531,0.24345043001436784,1.6996448312054033,0.08919775228310547,0.01330330765501797,0.8142552224022882,-0.06338357779950787,0.890942107856814,0.4737757524430114,0.45929513361699137,1.0315279169452196,0.3022933236699692,-0.2817647423569394,1.2293162472429622,-0.4264427094462917,1.3739942143323145,1.593,1.593,2750,0.7862149936665092,50,2005Q4-2019Q2,unemp
3,0.5796476346222402,0.31606426194956416,1.8339550034756453,0.06666067374441113,0.059721923715207126,1.0995733455292733,-0.039838318798905537,1.199133588043386,0.48623206921220413,0.6077447371249997,0.8000596953128315,0.4236762115369269,-0.5135080233584204,1.4859721617828285,-0.7049476155527952,1.6774117539772035,1.619,1.619,2700,0.8182392831740688,50,2005Q4-2019Q1,unemp
4,0.8429289888622388,0.390749862665158,2.1572086631404983,0.030989409773312535,0.20014546477805384,1.4857125129464237,0.07705925803852909,1.6087987196859483,0.36764158343293746,0.7496360237727895,0.4904267828307669,0.6238319283295439,-0.8655096756733014,1.6007928425391762,-1.1016450231617299,1.8369281900276047,1.588,1.588,2650,0.8418725185969583,50,2005Q4-2018Q4,unemp
5,1.1602207854146505,0.4500675643756188,2.577881361044605,0.009940812157335001,0.4198596420167575,1.9005819288125434,0.27808835923843767,2.0423532115908634,0.24058303580598372,0.8583048508269883,0.280300216845074,0.7792471844308907,-1.171328443804412,1.6524945154163795,-1.4416944718149132,1.9228605434268806,1.585,1.585,2600,0.8597428583934125,50,2005Q4-2018Q3,unemp
6,1.4701134935522102,0.5106403370021376,2.8789607616643416,0.003989879727434656,0.6301101391836939,2.3101168479207264,0.4692584330280205,2.4709685540764,0.09354110280675028,0.9474028794276269,0.09873423950670605,0.9213492824826235,-1.464936633851696,1.6520188394651967,-1.7633685408713984,1.950450746484899,1.589,1.589,2550,0.8738422301177318,50,2005Q4-2018Q2,unemp
7,1.7709390051149074,0.5508552538646283,3.214889923787697,0.0013049455190301876,0.8647821125075938,2.677095897722221,0.691262707540236,2.8506153026895786,0.006551491768414075,0.9934988730434322,0.006594362556592117,0.9947384980610631,-1.627754154388032,1.64085713792486,-1.9407062993967128,1.9538092829335412,1.589,1.589,2500,0.8865890096822943,50,2005Q4-2018Q1,unemp
8,1.9991138478592163,0.5879456855256076,3.4001675615189906,0.0006734457039314442,1.0319431951695919,2.9662845005488405,0.8467403042290256,3.151487391489407,0.010464567543303518,1.0441080318024811,0.010022495014465276,0.9920033398454189,-1.707093144771778,1.728022279858385,-2.0359871747895593,2.0569163098761667,1.582,1.582,2450,0.8981568026901762,50,2005Q4-2017Q4,unemp
9,2.298007866872444,0.6303558326210393,3.645572465502945,0.0002667972183764754,1.2610725222108345,3.334943211534054,1.062510434935207,3.5335052988096813,-0.09846390967127808,1.0844251518492354,-0.09079825334498258,0.9276528979486078,-1.8823432844632704,1.6854154651207143,-2.2239372072957795,2.0270093879532234,1.598,1.598,2400,0.9084493128515847,50,2005Q4-2017Q3,unemp
10,2.4381256479199918,0.6661475505978823,3.660038449036883,0.000252177405988792,1.3423129271864753,3.533938368653508,1.1324764487481425,3.7437748470918413,-0.006825900406334967,1.0665363147055427,-0.006400063750496402,0.9948935228062608,-1.7612781380969527,1.7476263372842828,-2.0972370772291984,2.0835852764165286,1.614,1.614,2350,0.9174537495009111,50,2005Q4-2017Q2,unemp
11,2.5659922563078466,0.6939909735261329,3.69744327259787,0.00021778186565011843,1.424377104857358,3.707607407758335,1.205769948196626,3.926214564419067,-0.022727232053132318,1.0163136378593962,-0.02236241963750619,0.9821588576346707,-1.694563166331839,1.6491087022255746,-2.014701962257549,1.9692474981512844,1.618,1.618,2300,0.9253411260783859,50,2005Q4-2017Q1,unemp
12,2.657727488964891,0.7034506400641041,3.77812932080451,0.0001580108253487971,1.50055118605944,3.8149037918703423,1.2789642344392473,4.0364907434905355,0.02317827515830556,0.9360420331793686,0.02476200249210821,0.9802447993767716,-1.5166108694217557,1.562967419738367,-1.811464109873257,1.8578206601898681,1.619,1.619,2250,0.9325138491491631,50,2005Q4-2016Q4,unemp
13,2.7256686465926516,0.7067405075851493,3.8566752822842245,0.00011493968635654344,1.563080511615081,3.888256781570222,1.3404572517257591,4.110880041459544,0.10614181225266794,0.8896577371713393,0.11930634424665952,0.905032657420063,-1.3573451653941855,1.5696287898995211,-1.6375873526031572,1.849870977108493,1.739,1.739,2200,0.9390420639076943,50,2005Q4-2016Q3,unemp
14,2.5841853712852636,0.6974787478183123,3.7050381525867273,0.00021135891653529572,1.4368328311241398,3.731537911446387,1.2171270255613715,3.951243717009156,0.2310870778433827,0.8297955125719582,0.27848677697367435,0.7806387141801853,-1.1339265403374885,1.5961006960242539,-1.3953121267976554,1.8574862824844207,1.803,1.803,2150,0.9446109959003477,50,2005Q4-2016Q2,unemp
15,2.3947440094994032,0.6539957208652478,3.6617120465728963,0.00025053536970788873,1.3189210486760705,3.4705669703227358,1.1129123966035175,3.676575622395289,0.393382126576463,0.7741967629265122,0.5081164704040533,0.6113716652479646,-0.8801715484376496,1.6669358015905755,-1.1240435287595008,1.9108077819124267,1.863,1.863,2100,0.9496752317739718,50,2005Q4-2016Q1,unemp
16,2.151643012260134,0.6160239861423181,3.492790963764594,0.00047800053011537555,1.1382835550560209,3.1650024694642473,0.9442359994211906,3.359050025099078,0.5698242568309481,0.6992750807052902,0.8148785400106382,0.41514183815188643,-0.5804832509292542,1.7201317645911502,-0.8007549013514207,1.940403415013317,1.849,1.849,2050,0.9543080703547133,50,2005Q4-2015Q4,unemp
17,1.831493512722763,0.5708382414996221,3.2084282018516017,0.0013346262782896125,0.8924646054558845,2.7705224199896414,0.7126505593835035,2.9503364660620224,0.7462760055639013,0.6065060356454536,1.230451078314006,0.21852823603437466,-0.2514264230728699,1.7439784342006726,-0.4424758243011877,1.9350278354289903,1.846,1.846,2000,0.9583136722884248,50,2005Q4-2015Q3,unemp
18,1.645730984199315,0.5210028568957868,3.1587753549084683,0.0015843356287928974,0.7886812846057457,2.5027806837928845,0.6245653846835728,2.666896583715057,0.7098980502369132,0.5404418676257338,1.3135511749961812,0.18899728862181664,-0.17912882200741886,1.5989249224812454,-0.3493680103095249,1.7691641107833513,1.837,1.837,1950,0.9617693188847466,50,2005Q4-2015Q2,unemp
19,1.5173735360535152,0.48822323137867596,3.1079502951317144,0.001883897493938141,0.7142463204355932,2.320500751671437,0.5604560025513103,2.4742910695557203,0.6773339021564667,0.478676281768851,1.4150145473126783,0.1570642308210324,-0.11008858135329325,1.4647563856662267,-0.2608716101104812,1.6155394144234148,1.803,1.803,1900,0.964970347939719,50,2005Q4-2015Q1,unemp
20,1.3114500857387892,0.44399640848223837,2.9537403021386206,0.0031394807807909606,0.581075993785507,2.0418241776920714,0.441217125113602,2.1816830463639763,0.6659212101817858,0.4268783140210476,1.5599790111355998,0.11876484124567566,-0.03629361638283746,1.3681360367464093,-0.1707602852994674,1.502602705663039,1.778,1.778,1850,0.9677495268160758,50,2005Q4-2014Q4,unemp
