h,beta_delta,se_delta,tstat_delta,pval_delta,ci90_lo_delta,ci90_hi_delta,ci95_lo_delta,ci95_hi_delta,beta_ld,se_ld,tstat_ld,pval_ld,ci90_lo_ld,ci90_hi_ld,ci95_lo_ld,ci95_hi_ld,vif_delta,vif_ld,nobs,r2,n_clusters,qt_range,outcome
0,-0.12921490390739052,0.06550960452724117,-1.9724573952153608,0.048557415340581854,-0.23697820335470224,-0.021451604460078794,-0.2576137287807832,-0.0008160790339978297,-0.07034271597917088,0.07248180907009302,-0.9704878628394396,0.3318033718463623,-0.18957529189947392,0.04888985994113214,-0.21240706175655322,0.07172162979821145,1.59,1.59,2850,0.3837375192752086,50,2005Q4-2019Q4,vacancy
1,-0.3169124995086076,0.08128810461376927,-3.898633151976904,9.673720157430086e-05,-0.4506314315982581,-0.18319356741895715,-0.47623718455159536,-0.15758781446561984,0.03306196619925149,0.09835679473833915,0.33614318448671493,0.7367628946270567,-0.1287349611453164,0.1948588935438194,-0.15971735148789323,0.22584128388639624,1.606,1.606,2800,0.5757994479249757,50,2005Q4-2019Q3,vacancy
2,-0.3918531762158537,0.1085801017291957,-3.6088856979813433,0.0003075150558771732,-0.5704674435603806,-0.21323890887132677,-0.6046701756050773,-0.17903617682663012,0.05521525612626306,0.12133732706888582,0.4550558139039618,0.6490690854622602,-0.1443846469020541,0.25481515915458025,-0.18260590492875317,0.29303641718127926,1.593,1.593,2750,0.6859463076498993,50,2005Q4-2019Q2,vacancy
3,-0.49572879879060694,0.11416829940018094,-4.342087964829765,1.411350009055517e-05,-0.6835356513039046,-0.3079219462773093,-0.7194986656149616,-0.2719589319662523,0.02522775793802498,0.12438619054249697,0.2028179963386356,0.8392772912231599,-0.17938752550438253,0.2298430413804325,-0.21856917552526908,0.269024691401319,1.619,1.619,2700,0.7545626241861547,50,2005Q4-2019Q1,vacancy
4,-0.5168576612653052,0.119836205761155,-4.313034261911228,1.610291520429878e-05,-0.7139882197424052,-0.3197271027882052,-0.751736624557169,-0.2819786979734414,0.028582400219175075,0.13394236755591038,0.21339327309743256,0.8310202269676198,-0.1917527944102975,0.24891759484864764,-0.23394464019040928,0.29110944062875943,1.588,1.588,2650,0.8024971133038946,50,2005Q4-2018Q4,vacancy
5,-0.5345500107112227,0.12673151572111052,-4.217972204227169,2.4650919774664024e-05,-0.7430233540724495,-0.32607666734999585,-0.7829437815245993,-0.286156239897846,-0.005671768404990479,0.1389944263071321,-0.040805725493321086,0.9674507748787881,-0.23431759968022278,0.22297406287024182,-0.27810084396696944,0.2667573071569884,1.585,1.585,2600,0.8350621040329885,50,2005Q4-2018Q3,vacancy
6,-0.40430471812610286,0.13915794105994272,-2.905365766743756,0.003668241542770365,-0.6332195311697086,-0.17538990508249708,-0.6770542826035906,-0.13155515364861514,-0.1259005115132767,0.13452683300053303,-0.9358765735069214,0.34933674007678606,-0.34719715179915356,0.09539612877260015,-0.38957310419432145,0.13777208116776807,1.589,1.589,2550,0.859451778267387,50,2005Q4-2018Q2,vacancy
7,-0.30020308902298326,0.1510247465065233,-1.9877741626271586,0.04683667249039608,-0.5486387970262141,-0.05176738101975242,-0.5962115921757689,-0.004194585870197554,-0.1800037296047935,0.14217610364837793,-1.2660617711818067,0.20549096786515508,-0.4138834201063752,0.0538759608967882,-0.45866889275561423,0.09866143354602724,1.589,1.589,2500,0.8788407543407629,50,2005Q4-2018Q1,vacancy
8,-0.25772454084270263,0.14974390161054907,-1.7211020820933827,0.08523230154977154,-0.5040532589920559,-0.011395822693349406,-0.5512225879993788,0.035773506313973524,-0.1452249098617897,0.13507961806704646,-1.0751060148075609,0.28232726687367005,-0.36743088158208115,0.07698106185850173,-0.4099809612732008,0.11953114154962136,1.582,1.582,2450,0.8932818615909379,50,2005Q4-2017Q4,vacancy
9,-0.10014645919373671,0.16654976891227677,-0.6013004992308619,0.5476398571261639,-0.374120829054432,0.17382791066695857,-0.42658400626179915,0.22629108787432572,-0.2273684052563879,0.14150756892262362,-1.6067579069266114,0.10810748531443726,-0.46014835613410376,0.005411545621327951,-0.5047232403447302,0.04998642983195439,1.598,1.598,2400,0.9045998843444812,50,2005Q4-2017Q3,vacancy
10,-0.10976933829057767,0.1669249469800765,-0.6575969636442616,0.5107971461591432,-0.3843608760728035,0.16482219949164817,-0.4369422343715276,0.2174035577903723,-0.11155598370886158,0.1634481668869204,-0.6825159671936866,0.4949127498318472,-0.3804282182378457,0.1573162508201225,-0.4319143908072256,0.20880242338950242,1.614,1.614,2350,0.9132716869385444,50,2005Q4-2017Q2,vacancy
11,-0.12134344818843817,0.18975477671991844,-0.6394750650601189,0.5225139297833479,-0.433490055892704,0.19080315951582766,-0.4932628105594783,0.25057591418260194,-0.08232858319938807,0.17593077816021616,-0.46796009237458897,0.6398131287590962,-0.37173471327294366,0.20707754687416752,-0.42715290839341175,0.2624957419946356,1.618,1.618,2300,0.9197960342970789,50,2005Q4-2017Q1,vacancy
12,-0.2331790719680465,0.18761181803355936,-1.2428805094055226,0.21391186896389913,-0.5418005126332517,0.07544236869715865,-0.6008982353138228,0.13454009137772988,0.03547531541890579,0.1748845091821531,0.20284995843717665,0.8392523083974709,-0.252209702185736,0.32316033302354763,-0.30729832257811424,0.37824895341592585,1.619,1.619,2250,0.924646176136531,50,2005Q4-2016Q4,vacancy
13,-0.17142901886619313,0.1612554151006384,-1.063089997686003,0.2877411399855435,-0.43669417670674326,0.09383613897435703,-0.48748963246344434,0.1446315947310581,0.0034646720190523173,0.18685959809760344,0.018541579101773488,0.98520680793228,-0.30391936685150533,0.31084871088960997,-0.3627801402522504,0.36970948429035505,1.739,1.739,2200,0.928473357593443,50,2005Q4-2016Q3,vacancy
14,-0.32448355362835335,0.15193203565197533,-2.1357151718261376,0.03270263699963029,-0.5744117522758527,-0.07455535498085394,-0.622270343506225,-0.02669676375048169,0.08961179015731693,0.18153454442000605,0.4936349191478801,0.6215640350607573,-0.20901253541359302,0.3882361157282269,-0.26619591690589495,0.44541949722052876,1.803,1.803,2150,0.9308722124484647,50,2005Q4-2016Q2,vacancy
15,-0.3261056500453178,0.14192135535336675,-2.297791260753921,0.021573672406940265,-0.5595662796016061,-0.09264502048902948,-0.6042715065379166,-0.047939793552718934,0.0953082215715626,0.18245623975496975,0.5223620836402039,0.6014182503676142,-0.20483229282536264,0.39544873596848784,-0.2623060083481781,0.4529224514913033,1.863,1.863,2100,0.9323172946839092,50,2005Q4-2016Q1,vacancy
