h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
0,0.18764151606734683,0.0333066989846255,5.633747017498277,1.763356398839968e-08,31.739105457170734,0.13285199623763788,0.24243103589705578,0.12236038605748085,0.2529226460772128,0.03121444064839267,0.021978184649389398,1.4202465374800586,0.15553591958818241,0.14538636517937178,0.1463550042938592,0.9933815784491897,0.3205240354666341,0.17827703461009736,1.4205488840825126e-11,0.0058196073796100145,0.9720967510706733,3800,0.6516795933154054,50,2001Q1–2019Q4,unemp,14.014983574386225,δ  (sev+unemp)
1,0.36601406032968165,0.06275482231251327,5.832445170619161,5.46209562173074e-09,34.01741666827878,0.2627823776255973,0.4692457430337659,0.24301460859715562,0.4890135120622076,0.04993371928646863,0.048212447647563945,1.0357018098622017,0.30034127775914055,0.20455856196658256,0.31006059631788513,0.6597373687460172,0.5094223816747434,0.3378999406373572,1.9215908737588566e-10,-0.007010319222316805,0.9823014038893991,3750,0.7166497157066458,50,2001Q1–2019Q3,unemp,14.014983574386225,δ  (sev+unemp)
2,0.5026228756339348,0.08804102388860628,5.7089621796070595,1.1366714362776538e-08,32.59224916818379,0.3577953913371775,0.6474503599306921,0.3300624688122666,0.6751832824556031,0.0663738382888425,0.06981204021500255,0.950750588070893,0.3417310012020591,0.21532451761657462,0.4825472337211235,0.4462247476917798,0.6554349081953312,0.42732945251191184,1.0129148631800022e-07,0.15522968774590062,0.7199744473713199,3700,0.7640398761548559,50,2001Q1–2019Q2,unemp,14.014983574386225,δ  (sev+unemp)
3,0.6169220334055334,0.11206083493373144,5.505242163958156,3.6866115300223206e-08,30.307691283822685,0.43258195993954524,0.8012621068715217,0.39728279693541985,0.836561269875647,0.08396997192998595,0.08720237403421208,0.9629321777070203,0.3355815602541019,0.22233669382146645,0.6579036396693281,0.3379472014066013,0.7354029763646053,0.45844249159163597,3.170655908472854e-05,0.46334697522596197,0.3943549440158117,3650,0.7981173073421601,50,2001Q1–2019Q1,unemp,14.014983574386225,δ  (sev+unemp)
4,0.7217489131160658,0.1374292043043582,5.251787032963106,1.5063056847945394e-07,27.581267039599428,0.49567787203539654,0.9478199541967351,0.4523876726795238,0.9911101535526079,0.1100088934336894,0.10059127698505259,1.093622595625625,0.27412053500364153,0.2249112150328609,0.8287912469112938,0.27137257526675274,0.7861044926676856,0.5090527119821919,0.000346869688931922,0.5247988091304363,0.41852325894938425,3600,0.8224641231262525,50,2001Q1–2018Q4,unemp,14.014983574386225,δ  (sev+unemp)
5,0.8185315232625341,0.1644261199263401,4.97811128565961,6.420773767960622e-07,24.781591972411576,0.5480505559837047,1.0890124905413634,0.4962563282069075,1.1408067183181607,0.14250051585295995,0.11127039474620881,1.2806687365312432,0.2003100453563641,0.292774650177715,0.9955606088520381,0.2940801871573724,0.7686966301915686,0.6079854683910857,0.00047856249063330805,0.24462318208425055,0.7423500256973525,3550,0.840147491056287,50,2001Q1–2018Q3,unemp,14.014983574386225,δ  (sev+unemp)
6,0.9070014211714074,0.19391999968698706,4.677193804844418,2.9082736833672126e-06,21.876141888075,0.5880030216863137,1.225999820656501,0.5269182217849127,1.287084620557902,0.1738862248204306,0.11989359677360704,1.4503378787507464,0.1469643210467422,0.32484231367184113,1.1477324417602466,0.2830296520795728,0.777154106853577,0.7101936994969691,0.0005750909782142857,-0.06924588395586051,0.934434344544037,3500,0.8538362264800118,50,2001Q1–2018Q2,unemp,14.014983574386225,δ  (sev+unemp)
7,1.0001308204037336,0.22256376629295363,4.493682134617067,7.000209518477133e-06,20.193179126976595,0.6340134248518249,1.3662482159556424,0.5639058384695446,1.4363558023379228,0.19601844848252428,0.11951885012168717,1.6400630384491623,0.10099206053327292,0.2747865906243704,1.2644609664945685,0.21731520221312484,0.8279627105247539,0.7706703974050653,0.001094467407330001,-0.3215688952976774,0.7280042516992499,3450,0.865969598647566,50,2001Q1–2018Q1,unemp,14.014983574386225,δ  (sev+unemp)
8,1.0787611082354807,0.2484105761513062,4.34265370238669,1.4077193393123462e-05,18.85864117885282,0.6701257104665819,1.4873965060043792,0.5918763789789204,1.5656458374920408,0.20795842004363868,0.11911420053599203,1.7458742879343014,0.08083279864032551,0.18227500615789025,1.3431853756179544,0.13570353688077613,0.8920556515629574,0.7943061407691805,0.002545649854174676,-0.5398278510820819,0.5925425425675541,3400,0.8766618791851947,50,2001Q1–2017Q4,unemp,14.014983574386225,δ  (sev+unemp)
9,1.1503357829157412,0.27433896870137064,4.193118419745645,2.7514571688387444e-05,17.58224208201021,0.6990481794019865,1.601623386429496,0.6126314042610548,1.6880401615704277,0.2005392923324119,0.12222556295375497,1.6407311816455905,0.10085322918759988,-0.017681552480978562,1.4081724083779903,-0.012556383277914909,0.9899817188953635,0.8024344482810842,0.0059468096029773486,-0.7850165903453731,0.47846345137945856,3350,0.8856661474424423,50,2001Q1–2017Q3,unemp,14.014983574386225,δ  (sev+unemp)
10,1.2043600167766912,0.3019501604784406,3.9886053210515953,6.646289378922242e-05,15.9089724071211,0.7076520027896565,1.701068030763726,0.6125377022389478,1.796182331314435,0.1901412467718397,0.12897439047597556,1.4742558276114348,0.14041272355929602,-0.305783067802702,1.466810984690861,-0.20846794235533186,0.8348636110464147,0.8175056669533949,0.011753249914679242,-1.0813722327458501,0.3813003092372228,3300,0.8934009700637109,50,2001Q1–2017Q2,unemp,14.014983574386225,δ  (sev+unemp)
11,1.241513021199048,0.3277946291047503,3.787472127257793,0.00015218775101890386,14.34494511475467,0.7022908563217336,1.7807351860763623,0.5990355481537373,1.8839904942443584,0.19650847626033746,0.1398607542404656,1.405029433220961,0.16001252612130556,-0.5752312840245375,1.4759018089388203,-0.3897490202536788,0.6967221443300029,0.8552548638024278,0.013958478415073697,-1.4982553178212759,0.25339481054245294,3250,0.9003675486961903,50,2001Q1–2017Q1,unemp,14.014983574386225,δ  (sev+unemp)
12,1.2806617821275148,0.35141700062458947,3.644279530732253,0.0002681418722901216,13.28077329811409,0.7025808161000651,1.8587427481549648,0.5918844609033195,1.9694391033517102,0.20439266458770614,0.15229215241809568,1.3421089750348802,0.1795606642488543,-0.8003314467957625,1.452331922714751,-0.551066484374835,0.5815880996810064,0.8870029562887642,0.015740410825468742,-1.8686324849805882,0.17558786395425352,3200,0.9070158962052065,50,2001Q1–2016Q4,unemp,14.014983574386225,δ  (sev+unemp)
13,1.3316271161062208,0.3725820891683016,3.574050269240673,0.00035150140075508645,12.773835327059327,0.7187295794243647,1.9445246527880766,0.6013662213363496,2.061888010876092,0.20153331724886286,0.16829850181463557,1.1974754087284283,0.23112130692742006,-1.033481585996117,1.41109530201602,-0.7323967307662286,0.46392645362561946,0.916378416203258,0.017544845340913832,-2.227764138832898,0.12504461643651552,3150,0.9134705216333978,50,2001Q1–2016Q3,unemp,14.014983574386225,δ  (sev+unemp)
14,1.38053123741582,0.38607467978885945,3.575813980266252,0.00034913985654504685,12.786445621467575,0.7454383891631463,2.015624085668494,0.6238248650296556,2.1372376098019847,0.20194783737865254,0.18464323935407798,1.0937190989776275,0.27407819516605203,-1.3193598511284514,1.3932240122729689,-0.9469832844583176,0.3436472966738535,0.9374705553878994,0.022351911955266993,-2.4881214907506086,0.10802146496325053,3100,0.9196824588054551,50,2001Q1–2016Q2,unemp,14.014983574386225,δ  (sev+unemp)
15,1.4395712063012125,0.39149977852992174,3.6770677411537496,0.0002359304027344169,13.520827173033538,0.7955540706194912,2.0835883419829337,0.6722316403825659,2.206910772219859,0.2027211455540163,0.20710619431988708,0.9788270515989598,0.3276654410159041,-1.68481882116602,1.4142680272288135,-1.1913009335771643,0.23353546754519994,0.9414068394932782,0.03345200628907092,-2.6537832933439414,0.11420792543578338,3050,0.9257929514706015,50,2001Q1–2016Q1,unemp,14.014983574386225,δ  (sev+unemp)
