h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
0,-0.06479315883835288,0.032457311844388374,-1.9962577045503271,0.04590587928709961,3.9850448229765414,-0.11818543682237177,-0.011400880854334002,-0.1284094900533541,-0.001176827623351668,-0.015368629018702312,0.015026865106093863,-1.0227435270228022,0.3064291254162802,-0.024423717444002305,0.07933265223823162,-0.3078646276776329,0.758185342374393,-0.05940160626193995,0.006408265510245479,-0.4146487199227691,4.0311232008904426e-05,3750,0.4003168817836459,50,2001Q2–2019Q4,vacancy,14.014983574386225,δ  (sev+vac)
1,-0.11459100379185581,0.04757063809130083,-2.408859926829758,0.016002438451477155,5.802606147086267,-0.19284470345204566,-0.03633730413166595,-0.20782945445080545,-0.02135255313290619,-0.015102376905181479,0.021733994113396285,-0.6948735159485828,0.4871345712882489,-0.13989814636474865,0.10885761708610067,-1.2851479768668512,0.19874057889898755,-0.08522959415285206,0.005861042602957025,-0.6356867459535864,4.466657195177728e-06,3700,0.5900453794097209,50,2001Q2–2019Q3,vacancy,14.014983574386225,δ  (sev+vac)
2,-0.16656253400412777,0.06131731287684185,-2.716403022074287,0.006599552643864249,7.3788453783343195,-0.2674295136865326,-0.06569555432172293,-0.2867444672427378,-0.046380600765517754,0.00789962801783341,0.02780004353307653,0.28415883624190813,0.7762886596068402,-0.07831175089108607,0.11897325439869577,-0.6582298793698003,0.5103904278295147,-0.05719119229709478,0.125220140072582,-0.8423484291463154,8.348710802552647e-07,3650,0.699034698210472,50,2001Q2–2019Q2,vacancy,14.014983574386225,δ  (sev+vac)
3,-0.226975644526015,0.07259075071468928,-3.1267846425520545,0.0017672933279222972,9.77678220089938,-0.3463874294516789,-0.10756385960035114,-0.369253515926806,-0.08469777312522403,0.01679114395897961,0.03379306136401688,0.496881409414388,0.6192726820302896,-0.11943124506709632,0.1292795162608586,-0.9238218746588551,0.35557906419385565,-0.08752981177825435,0.060748804987866285,-0.8281926674145736,3.0792190939594084e-05,3600,0.7571351017055119,50,2001Q2–2019Q1,vacancy,14.014983574386225,δ  (sev+vac)
4,-0.2528085393429245,0.08041632041347625,-3.1437466678786095,0.0016679977089188835,9.88314311179786,-0.385093386423093,-0.12052369226275612,-0.41042452735333795,-0.09519255133251112,0.02898249417716971,0.040845569452319236,0.7095627399931883,0.47797533219069577,-0.058896807324772864,0.16687934329466556,-0.3529304835576708,0.7241405569374793,-0.06367697525165275,0.20304281283885472,-0.8722069003505967,3.2253214426451155e-05,3550,0.8014091345650914,50,2001Q2–2018Q4,vacancy,14.014983574386225,δ  (sev+vac)
5,-0.2773201586946315,0.08962119421841892,-3.0943591090603517,0.001972385897022645,9.575058295824773,-0.42474702318393065,-0.1298932942053324,-0.4529776993627326,-0.10166261802653043,0.041321428933284256,0.04373525720297924,0.944808183967178,0.34475681293869465,-0.04015750506174887,0.2092288579328464,-0.19193100540001864,0.8477962501265635,-0.06869321081587426,0.2117269777548677,-0.8326249844295777,0.00035892138625484636,3500,0.829098629586802,50,2001Q2–2018Q3,vacancy,14.014983574386225,δ  (sev+vac)
6,-0.27630863130559297,0.099981925770818,-2.76358580988885,0.005717005791429697,7.637406528619012,-0.4407788991985886,-0.11183836341259734,-0.4722732058163962,-0.08034405679478969,0.05694370656598567,0.04921202398166955,1.1571096240056293,0.24722757517600324,0.08307255247610497,0.1960519896390518,0.4237271584391901,0.6717648063076617,-0.07101290343266028,0.23840891292569333,-0.7828919923812643,0.0015199789634989477,3450,0.8487428067931109,50,2001Q2–2018Q2,vacancy,14.014983574386225,δ  (sev+vac)
7,-0.2783343973529361,0.11122110391036086,-2.5025322314482774,0.012330839713733924,6.262667569437495,-0.4612931132854797,-0.09537568142039249,-0.4963277610172433,-0.06034103368862882,0.07403016301826909,0.053908689085855555,1.3732510338058463,0.16967431934858979,0.22544656672464009,0.20956036319689644,1.0758072914428836,0.2820134506364095,-0.05555726187589377,0.42640601593016236,-0.7894074868148312,0.0036242488422678406,3400,0.8641550017578254,50,2001Q2–2018Q1,vacancy,14.014983574386225,δ  (sev+vac)
8,-0.3019272800488203,0.1136586707587843,-2.6564385984206607,0.007897083060753547,7.056666027179124,-0.4888957934470205,-0.1149587666506201,-0.5246982747360375,-0.07915628536160307,0.08152167492934846,0.06271090795111614,1.2999600483044438,0.19361466245844428,0.06418334050415604,0.19374947544145732,0.3312697510943686,0.7404407377116322,-0.05581996976995167,0.4388661713076327,-0.6532927182841151,0.0172904827141419,3350,0.8757463829694604,50,2001Q2–2017Q4,vacancy,14.014983574386225,δ  (sev+vac)
9,-0.3229182745058094,0.12016337519163676,-2.68732693294291,0.0072026416613560525,7.221726044520349,-0.5205870266960518,-0.12524952231556694,-0.5584384898814175,-0.08739805913020131,0.09392270308767425,0.06940227837425209,1.353308641845959,0.17595704954411562,0.2667444322517513,0.18192815119348676,1.4662075687674063,0.14259174726389032,-0.01566995212034157,0.842029154558691,-0.5913386499346531,0.03927114723183954,3300,0.8846005123854689,50,2001Q2–2017Q3,vacancy,14.014983574386225,δ  (sev+vac)
