h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
0,0.17163802862480484,0.07906064282602662,2.1709667729681286,0.02993368414835437,4.7130967293316495,0.04158327117599106,0.30169278607361866,0.01667916868579268,0.326596888563817,-0.016154290528031485,0.027564083898624102,-0.5860630299720517,0.5578331591620924,0.3844593563325962,0.1497380053310979,2.567546932941218,0.010242092362144241,0.028577795449520806,0.0037357915073167893,0.31567167239833654,0.008599076511827682,3700,0.6541121091888404,50,2001Q3–2019Q4,unemp,16.92152793209377,LD (sev+unemp)
1,0.36672773009031817,0.1486499920034668,2.4670551619119188,0.013622936951688942,6.086361171916244,0.1221984932446153,0.611256966936021,0.0753737457635233,0.6580817144171132,-0.07802370103005338,0.05049172635988095,-1.5452769523849836,0.12227928780600825,0.5192656127185308,0.2837214150353373,1.830195343745401,0.06722073381639233,0.04651071190249002,0.00884744383180992,0.8214899050205641,0.00032647066277396037,3650,0.7170979126685179,50,2001Q3–2019Q3,unemp,16.92152793209377,LD (sev+unemp)
2,0.5154976697344341,0.20756164261510757,2.4835883125590237,0.013006607919178162,6.1682109062797785,0.17405876763258218,0.856936571836286,0.10867685020882331,0.9223184892600449,-0.15741961361279283,0.070304526436004,-2.2391106461130486,0.025148717740109006,0.3262473779982329,0.413599794295307,0.7887996621325561,0.4302291070224955,0.08804556207688671,0.00026730694742808225,1.1477696657498033,0.00024410821788264215,3600,0.7619905457471856,50,2001Q3–2019Q2,unemp,16.92152793209377,LD (sev+unemp)
3,0.6381829278205676,0.25544218662711615,2.498345853702546,0.012477439439538898,6.241732004712704,0.21798053081896152,1.0583853248221737,0.13751624203141996,1.1388496136097153,-0.2223548741711729,0.09073194619255767,-2.4506789890660547,0.014258705173298683,0.006498200366277039,0.5342436769186084,0.012163364110843813,0.9902952788672101,0.1572146351168735,2.1005324300379803e-07,1.1738622789589708,0.0016132820707352913,3550,0.7953866705774135,50,2001Q3–2019Q1,unemp,16.92152793209377,LD (sev+unemp)
4,0.7457794799579869,0.3016697622634159,2.4721718025778716,0.013429496017459531,6.111633421461123,0.2495327210346677,1.242026238881306,0.15450674592169175,1.337052213994282,-0.2691117780758011,0.10442402900611582,-2.5771058695699245,0.009963143006866487,-0.3525457889691773,0.6257562474585284,-0.5633915608530015,0.5731682824926341,0.22286135695816758,1.0168004065524338e-10,1.0981864263005092,0.00788830700731732,3500,0.8204353768310835,50,2001Q3–2018Q4,unemp,16.92152793209377,LD (sev+unemp)
5,0.850368380460539,0.34935204123294294,2.43413027575106,0.014927621341240798,5.924990199327931,0.27568427263234785,1.4250524882887303,0.16563837964397085,1.5350983812771073,-0.30118608452977885,0.11617954251818531,-2.5924192676402984,0.009530354660435255,-0.677748573730834,0.6684352917381944,-1.0139329597161477,0.3106147427724679,0.24858862374952811,7.85500895221632e-12,1.0538464157019174,0.01720853976035407,3450,0.8392371379699155,50,2001Q3–2018Q3,unemp,16.92152793209377,LD (sev+unemp)
6,0.9872810413951758,0.39469418748440893,2.5013822668320267,0.012370956720421142,6.256913244821728,0.33800910298332315,1.6365529798070284,0.21368043392573433,1.7608816488646173,-0.3178269164604364,0.12675527943978734,-2.5074057496075652,0.012162101173846052,-0.944160377033854,0.6657399652549902,-1.4182119540806353,0.15612889287795362,0.26130408180855724,5.390713273697174e-12,1.035273533582801,0.02165520665892254,3400,0.8536129549196128,50,2001Q3–2018Q2,unemp,16.92152793209377,LD (sev+unemp)
7,1.1277400575444985,0.4314158520214295,2.614044088228081,0.008947748946435432,6.83322649520018,0.4180609809692469,1.83741913411975,0.2821649875824966,1.9733151275065002,-0.3039417652506068,0.12931702865701541,-2.350361498459298,0.01875518611712247,-1.204723111707998,0.6414676121390049,-1.8780731698842754,0.06037115611536079,0.25844258106029927,2.169385385482824e-11,0.9401571420104492,0.03193018048831151,3350,0.8658125112696362,50,2001Q3–2018Q1,unemp,16.92152793209377,LD (sev+unemp)
8,1.2593698626338328,0.46416880293328444,2.7131721362472603,0.006664247859149364,7.361303040908522,0.49581218180857994,2.022927543459086,0.3495990088845954,2.1691407163830703,-0.2802599411984655,0.13290248062874746,-2.1087638084149036,0.03496497399634863,-1.455152105268614,0.6152762674532078,-2.36503857249667,0.018028193151315503,0.27079851748602346,9.646089822702663e-12,0.6398248503487244,0.12089125279336921,3300,0.8766171834532785,50,2001Q3–2017Q4,unemp,16.92152793209377,LD (sev+unemp)
9,1.3606197764131793,0.5000663963058699,2.7208782402986036,0.006510873836625276,7.403178398530426,0.5380105544900233,2.183228998336335,0.38048963965367427,2.340749913172684,-0.23195451812492765,0.129717421906911,-1.788152390905402,0.0737514249696415,-1.6131681078041031,0.5800570076454279,-2.781050976958779,0.005418322823152599,0.31243513379975557,1.0052176096011852e-14,0.11791069713602764,0.7614067099487749,3250,0.8858763391342224,50,2001Q3–2017Q3,unemp,16.92152793209377,LD (sev+unemp)
10,1.5065022594622524,0.513636752333944,2.933011028935856,0.0033569196695042275,8.602553695859369,0.6615698018729146,2.3514347170515904,0.49977422488772216,2.5132302940367826,-0.24795854285179028,0.13161502844442738,-1.8839683110845304,0.05956926199876822,-1.7279328499100688,0.536489276402152,-3.2208152630711884,0.001278265153993232,0.3523399463526965,4.809481290013297e-17,-0.41742363573729013,0.26270997317353806,3200,0.8946521031541035,50,2001Q3–2017Q2,unemp,16.92152793209377,LD (sev+unemp)
11,1.610468098435968,0.5192283498643546,3.1016567158875157,0.001924409797816003,9.620274383210129,0.7563374629091048,2.4645987339628315,0.5927805327018331,2.628155664170103,-0.26671556243822797,0.12909619798994612,-2.066021823965718,0.03882641894640825,-1.9121256176774044,0.4947675955713457,-3.8646945248492433,0.00011122831592834033,0.372500092887227,2.9277371259190688e-18,-0.8819149317898164,0.02336593199645951,3150,0.9025186374727839,50,2001Q3–2017Q1,unemp,16.92152793209377,LD (sev+unemp)
