h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
0,-0.10689193608332336,0.04326831182283073,-2.470443878675232,0.01349454912476259,6.103092957683924,-0.1780683090318799,-0.03571556313476681,-0.19169782725607157,-0.022086044910575132,0.020020320531484104,0.017795412585330014,1.1250270503977096,0.2605775717529649,0.14101359514399442,0.0707820778940373,1.992221750753003,0.04634673275854917,-0.08717637103545023,2.3853468630466225e-12,-0.35119492767346516,2.3168610415270186e-06,3700,0.3918603162804625,50,2001Q3–2019Q4,vacancy,16.92152793209377,LD (sev+vac)
1,-0.1394610490908846,0.06742949369336494,-2.0682499816042306,0.03861652250854416,4.2776579864059,-0.2503825662164699,-0.028539531965299285,-0.27162285672987996,-0.007299241451889332,0.031124233996853993,0.03423135956044433,0.9092316050695006,0.3632278845637872,0.1800044724283955,0.0964889727847162,1.865544499370068,0.062105120821783745,-0.08664836214002285,8.288517266192474e-09,-0.8257344728699633,3.18397059385618e-16,3650,0.5791188690336662,50,2001Q3–2019Q3,vacancy,16.92152793209377,LD (sev+vac)
2,-0.1716240950324036,0.0801602995872718,-2.14101114786321,0.03227313908175747,4.583928735274539,-0.3034877878534657,-0.03976040221134148,-0.32873828222345636,-0.014509907841350877,0.052865948746307595,0.04697634096390827,1.1253739150719355,0.26043061985601745,0.151774444145465,0.09445143620410384,1.606904566464078,0.10807530454132021,-0.09211160571549332,7.05349164162881e-08,-0.9652405267677665,6.990099263623391e-14,3600,0.6818054678067955,50,2001Q3–2019Q2,vacancy,16.92152793209377,LD (sev+vac)
3,-0.23485429607709238,0.09802275474198269,-2.3959160982088314,0.016578884801597277,5.740413949656231,-0.39610172762765383,-0.07360686452653084,-0.4269788953713784,-0.04272969678280631,0.05264021536154538,0.05044562338901094,1.043504110467837,0.29671487807157293,0.1256302055366415,0.10559077316334592,1.1897839344569925,0.2341313255806562,-0.0960805556214678,7.285740362857316e-06,-1.0647457420370747,5.07572147799276e-13,3550,0.7441892074946979,50,2001Q3–2019Q1,vacancy,16.92152793209377,LD (sev+vac)
4,-0.23717460340435062,0.10919856000423263,-2.1719572437141803,0.029858888066381824,4.7173982685224995,-0.41680623461131333,-0.057542972197387965,-0.45120378101264663,-0.023145425796054678,0.06943222653432271,0.05743931823598282,1.2087926644440383,0.22674251050996008,-0.0019669954686143565,0.1193172607798658,-0.016485422609921977,0.9868471315812617,-0.07378789008233147,0.000503140274155824,-1.0528840931721928,1.9274955731715272e-12,3500,0.7894286696339642,50,2001Q3–2018Q4,vacancy,16.92152793209377,LD (sev+vac)
5,-0.2659807117462651,0.11792182950176361,-2.255568056144237,0.024097695648131096,5.087587255898292,-0.4599621212766662,-0.07199930221586393,-0.4971074975697218,-0.034853925922808386,0.0658956991010236,0.05187134772898957,1.270367977429593,0.2039535843900706,-0.10884808809470582,0.13678253849334132,-0.7957747333370673,0.4261629801132597,-0.06603003598221913,0.0023103186226728035,-0.9361919096614395,1.1439284235727387e-08,3450,0.8191428276215695,50,2001Q3–2018Q3,vacancy,16.92152793209377,LD (sev+vac)
6,-0.30786132481313666,0.12930229123701611,-2.3809425329425515,0.0172684056327366,5.668887345174893,-0.5205635938980281,-0.09515905572824512,-0.5612938156376882,-0.054428833988585064,0.09949960239437823,0.06250666298990985,1.591823937400721,0.11142427000748012,-0.1415844125459635,0.12682119800524352,-1.1164096757713138,0.26424681369482084,-0.04896501286053451,0.023530421662120486,-0.9349799727684499,3.0279721543896735e-07,3400,0.841386738240814,50,2001Q3–2018Q2,vacancy,16.92152793209377,LD (sev+vac)
7,-0.31219316740986197,0.13685380928396967,-2.2812164969560014,0.022535639035317526,5.20394870598421,-0.5373176836819921,-0.08706865113773189,-0.5804266336064425,-0.04395970121328146,0.12697258624328855,0.06523892895766711,1.9462702449588,0.051622285845318416,-0.16408228920754853,0.12543303034960093,-1.3081266453519158,0.1908303572306621,-0.046575775719159246,0.04167601196821718,-0.8514252271474076,2.222723337041719e-05,3350,0.8575343085444784,50,2001Q3–2018Q1,vacancy,16.92152793209377,LD (sev+vac)
8,-0.30074305413358127,0.14289486720876837,-2.10464560419933,0.03532216876179514,4.429533119275562,-0.5358051106920053,-0.0656809975751573,-0.5808169938627673,-0.020669114404395315,0.13923147673155575,0.0735242972106988,1.8936798040049223,0.058267523603185815,-0.04968399751506235,0.14249925315286113,-0.34866145903070495,0.7273434818510804,-0.0030593705335716023,0.8990476050742813,-0.950635533907503,1.1865396720373228e-05,3300,0.8692720757454686,50,2001Q3–2017Q4,vacancy,16.92152793209377,LD (sev+vac)
9,-0.3213325094010468,0.14932480100955914,-2.1519031482283806,0.031404983255729726,4.630687159355215,-0.5669718070617716,-0.07569321174032198,-0.6140091193797828,-0.028655899422310855,0.12102544700900184,0.07812179292368379,1.5491893168303255,0.12133621683786287,0.08100348103991807,0.14705179141649194,0.550850011819941,0.5817364972460589,-0.005899756030042626,0.8081829646434064,-0.7422300333535703,0.0008819370253335132,3250,0.8778824974551722,50,2001Q3–2017Q3,vacancy,16.92152793209377,LD (sev+vac)
10,-0.3168798095790975,0.15874948003729059,-1.996099826624073,0.04592305791305635,3.9844145178486543,-0.5780227042404404,-0.05573691491775447,-0.6280287904521871,-0.00573082870600792,0.12703330442903402,0.09341312373978376,1.359908536865808,0.17385886916480975,0.07779526658606124,0.13992951803319958,0.5559603697598929,0.5782379469254627,-0.0005810826207589409,0.9828069848372045,-0.5668779855634642,0.016617516735268213,3200,0.8850307790519648,50,2001Q3–2017Q2,vacancy,16.92152793209377,LD (sev+vac)
11,-0.333989396533763,0.16595542935157703,-2.012524675081317,0.044164658270888515,4.050255567811161,-0.6069860778171073,-0.060992715250418786,-0.6592620380628539,-0.008716755004672047,0.1131812259594098,0.09038645867044835,1.2521922821655378,0.2104998075948059,0.2871462270520759,0.14537496025764848,1.9752110442071023,0.0482442031092739,0.012826661026225821,0.6405438600992677,-0.5466673341852424,0.0280020007954032,3150,0.8913993748704186,50,2001Q3–2017Q1,vacancy,16.92152793209377,LD (sev+vac)
12,-0.3260731189885384,0.16953750218637434,-1.9233096794718778,0.05444116969432339,3.6991201231502173,-0.6049623100851242,-0.04718392789195264,-0.6583666232738321,0.006220385296755294,0.061204017411143084,0.09132276110283738,0.6701945568884194,0.5027337732628037,0.45471473821607256,0.16797042307656612,2.7071119420161223,0.006787136741347487,0.022807521278848046,0.43132552877064845,-0.4354980652969521,0.11341291019690133,3100,0.8965245239482112,50,2001Q3–2016Q4,vacancy,16.92152793209377,LD (sev+vac)
13,-0.2865607222947446,0.1755354346265531,-1.6324950167719403,0.10257524739762343,2.6650399797852176,-0.5753165122554245,0.0021950676659352186,-0.6306101741627888,0.057488729573299445,-0.023060319900458367,0.08276735647399862,-0.27861612213871745,0.7805394387886704,0.5076135826535066,0.16642479440581315,3.050107914904391,0.002287591537126538,0.04618393581279369,0.11299455691585948,-0.3860568058230344,0.16968815127285974,3050,0.9017754870452438,50,2001Q3–2016Q3,vacancy,16.92152793209377,LD (sev+vac)
14,-0.25239490276824383,0.18975212843064046,-1.330129495019082,0.1834756090294415,1.7692444735197184,-0.5645371540366474,0.059747348500159746,-0.624309074492299,0.1195192689558115,-0.09752313219652345,0.07637801013015437,-1.2768482974397484,0.20165581048841164,0.5095154311336278,0.1658790547803133,3.071607996611864,0.002129091293753236,0.06847917572616531,0.032326609379876386,-0.2814206116212288,0.33636589776411485,3000,0.9063400800995598,50,2001Q3–2016Q2,vacancy,16.92152793209377,LD (sev+vac)
