h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
0,0.009937908493791522,0.032310582004228115,0.30757441919464845,0.7584061876979696,0.09460202334292533,-0.04321299890316372,0.06308881589074677,-0.05339083223449558,0.07326664922207864,-0.029079890930237495,0.0173635431245698,-1.6747671095474055,0.09397993445270321,-0.6124412932403801,0.1656786684196649,-3.696560933777324,0.0002185398238162304,-0.00467157572752677,0.710090265627633,0.4294456483148655,9.49402433151061e-06,3700,0.6552128920760354,50,2001Q3–2019Q4,unemp,8.91642575592369,QU (sev+unemp)
1,0.02499779025317579,0.06489688320969973,0.385192462516282,0.7000948273660669,0.1483732331793573,-0.08175758262678026,0.13175316313313185,-0.10220010083783568,0.1521956813441873,-0.039015257767968214,0.031530701995954966,-1.2373735850528618,0.21594842070372222,-1.0141613492836998,0.31758694443419505,-3.193334509044458,0.0014063992469180921,-0.01594255614477532,0.512093682467529,1.0373676069266071,1.1100650515005185e-07,3650,0.7171059226963497,50,2001Q3–2019Q3,unemp,8.91642575592369,QU (sev+unemp)
2,0.0884619765718482,0.09693169970111204,0.9126217413355986,0.3614415157194063,0.8328784427584203,-0.07099066943648111,0.2479146225801775,-0.10152415484233139,0.27844810798602776,-0.043285299668269876,0.045065848623481744,-0.9604900604427072,0.33680863107736514,-1.091829675039064,0.43679471503468165,-2.499640305749515,0.012431945980323364,0.007028175933251932,0.8388114223937995,1.411084412391375,1.911946299043506e-07,3600,0.7609893819079802,50,2001Q3–2019Q2,unemp,8.91642575592369,QU (sev+unemp)
3,0.20223495459164925,0.12978439536993225,1.5582378298655,0.11917688038672694,2.428105134423943,-0.011260375791889278,0.41573028497518777,-0.05214246033341795,0.45661236951671647,-0.06913572937584132,0.05969070944967113,-1.1582326632276647,0.2467691022196421,-1.0216496417695937,0.5330605653889294,-1.9165732903618224,0.05529216396285772,0.05775679030578038,0.18552781642912397,1.4733904445213886,8.11680707215301e-06,3550,0.7938265360486697,50,2001Q3–2019Q1,unemp,8.91642575592369,QU (sev+unemp)
4,0.33064256386455076,0.15766509778667298,2.0971195813541623,0.035982991000690544,4.397910538499057,0.07128347800547369,0.5900016497236278,0.021618972202671727,0.6396661555264298,-0.09732237064072519,0.07404310028023367,-1.3144016157128158,0.1887110870409503,-0.8731951032425322,0.5737611490467824,-1.5218791036883799,0.12803937597159382,0.10589837742351396,0.035236527590771824,1.4101420152105857,8.886923127630226e-05,3500,0.8186166760330883,50,2001Q3–2018Q4,unemp,8.91642575592369,QU (sev+unemp)
5,0.45583377905598865,0.18216633269335775,2.502294317047584,0.012339129991794115,6.261476849128636,0.15617016177541518,0.7554973963365621,0.09878776697700747,0.8128797911349699,-0.11560917340772797,0.0898414605204468,-1.286813156620676,0.19815942008193554,-0.7794853866951003,0.5831666399124232,-1.3366426221022505,0.18133931936334557,0.1272057155344479,0.02853706261536688,1.4125191294222676,0.00020122268965557706,3450,0.8373447735674128,50,2001Q3–2018Q3,unemp,8.91642575592369,QU (sev+unemp)
6,0.5858369543148095,0.20577594067596178,2.8469652593513595,0.004413817888447019,8.105211187953554,0.24733553190285237,0.9243383767267666,0.18251611058992442,0.9891577980396945,-0.1337566547790006,0.10568425155840908,-1.2656252261490122,0.20564729022875616,-0.8007386436149649,0.6013021858248048,-1.3316742604495837,0.18296725090282606,0.12674952971164402,0.06265226662708782,1.4063402834908345,0.0005191880097351626,3400,0.8518927581911067,50,2001Q3–2018Q2,unemp,8.91642575592369,QU (sev+unemp)
7,0.7385087534656029,0.22967944903047505,3.21538891086252,0.0013026790385001008,10.338725848097663,0.36068605981047136,1.1163314471207344,0.28833703336587174,1.188680473565334,-0.146694244434132,0.12088417699998141,-1.2135107180665552,0.22493461906761236,-0.8526461946286882,0.6301443146906359,-1.3530967030104648,0.17602473881139424,0.12098139784176962,0.12031297519845899,1.3454284984170415,0.0016489629956498676,3350,0.8644033833832713,50,2001Q3–2018Q1,unemp,8.91642575592369,QU (sev+unemp)
8,0.9201426137743803,0.2564651763177752,3.587787733934959,0.0003334956140030792,12.872220823774148,0.49825739873164016,1.3420278288171206,0.417470868191541,1.4228143593572198,-0.16775186456842853,0.13399059487710244,-1.251967458777926,0.21058172174889733,-0.8909182845961165,0.6759999513622141,-1.317926551327139,0.18752823648610073,0.1313971210211896,0.12882918464597745,1.0967942365325178,0.015211403815561266,3300,0.8757471046089245,50,2001Q3–2017Q4,unemp,8.91642575592369,QU (sev+unemp)
9,1.0734207172916883,0.2757145417213604,3.893232147241972,9.891741015714531e-05,15.157256552318337,0.6198702961600504,1.5269711384233262,0.533020215517822,1.6138212190655548,-0.18651941795902194,0.1421976208918004,-1.3116915514426672,0.1896242285235784,-1.0129103427668462,0.7198811186238597,-1.4070522431580752,0.15941189781989484,0.16464996175036656,0.07920671758321056,0.533061178131674,0.2704250737553465,3250,0.8857662397674462,50,2001Q3–2017Q3,unemp,8.91642575592369,QU (sev+unemp)
