h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
0,-0.025143732172999207,0.028675868075304776,-0.87682549337199,0.3805814299188808,0.7688229458270337,-0.07231553515687555,0.02202807081087715,-0.08134843360059657,0.031060969254598152,0.01971628191770008,0.01720857738972926,1.1457241043915412,0.251909326937809,-0.096644112714013,0.047880280967686144,-2.0184533332048953,0.04354406969141247,-0.07622156924100439,1.629550505626435e-08,-0.43866545577467,3.0167035229691463e-12,3700,0.39033307913212345,50,2001Q3–2019Q4,vacancy,8.91642575592369,QU (sev+vac)
1,-0.06155204511672899,0.03785089600491699,-1.6261714150368622,0.10391319524217356,2.644433471082991,-0.12381676904481743,0.0007126788113594673,-0.1357398012863663,0.012635711052908324,0.02513954538500408,0.02630961121119134,0.9555270575154091,0.33931122897121324,-0.19532523247977054,0.07073024332565989,-2.7615518241672645,0.005752738594229663,-0.07884603487052998,6.2888108582746945e-06,-0.9816424720686612,2.3201574350601995e-47,3650,0.5782243412079453,50,2001Q3–2019Q3,vacancy,8.91642575592369,QU (sev+vac)
2,-0.12109519053834138,0.04531113582725017,-2.6725260430464557,0.00752825306907262,7.142395450761546,-0.19563200897416788,-0.04655837210251485,-0.2099050167597517,-0.03228536431693105,0.034293885479409106,0.032069075454258286,1.0693755586538245,0.28490047607236924,-0.18476839575177775,0.10012165614720338,-1.8454388676923494,0.06497372354828898,-0.08492194928594103,3.0569209306776384e-05,-1.1927294349064872,1.5639267889104352e-42,3600,0.6812802821715729,50,2001Q3–2019Q2,vacancy,8.91642575592369,QU (sev+vac)
3,-0.09638457396685081,0.057107861435859726,-1.6877636728719816,0.09145660356874008,2.8485462154663215,-0.19032700602884003,-0.0024421419048615577,-0.20831598238113586,0.015546834447434257,0.05856103408624901,0.033297379565185414,1.7587280095601998,0.07862371754910155,-0.14404531277155114,0.11133693977654714,-1.2937782649734184,0.19574202234935134,-0.06809069816762997,0.0014514369996940074,-1.3248895387270088,3.5127366955121065e-29,3550,0.7429612843258954,50,2001Q3–2019Q1,vacancy,8.91642575592369,QU (sev+vac)
4,-0.11532784421863619,0.06519667046482316,-1.768922299197185,0.07690684229655348,3.129086100597055,-0.2225763671332703,-0.008079321304002088,-0.2431133183296896,0.012457629892417211,0.061923703213896675,0.0339736579286576,1.8226975542030917,0.06834921094817394,0.017551630264481904,0.113358630987628,0.15483276492989312,0.8769531600036894,-0.03935470037728266,0.04473574532798225,-1.3146405565483417,1.2668047987156253e-23,3500,0.7884428439336935,50,2001Q3–2018Q4,vacancy,8.91642575592369,QU (sev+vac)
5,-0.13478996152642544,0.07186796547237101,-1.875522155670933,0.06072092439868936,3.517583356412543,-0.2530127647284758,-0.016567158324375136,-0.27565117385227267,0.006071250799421742,0.059087752382044945,0.0335511302015517,1.7611255426296253,0.07821715669473069,0.021103680600548572,0.12213903030391113,0.17278408505485565,0.8628211471734372,-0.03942034059886683,0.0683291894380691,-1.285763959116216,6.598091818907175e-19,3450,0.8180265381798077,50,2001Q3–2018Q3,vacancy,8.91642575592369,QU (sev+vac)
6,-0.15409022163274821,0.08019423010690843,-1.921462696597095,0.05467340089051781,3.6920188944141796,-0.2860097301586126,-0.022170713106883847,-0.31127091264228873,0.003090469376792307,0.10402474130233336,0.03642634235044262,2.855755878576959,0.004293451119089191,0.0819555356463309,0.1356175777752876,0.6043135188723666,0.5456352200389132,0.007144219167526819,0.7519854398943093,-1.3170981742617016,5.1761805104139455e-17,3400,0.8404340535961117,50,2001Q3–2018Q2,vacancy,8.91642575592369,QU (sev+vac)
7,-0.23347035633951532,0.0921998571628061,-2.532220369140642,0.011334273327200498,6.41213999789077,-0.38513912137233136,-0.0818015913066993,-0.41418207637861526,-0.0527586363004154,0.12146744814668835,0.044523352364066286,2.7281739064357104,0.006368602294371161,0.19015137054953826,0.14587295874516287,1.3035409179690998,0.19239015639120927,0.014984506397447849,0.5705661579059318,-1.252906307381488,2.0360166202593513e-12,3350,0.8573696551769312,50,2001Q3–2018Q1,vacancy,8.91642575592369,QU (sev+vac)
8,-0.2794770303093334,0.0999427638575693,-2.796370837888999,0.00516800634731481,7.8196898629960225,-0.4438828768550349,-0.11507118376363192,-0.4753648474701692,-0.08358921314849761,0.10091176751247065,0.046335415744532885,2.1778539350729194,0.02941691295288377,-0.003835924202492609,0.13701659257525073,-0.027996056027928776,0.9776652967491812,0.03545750685533953,0.210400672551591,-1.3982102546039368,6.551362528946803e-15,3300,0.8692384992814527,50,2001Q3–2017Q4,vacancy,8.91642575592369,QU (sev+vac)
9,-0.32768779797040826,0.10497647087895276,-3.1215356662947977,0.0017991045367599656,9.743984915950508,-0.5003740925662855,-0.15500150337453095,-0.5334416808931557,-0.12193391504766081,0.11470184299672624,0.04962061390868661,2.31157645908622,0.020801035167281715,-0.07179722918238735,0.1524213324861744,-0.4710444923377101,0.6376089626091366,0.03523672685137724,0.22593081599422304,-1.1765363384670318,3.288974373167042e-10,3250,0.8784294150136218,50,2001Q3–2017Q3,vacancy,8.91642575592369,QU (sev+vac)
