state,avg_delta_rate,avg_lf,u_rec_end,v_rec_end,u_rec_trough,v_rec_trough,cug,cvs,n_rec
AL,0.010389105742670405,2200135.6666666665,9.578686688058278,12.765558093614532,7.927921566048882,12.431877104952267,42.34982324532749,6.637421118539579,3
AK,0.010460574092243251,340905.8888888888,4.4696219517084055,12.526069267080224,6.571009333628407,12.182033620878748,18.060204554118823,12.655103462602774,3
AZ,0.011254611884667578,3001960.0,9.488746685498809,13.23716275736889,7.931946239567928,12.9075750509667,45.97809997406634,10.836032191424044,3
AR,0.010034997210642434,1325066.3333333333,16.37310366935928,12.61796830800169,15.3489295336745,12.61796830800169,25.056566861320796,6.654249364483824,3
CA,0.01231155452531766,18265078.888888884,10.429509487168927,12.392541383311235,8.185811388349997,12.060745590355753,61.393716695072406,7.53828707916316,3
CO,0.011350369195704944,2731204.4444444445,11.794782847128088,14.463760310876275,10.190299639882118,14.463760310876275,57.56423730061029,11.469509924401864,3
CT,0.01064465995024011,1859204.4444444447,8.150865722734455,11.186670583116792,15.938558248330827,10.171988377346581,51.672922307271214,5.906950139613701,3
DE,0.011068452289699882,452801.6666666667,6.67483040772082,12.039585641493762,10.34415803828755,11.707032144316312,38.69383091444256,8.480436420797533,3
FL,0.012078589487831257,9205591.555555558,9.38491414952101,14.211293295606184,8.082722693999363,14.211293295606184,54.16396926361649,10.719648374151548,3
GA,0.011062111161374427,4741522.111111112,15.779393251098295,12.715293862854494,14.767110580219446,11.703011191975646,44.45184654682346,6.93020263568839,3
HI,0.011500047434930643,654155.7777777779,6.70240421836321,12.093320449325525,5.694746171571094,11.404946018634364,43.671529394459554,9.573317160027923,3
ID,0.01052070217653484,776689.6666666666,9.15362091566101,13.690679117227859,8.540259108206666,13.304040924682202,42.298202232542366,9.723509870560257,3
IL,0.011229176654852955,6538210.888888889,12.73759722715854,12.619516232592206,11.058004349066065,12.27966525942928,53.897073245952086,6.214314855392263,3
IN,0.010217270528289418,3239947.555555556,15.344228617143596,12.360090190760289,14.34951580834916,12.028519254495478,48.38740558431993,4.863886894419403,3
IA,0.010180096238489672,1668577.6666666667,13.35765671081538,10.681060096493361,13.35765671081538,10.346485519703108,27.913757813624233,3.7148615847628452,3
KS,0.010384603531176014,1464244.5555555557,10.467315455273447,12.64912706977227,9.490562862108415,12.310856011378185,26.585210890444497,6.139252245679396,3
KY,0.010293790132659365,2015497.2222222222,14.104230414606818,11.757848945462866,13.769033061871967,11.757848945462866,40.42771826178358,5.447801332779296,3
LA,0.010630239621628748,2058987.111111111,10.606313978329366,16.52909602153896,8.949479960049397,15.865391580887344,29.81617002549186,11.06594262527689,3
ME,0.010316789087687319,692127.2222222221,15.53809664087126,12.825309572983132,14.520801490413213,12.1471128060111,33.072617801747526,5.745928641371387,3
MD,0.011355580665510165,3075556.3333333335,12.955547807484297,11.905799229024762,11.664609477880552,11.905799229024762,32.305236626806725,6.07633417348797,3
MA,0.011056088828449568,3530141.444444444,15.752509476091817,11.238480906950125,15.107648251928717,11.560911519031674,46.12094563118913,4.562712870941436,3
