,state_fips,industry_code,emp_state_ind,emp_state_total,emp_nat_ind,share,emp_nat_loo,share_of_nat
0,01,10,21888,1574557,1776779,0.013901052804058539,1754891,0.012318920923761481
1,01,20,110025,1574557,7589577,0.06987679709276959,7479552,0.014496855358342105
2,01,30,302792,1574557,14108909,0.19230297791696332,13806117,0.021461049894077565
3,01,40,383473,1574557,25978749,0.24354342205458424,25595276,0.014761026406621813
4,01,50,30305,1574557,3018358,0.019246683352841465,2988053,0.01004022716987183
5,01,55,96572,1574557,8135115,0.06133280662433942,8038543,0.011871006125912173
6,01,60,213949,1574557,17325563,0.13587885354420323,17111614,0.012348747339408248
7,01,65,197774,1574557,16829499,0.12560612286503442,16631725,0.011751627306314941
8,01,70,169709,1574557,12970494,0.1077820618751814,12800785,0.01308423565054654
9,01,80,48070,1574557,4308397,0.030529221870024395,4260327,0.011157281931075526
10,02,10,13196,231079,1776779,0.05710601136407895,1763583,0.007426922537918334
11,02,20,17994,231079,7589577,0.07786947321046049,7571583,0.002370883120363625
12,02,30,13208,231079,14108909,0.05715794165631667,14095701,0.000936146090388704
13,02,40,63780,231079,25978749,0.2760095032434795,25914969,0.002455083576195297
14,02,50,6947,231079,3018358,0.030063311681286488,3011411,0.0023015825160567433
15,02,55,13700,231079,8135115,0.059287083638063176,8121415,0.001684057324327929
16,02,60,24342,231079,17325563,0.10534059780421415,17301221,0.001404975988370479
17,02,65,37054,231079,16829499,0.16035208738137174,16792445,0.0022017292374538304
18,02,70,31371,231079,12970494,0.13575876648245838,12939123,0.002418643422525002
19,02,80,9487,231079,4308397,0.041055223538270465,4298910,0.0022019790655317976
20,04,10,37927,2216846,1776779,0.01710854069249736,1738852,0.0213459299102477
21,04,20,239650,2216846,7589577,0.10810403609452349,7349927,0.03157619983300782
22,04,30,187057,2216846,14108909,0.08437979002600993,13921852,0.013258076864766793
23,04,40,510489,2216846,25978749,0.2302771595320559,25468260,0.019650253366703684
24,04,50,44885,2216846,3018358,0.020247234133539273,2973473,0.014870668091724043
25,04,55,181637,2216846,8135115,0.081934875043192,7953478,0.022327527023281172
26,04,60,394485,2216846,17325563,0.1779487614385483,16931078,0.02276895706073159
27,04,65,284407,2216846,16829499,0.12829353053843162,16545092,0.016899314709249515
28,04,70,266285,2216846,12970494,0.12011885354237507,12704209,0.020530058454211537
29,04,80,70024,2216846,4308397,0.03158721895882709,4238373,0.01625291262620413
30,05,10,18550,973616,1776779,0.01905268606925112,1758229,0.01044024045759208
31,05,20,56956,973616,7589577,0.058499449474947,7532621,0.007504502556598345
32,05,30,198822,973616,14108909,0.20420987329706988,13910087,0.014091947151973268
33,05,40,244917,973616,25978749,0.25155400075594486,25733832,0.009427590219990963
34,05,50,19911,973616,3018358,0.020450567780315853,2998447,0.00659663300377225
35,05,55,51171,973616,8135115,0.052557681878687285,8083944,0.006290138492203245
36,05,60,114216,973616,17325563,0.11731113703965423,17211347,0.00659233988528973
37,05,65,145778,973616,16829499,0.14972843502982697,16683721,0.008662052269054473
38,05,70,97450,973616,12970494,0.10009079554978555,12873044,0.007513206513182921
39,05,80,25845,973616,4308397,0.026545373124517265,4282552,0.0059987508114967125
40,06,10,402871,13100731,1776779,0.03075179545324608,1373908,0.22674232417199888
41,06,20,929950,13100731,7589577,0.07098458856990499,6659627,0.12252988539413988
42,06,30,1495034,13100731,14108909,0.11411836484544259,12613875,0.10596382753620426
43,06,40,2854723,13100731,25978749,0.2179056267928866,23124026,0.10988685405906189
44,06,50,470144,13100731,3018358,0.0358868524206779,2548214,0.15576151006606903
45,06,55,934448,13100731,8135115,0.07132792818965598,7200667,0.11486598529953172
46,06,60,2222644,13100731,17325563,0.169658013739844,15102919,0.1282869711073747
47,06,65,1576182,13100731,16829499,0.12031252301875368,15253317,0.09365590740401719
48,06,70,1514160,13100731,12970494,0.11557828337975949,11456334,0.11673880732684506
49,06,80,700575,13100731,4308397,0.05347602358982869,3607822,0.16260688139927681
50,08,10,35514,1890372,1776779,0.01878677847534771,1741265,0.019987854426464967
51,08,20,167647,1890372,7589577,0.08868466100852107,7421930,0.022089109841035938
52,08,30,149147,1890372,14108909,0.07889822743883214,13959762,0.010571122118655666
53,08,40,415032,1890372,25978749,0.21955043769162894,25563717,0.015975827011531617
54,08,50,75633,1890372,3018358,0.040009585414934205,2942725,0.025057663802637062
55,08,55,156739,1890372,8135115,0.08291436817726881,7978376,0.01926696795312666
56,08,60,331871,1890372,17325563,0.1755585673084451,16993692,0.01915499080751373
57,08,65,228145,1890372,16829499,0.12068788577063139,16601354,0.013556256190395211
58,08,70,264980,1890372,12970494,0.14017346850249582,12705514,0.020429445478329505
59,08,80,65664,1890372,4308397,0.0347360202118948,4242733,0.01524093531770633
60,09,10,5868,1424932,1776779,0.004118091249266632,1770911,0.0033026054450215813
61,09,20,67157,1424932,7589577,0.04712996830725957,7522420,0.00884858273392575
62,09,30,193714,1424932,14108909,0.13594613637703412,13915195,0.013729906401692717
63,09,40,307295,1424932,25978749,0.21565590498353607,25671454,0.011828706609390621
64,09,50,37730,1424932,3018358,0.026478456515819704,2980628,0.012500173935629902
65,09,55,144325,1424932,8135115,0.10128553502903999,7990790,0.017740990754279443
66,09,60,205869,1424932,17325563,0.14447636799510433,17119694,0.011882384428142392
67,09,65,272738,1424932,16829499,0.19140422139442442,16556761,0.016205948852072185
68,09,70,132475,1424932,12970494,0.09296934871278068,12838019,0.010213566268177604
69,09,80,57761,1424932,4308397,0.040535969435734474,4250636,0.013406610393610432
70,10,10,1406,364323,1776779,0.0038592128413523167,1775373,0.000791319573227734
71,10,20,29247,364323,7589577,0.08027766569774623,7560330,0.0038535744482202368
72,10,30,33245,364323,14108909,0.0912514444599984,14075664,0.00235631259653032
73,10,40,81169,364323,25978749,0.22279405911787067,25897580,0.0031244383630635946
74,10,50,6710,364323,3018358,0.01841772273504555,3011648,0.002223063003129516
75,10,55,44031,364323,8135115,0.12085704169102691,8091084,0.005412461901276135
76,10,60,62212,364323,17325563,0.1707605613699931,17263351,0.0035907635440187427
77,10,65,52085,364323,16829499,0.1429637986072798,16777414,0.0030948633705614173
78,10,70,40927,364323,12970494,0.1123371294153814,12929567,0.003155392539405207
79,10,80,13291,364323,4308397,0.03648136406430558,4295106,0.003084906056707402
80,12,10,97141,6878020,1776779,0.014123395977330686,1679638,0.05467252820975484
81,12,20,634751,6878020,7589577,0.0922868790727564,6954826,0.08363456883038409
82,12,30,402317,6878020,14108909,0.058493141921657686,13706592,0.0285151034711472
83,12,40,1593327,6878020,25978749,0.2316548948679998,24385422,0.06133193711521675
84,12,50,167289,6878020,3018358,0.024322261348469473,2851069,0.05542384302988579
85,12,55,544294,6878020,8135115,0.07913527439582903,7590821,0.06690673702830262
86,12,60,1347000,6878020,17325563,0.19584124500946493,15978563,0.07774639127167181
87,12,65,939776,6878020,16829499,0.13663467102450996,15889723,0.05584099681161037
88,12,70,904030,6878020,12970494,0.13143753580245476,12066464,0.06969896443419965
89,12,80,248095,6878020,4308397,0.03607070057952725,4060302,0.057584062007284845
90,13,10,33050,3352480,1776779,0.00985837350260106,1743729,0.01860107531662632
91,13,20,218511,3352480,7589577,0.06517891232759032,7371066,0.02879093261719329
92,13,30,447903,3352480,14108909,0.13360348160167995,13661006,0.03174611162351391
93,13,40,862887,3352480,25978749,0.2573876652507994,25115862,0.033215109780690366
94,13,50,115966,3352480,3018358,0.034591108671789245,2902392,0.038420227156619594
95,13,55,227061,3352480,8135115,0.06772926311268077,7908054,0.02791122190651269
96,13,60,550357,3352480,17325563,0.1641641411731017,16775206,0.031765605539052326
97,13,65,414017,3352480,16829499,0.12349574046675893,16415482,0.024600672901789886
98,13,70,383810,3352480,12970494,0.11448539588603064,12586684,0.02959100863852988
99,13,80,98918,3352480,4308397,0.029505918006967977,4209479,0.022959351238987492
100,15,10,7587,500310,1776779,0.015164597949271452,1769192,0.00427008648796502
