,Mining,Construction,Manufacturing,"Trade, transport & utilities",Information,Financial activities,Professional & business services,Education & health,Leisure & hospitality,Other services
AK,0.05710601136407895,0.07786947321046049,0.05715794165631667,0.2760095032434795,0.030063311681286488,0.059287083638063176,0.10534059780421415,0.16035208738137174,0.13575876648245838,0.041055223538270465
AL,0.013901052804058539,0.06987679709276959,0.19230297791696332,0.24354342205458424,0.019246683352841465,0.06133280662433942,0.13587885354420323,0.12560612286503442,0.1077820618751814,0.030529221870024395
AR,0.01905268606925112,0.058499449474947,0.20420987329706988,0.25155400075594486,0.020450567780315853,0.052557681878687285,0.11731113703965423,0.14972843502982697,0.10009079554978555,0.026545373124517265
AZ,0.01710854069249736,0.10810403609452349,0.08437979002600993,0.2302771595320559,0.020247234133539273,0.081934875043192,0.1779487614385483,0.12829353053843162,0.12011885354237507,0.03158721895882709
CA,0.03075179545324608,0.07098458856990499,0.11411836484544259,0.2179056267928866,0.0358868524206779,0.07132792818965598,0.169658013739844,0.12031252301875368,0.11557828337975949,0.05347602358982869
CO,0.01878677847534771,0.08868466100852107,0.07889822743883214,0.21955043769162894,0.040009585414934205,0.08291436817726881,0.1755585673084451,0.12068788577063139,0.14017346850249582,0.0347360202118948
CT,0.004118091249266632,0.04712996830725957,0.13594613637703412,0.21565590498353607,0.026478456515819704,0.10128553502903999,0.14447636799510433,0.19140422139442442,0.09296934871278068,0.040535969435734474
DE,0.0038592128413523167,0.08027766569774623,0.0912514444599984,0.22279405911787067,0.01841772273504555,0.12085704169102691,0.1707605613699931,0.1429637986072798,0.1123371294153814,0.03648136406430558
FL,0.014123395977330686,0.0922868790727564,0.058493141921657686,0.2316548948679998,0.024322261348469473,0.07913527439582903,0.19584124500946493,0.13663467102450996,0.13143753580245476,0.03607070057952725
GA,0.00985837350260106,0.06517891232759032,0.13360348160167995,0.2573876652507994,0.034591108671789245,0.06772926311268077,0.1641641411731017,0.12349574046675893,0.11448539588603064,0.029505918006967977
HI,0.015164597949271452,0.07140173092682536,0.030279226879334813,0.24136635286122604,0.02139873278567288,0.059806919709779936,0.15645299914053287,0.13930762926985268,0.21548040215066658,0.04934140832683736
IA,0.01313676294165452,0.059993421137498226,0.18637046735723223,0.24649046709923764,0.02657747578075618,0.0812029966073709,0.09430831645618606,0.15106874266327833,0.10809329085022124,0.03275805910656467
ID,0.04521792653588197,0.09779389963331744,0.12381822753834779,0.23709386247715272,0.0198766715582695,0.055974448568737026,0.15312468332814147,0.12569104836681766,0.11208213388980007,0.02932709810353434
IL,0.005161007038626746,0.05497716052120278,0.13638463016744956,0.23607107426855936,0.023335502814132228,0.07977616391845789,0.1708288335584719,0.14989194547291684,0.10445211020962458,0.03912157203055812
IN,0.007534013939609994,0.06041005599182278,0.2265786121101615,0.23189869742721525,0.015989930053329174,0.05477718959786378,0.11227477256204194,0.1442638557004552,0.11265051085570887,0.03362236176179154
KS,0.016815064677221665,0.059733997832274795,0.16825562581784662,0.23579398691077058,0.03626565592104839,0.0661423239598096,0.1286094604537489,0.14842932009492316,0.1061549951147909,0.03379956921756539
KY,0.020323594522205758,0.056177240869780154,0.1761792398675799,0.25372009438511234,0.020062239066630107,0.060762104404413465,0.1208042994660785,0.1477110799855748,0.1137335200865512,0.030526587346073792
LA,0.03841383058216154,0.08859724203518783,0.10330548196454045,0.25117722980775764,0.018349296922763398,0.06201005366483255,0.1318803070443584,0.1496175531553563,0.12510155560084232,0.031547449222199576
MA,0.0029969861647503523,0.05050531122589998,0.10732831230603387,0.20322864315753286,0.031254693993731424,0.08035436134977661,0.16944802039384557,0.20489957049173158,0.10619189530337136,0.043792205613326404
MD,0.00329195518503441,0.09082902284158678,0.0657199662749441,0.22682463549735776,0.024490217225631813,0.07602318308190674,0.19038450036561202,0.16842559168372534,0.11075005450416643,0.04326087334003461
ME,0.011710911675029217,0.06276423220560849,0.12065326119422433,0.2505778278483956,0.022585902403723757,0.06485303226815221,0.1037905105933435,0.210824474642729,0.11974717901738194,0.03249266815141195
MI,0.008629054394357353,0.048745758544997034,0.18054686089918706,0.21860558507953398,0.018146933651560074,0.05847138253703877,0.16179310126179203,0.1565371872809051,0.1121162458329382,0.036407890517690424
MN,0.00975795684474869,0.055057249206656896,0.15061300320386467,0.22752753559426137,0.02526893078911775,0.0777190922891624,0.13979740075315866,0.16993071724315176,0.10637440567330164,0.03795370840257616
MO,0.007287226065809979,0.06481110391016967,0.13459860403075377,0.23690785533065037,0.027617705429266243,0.06959631951015668,0.1453126109921835,0.15495056928850118,0.1220683812702636,0.03684962417224496
MS,0.02321942122764447,0.06453671250112339,0.19740046733171565,0.2525882987328121,0.015391614990563494,0.0513660465534286,0.1054641862137144,0.12954188011144063,0.133835490248944,0.026655882088613282
MT,0.033889193953931966,0.08709574867778389,0.05828733273604809,0.24983092974191498,0.022357735325568624,0.06360509811855149,0.10986965694633104,0.1652668998005838,0.16403861160082078,0.04575879309846536
NC,0.010046740068953171,0.07455759513942253,0.1685111619620112,0.23038877799928636,0.022277646726429328,0.061626439924153946,0.14534237283181733,0.14245004183223994,0.11459537202683596,0.030203851488850218
ND,0.027886289915796218,0.06724888900343516,0.09576109247688722,0.2740433647640122,0.027573333136968296,0.06887626425334036,0.10428088054992028,0.1770157177939861,0.11624687503451729,0.041067293071136914
