,Total Nonfarm,Total Private,Construction,Manufacturing,Durable Goods Manufacturing,Nondurable Goods Manufacturing,"Trade, Transportation, and Utilities",Retail Trade,Professional and Business Services,Private Education and Health Services,Health Care and Social Assistance,Leisure and Hospitality,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Government,State and Local
2000-12-01,5088.0,4541.0,233.0,425.0,301.0,124.0,784.0,502.0,871.0,919.0,864.0,566.0,42.0,525.0,548.0,481.0
2001-01-01,5234.0,4752.0,241.0,445.0,304.0,141.0,955.0,533.0,888.0,842.0,801.0,654.0,57.0,597.0,482.0,413.0
2001-02-01,5097.0,4619.0,253.0,420.0,281.0,139.0,962.0,586.0,1032.0,808.0,751.0,601.0,43.0,558.0,479.0,416.0
2001-03-01,4762.0,4316.0,188.0,436.0,249.0,187.0,687.0,431.0,901.0,818.0,761.0,695.0,126.0,568.0,445.0,388.0
2001-04-01,4615.0,4125.0,226.0,354.0,236.0,118.0,848.0,502.0,834.0,708.0,645.0,582.0,49.0,533.0,490.0,425.0
2001-05-01,4425.0,3940.0,224.0,327.0,217.0,110.0,721.0,487.0,750.0,812.0,740.0,527.0,57.0,470.0,486.0,417.0
2001-06-01,4361.0,3830.0,174.0,324.0,204.0,120.0,714.0,462.0,768.0,765.0,716.0,447.0,63.0,384.0,531.0,468.0
2001-07-01,4447.0,3937.0,178.0,308.0,191.0,117.0,677.0,409.0,756.0,804.0,749.0,588.0,78.0,509.0,509.0,458.0
2001-08-01,4024.0,3537.0,127.0,266.0,151.0,115.0,580.0,347.0,594.0,847.0,791.0,544.0,62.0,482.0,487.0,432.0
2001-09-01,4071.0,3637.0,167.0,338.0,221.0,117.0,606.0,384.0,644.0,772.0,717.0,540.0,77.0,463.0,434.0,380.0
2001-10-01,3707.0,3249.0,141.0,265.0,155.0,110.0,647.0,417.0,576.0,758.0,704.0,375.0,58.0,316.0,458.0,398.0
2001-11-01,3775.0,3288.0,164.0,230.0,124.0,106.0,630.0,419.0,604.0,733.0,682.0,452.0,65.0,387.0,486.0,433.0
2001-12-01,3677.0,3229.0,124.0,231.0,145.0,86.0,612.0,427.0,585.0,746.0,697.0,434.0,66.0,368.0,449.0,402.0
2002-01-01,3699.0,3289.0,129.0,262.0,161.0,101.0,616.0,399.0,592.0,756.0,696.0,356.0,44.0,313.0,410.0,363.0
2002-02-01,3436.0,2939.0,110.0,261.0,151.0,109.0,545.0,354.0,418.0,766.0,704.0,414.0,59.0,355.0,498.0,446.0
2002-03-01,3612.0,3164.0,139.0,243.0,138.0,104.0,623.0,367.0,548.0,718.0,673.0,410.0,81.0,330.0,448.0,395.0
2002-04-01,3471.0,3025.0,120.0,245.0,143.0,102.0,562.0,331.0,541.0,702.0,650.0,376.0,57.0,319.0,446.0,396.0
2002-05-01,3457.0,3005.0,136.0,239.0,148.0,91.0,527.0,321.0,567.0,654.0,612.0,399.0,61.0,339.0,452.0,399.0
2002-06-01,3412.0,3007.0,140.0,250.0,153.0,97.0,569.0,366.0,514.0,760.0,658.0,342.0,44.0,298.0,405.0,375.0
