date,industry_code,qcew_estabs
2014-03-31,CON,741584
2014-06-30,CON,750266
2014-09-30,CON,755520
2014-12-31,CON,758913
2015-03-31,CON,754077
2015-06-30,CON,759905
2015-09-30,CON,764576
2015-12-31,CON,768589
2016-03-31,CON,763861
2016-06-30,CON,772604
2016-09-30,CON,779036
2016-12-31,CON,782876
2017-03-31,CON,771834
2017-06-30,CON,783481
2017-09-30,CON,789821
2017-12-31,CON,794270
2018-03-31,CON,797287
2018-06-30,CON,807964
2018-09-30,CON,814482
2018-12-31,CON,821447
2019-03-31,CON,818915
2019-06-30,CON,827659
2019-09-30,CON,835414
2019-12-31,CON,840490
2020-03-31,CON,837603
2020-06-30,CON,841186
2020-09-30,CON,851080
2020-12-31,CON,858202
2021-03-31,CON,854871
2021-06-30,CON,865961
2021-09-30,CON,878770
2021-12-31,CON,886453
2022-03-31,CON,889957
2022-06-30,CON,899107
2022-09-30,CON,909649
2022-12-31,CON,916550
2023-03-31,CON,919590
2023-06-30,CON,923830
2023-09-30,CON,931396
2023-12-31,CON,935228
2024-03-31,CON,928934
2024-06-30,CON,938140
2024-09-30,CON,942423
2024-12-31,CON,944415
2025-03-31,CON,942651
2025-06-30,CON,949639
2014-03-31,LHS,784839
2014-06-30,LHS,791534
2014-09-30,LHS,795903
2014-12-31,LHS,798938
2015-03-31,LHS,798244
2015-06-30,LHS,802512
2015-09-30,LHS,807539
2015-12-31,LHS,813235
2016-03-31,LHS,810504
2016-06-30,LHS,817984
2016-09-30,LHS,822415
2016-12-31,LHS,827922
2017-03-31,LHS,827018
2017-06-30,LHS,838930
2017-09-30,LHS,843269
2017-12-31,LHS,847702
2018-03-31,LHS,851692
2018-06-30,LHS,858466
2018-09-30,LHS,864351
2018-12-31,LHS,870801
2019-03-31,LHS,870301
2019-06-30,LHS,877662
2019-09-30,LHS,884491
2019-12-31,LHS,891544
2020-03-31,LHS,889946
2020-06-30,LHS,881392
2020-09-30,LHS,887682
2020-12-31,LHS,895450
2021-03-31,LHS,888288
2021-06-30,LHS,898280
2021-09-30,LHS,909884
2021-12-31,LHS,919548
2022-03-31,LHS,921563
2022-06-30,LHS,929713
2022-09-30,LHS,939817
2022-12-31,LHS,947852
2023-03-31,LHS,950825
2023-06-30,LHS,958192
2023-09-30,LHS,966295
2023-12-31,LHS,972556
2024-03-31,LHS,967543
2024-06-30,LHS,976613
2024-09-30,LHS,982561
2024-12-31,LHS,987469
2025-03-31,LHS,985976
2025-06-30,LHS,992090
2014-03-31,PBS,1648713
2014-06-30,PBS,1666296
2014-09-30,PBS,1679007
2014-12-31,PBS,1699957
2015-03-31,PBS,1696629
2015-06-30,PBS,1711443
2015-09-30,PBS,1732995
2015-12-31,PBS,1749117
2016-03-31,PBS,1733431
2016-06-30,PBS,1748699
2016-09-30,PBS,1762241
2016-12-31,PBS,1775568
2017-03-31,PBS,1749878
2017-06-30,PBS,1774533
2017-09-30,PBS,1793574
2017-12-31,PBS,1809666
2018-03-31,PBS,1815449
2018-06-30,PBS,1835355
2018-09-30,PBS,1852379
2018-12-31,PBS,1878620
2019-03-31,PBS,1871176
2019-06-30,PBS,1892656
2019-09-30,PBS,1914115
2019-12-31,PBS,1937962
2020-03-31,PBS,1934793
2020-06-30,PBS,1955565
2020-09-30,PBS,1987278
2020-12-31,PBS,2027780
2021-03-31,PBS,2044507
2021-06-30,PBS,2091278
2022-03-31,PBS,2244391
2022-06-30,PBS,2287979
2022-09-30,PBS,2339633
2022-12-31,PBS,2383513
2023-03-31,PBS,2410958
2023-06-30,PBS,2431134
2023-09-30,PBS,2461611
2023-12-31,PBS,2492577
2024-03-31,PBS,2485664
2024-06-30,PBS,2510922
2024-09-30,PBS,2527807
2024-12-31,PBS,2550077
2025-03-31,PBS,2541051
2025-06-30,PBS,2558208
2014-03-31,TTU,1898552
2014-06-30,TTU,1906927
2014-09-30,TTU,1911502
2014-12-31,TTU,1917270
2015-03-31,TTU,1906722
2015-06-30,TTU,1907003
2015-09-30,TTU,1918962
2015-12-31,TTU,1921216
2016-03-31,TTU,1908933
2016-06-30,TTU,1916329
2016-09-30,TTU,1919245
2016-12-31,TTU,1922072
2017-03-31,TTU,1903090
2017-06-30,TTU,1914859
2017-09-30,TTU,1920307
2017-12-31,TTU,1923173
2018-03-31,TTU,1919967
2018-06-30,TTU,1925530
2018-09-30,TTU,1931836
2018-12-31,TTU,1942354
2019-03-31,TTU,1930011
2019-06-30,TTU,1937475
2019-09-30,TTU,1943181
2019-12-31,TTU,1949344
2020-03-31,TTU,1939921
2020-06-30,TTU,1937929
2020-09-30,TTU,1950736
2020-12-31,TTU,1964624
2021-03-31,TTU,1955191
2021-06-30,TTU,1969049
2021-09-30,TTU,1988167
2021-12-31,TTU,2006432
2022-03-31,TTU,2003026
2022-06-30,TTU,2018385
2022-09-30,TTU,2036352
2022-12-31,TTU,2048400
2023-03-31,TTU,2047109
2023-06-30,TTU,2051081
2023-09-30,TTU,2062240
2023-12-31,TTU,2069128
2024-03-31,TTU,2047584
2024-06-30,TTU,2053677
2024-09-30,TTU,2053541
2024-12-31,TTU,2055075
2025-03-31,TTU,2040352
2025-06-30,TTU,2042700
