,0,1,2,3,4,5
2000-12-01,301.0,124.0,233.0,784.0,871.0,566.0
2001-01-01,304.0,141.0,241.0,955.0,888.0,654.0
2001-02-01,281.0,139.0,253.0,962.0,1032.0,601.0
2001-03-01,249.0,187.0,188.0,687.0,901.0,695.0
2001-04-01,236.0,118.0,226.0,848.0,834.0,582.0
2001-05-01,217.0,110.0,224.0,721.0,750.0,527.0
2001-06-01,204.0,120.0,174.0,714.0,768.0,447.0
2001-07-01,191.0,117.0,178.0,677.0,756.0,588.0
2001-08-01,151.0,115.0,127.0,580.0,594.0,544.0
2001-09-01,221.0,117.0,167.0,606.0,644.0,540.0
2001-10-01,155.0,110.0,141.0,647.0,576.0,375.0
2001-11-01,124.0,106.0,164.0,630.0,604.0,452.0
2001-12-01,145.0,86.0,124.0,612.0,585.0,434.0
2002-01-01,161.0,101.0,129.0,616.0,592.0,356.0
2002-02-01,151.0,109.0,110.0,545.0,418.0,414.0
2002-03-01,138.0,104.0,139.0,623.0,548.0,410.0
2002-04-01,143.0,102.0,120.0,562.0,541.0,376.0
2002-05-01,148.0,91.0,136.0,527.0,567.0,399.0
2002-06-01,153.0,97.0,140.0,569.0,514.0,342.0
2002-07-01,167.0,89.0,102.0,567.0,543.0,376.0
2002-08-01,147.0,84.0,114.0,575.0,617.0,395.0
2002-09-01,144.0,95.0,142.0,507.0,572.0,351.0
2002-10-01,138.0,72.0,126.0,565.0,645.0,382.0
2002-11-01,136.0,92.0,110.0,504.0,590.0,406.0
2002-12-01,140.0,89.0,111.0,470.0,559.0,377.0
2003-01-01,117.0,84.0,107.0,555.0,684.0,392.0
2003-02-01,117.0,74.0,92.0,538.0,623.0,362.0
2003-03-01,136.0,73.0,90.0,509.0,575.0,352.0
2003-04-01,109.0,78.0,138.0,513.0,523.0,371.0
2003-05-01,109.0,87.0,104.0,536.0,640.0,430.0
2003-06-01,112.0,85.0,112.0,566.0,660.0,424.0
2003-07-01,110.0,76.0,136.0,485.0,538.0,338.0
2003-08-01,137.0,83.0,112.0,565.0,609.0,389.0
2003-09-01,123.0,71.0,79.0,533.0,583.0,396.0
2003-10-01,138.0,84.0,105.0,515.0,585.0,458.0
2003-11-01,157.0,85.0,118.0,554.0,627.0,438.0
2003-12-01,142.0,102.0,135.0,628.0,634.0,446.0
2004-01-01,142.0,95.0,170.0,546.0,556.0,454.0
2004-02-01,140.0,91.0,125.0,590.0,620.0,467.0
2004-03-01,153.0,96.0,149.0,629.0,570.0,443.0
2004-04-01,166.0,103.0,146.0,600.0,624.0,410.0
2004-05-01,177.0,111.0,150.0,650.0,676.0,429.0
2004-06-01,171.0,94.0,116.0,620.0,584.0,466.0
2004-07-01,177.0,106.0,124.0,702.0,686.0,516.0
2004-08-01,164.0,103.0,148.0,602.0,642.0,465.0
2004-09-01,168.0,92.0,112.0,758.0,679.0,524.0
2004-10-01,182.0,98.0,148.0,665.0,777.0,486.0
2004-11-01,155.0,87.0,146.0,532.0,673.0,428.0
2004-12-01,181.0,88.0,175.0,684.0,881.0,471.0
2005-01-01,190.0,94.0,144.0,643.0,732.0,541.0
2005-02-01,188.0,92.0,166.0,764.0,750.0,525.0
2005-03-01,177.0,109.0,167.0,747.0,736.0,558.0
2005-04-01,207.0,82.0,134.0,781.0,714.0,625.0
2005-05-01,188.0,80.0,120.0,710.0,663.0,535.0
2005-06-01,169.0,87.0,134.0,740.0,764.0,577.0
2005-07-01,192.0,98.0,151.0,757.0,837.0,536.0
2005-08-01,204.0,90.0,156.0,758.0,777.0,514.0
2005-09-01,228.0,102.0,153.0,784.0,818.0,485.0
2005-10-01,197.0,72.0,182.0,768.0,705.0,505.0
2005-11-01,227.0,127.0,177.0,784.0,783.0,529.0
2005-12-01,222.0,102.0,158.0,703.0,750.0,587.0
2006-01-01,230.0,89.0,171.0,718.0,748.0,634.0
2006-02-01,245.0,110.0,163.0,738.0,770.0,594.0
2006-03-01,240.0,114.0,180.0,918.0,853.0,563.0
2006-04-01,240.0,127.0,183.0,795.0,923.0,676.0
2006-05-01,190.0,106.0,158.0,826.0,855.0,545.0
2006-06-01,220.0,123.0,170.0,826.0,919.0,539.0
2006-07-01,204.0,93.0,175.0,699.0,949.0,589.0
2006-08-01,206.0,134.0,189.0,779.0,948.0,571.0
2006-09-01,215.0,121.0,165.0,854.0,911.0,575.0
2006-10-01,217.0,128.0,163.0,821.0,844.0,588.0
2006-11-01,201.0,112.0,140.0,796.0,861.0,616.0
2006-12-01,222.0,114.0,139.0,863.0,795.0,580.0
2007-01-01,213.0,124.0,266.0,897.0,957.0,512.0
2007-02-01,224.0,122.0,261.0,787.0,861.0,554.0
2007-03-01,237.0,140.0,184.0,860.0,1004.0,625.0
2007-04-01,217.0,132.0,182.0,865.0,953.0,563.0
2007-05-01,218.0,146.0,168.0,736.0,909.0,584.0
2007-06-01,222.0,131.0,174.0,816.0,959.0,633.0
2007-07-01,233.0,127.0,183.0,813.0,814.0,629.0
2007-08-01,208.0,112.0,163.0,803.0,742.0,635.0
2007-09-01,190.0,131.0,137.0,786.0,845.0,676.0
2007-10-01,165.0,116.0,166.0,759.0,1049.0,608.0
2007-11-01,187.0,130.0,143.0,781.0,995.0,635.0
2007-12-01,167.0,140.0,145.0,728.0,1036.0,582.0
2008-01-01,170.0,118.0,158.0,788.0,988.0,574.0
2008-02-01,144.0,124.0,136.0,664.0,967.0,552.0
2008-03-01,146.0,110.0,104.0,647.0,920.0,583.0
2008-04-01,161.0,110.0,101.0,649.0,838.0,549.0
2008-05-01,164.0,114.0,167.0,706.0,821.0,555.0
2008-06-01,147.0,92.0,134.0,607.0,736.0,471.0
2008-07-01,138.0,100.0,117.0,630.0,665.0,440.0
2008-08-01,144.0,105.0,79.0,659.0,659.0,431.0
2008-09-01,124.0,90.0,111.0,471.0,631.0,410.0
2008-10-01,137.0,103.0,73.0,640.0,577.0,409.0
2008-11-01,107.0,83.0,70.0,584.0,527.0,349.0
2008-12-01,92.0,72.0,64.0,536.0,578.0,348.0
2009-01-01,54.0,62.0,41.0,509.0,536.0,241.0
2009-02-01,72.0,63.0,82.0,454.0,533.0,326.0
2009-03-01,60.0,57.0,47.0,444.0,452.0,263.0
2009-04-01,42.0,47.0,24.0,339.0,438.0,273.0
2009-05-01,48.0,44.0,46.0,547.0,446.0,296.0
2009-06-01,45.0,54.0,61.0,450.0,405.0,283.0
2009-07-01,42.0,48.0,45.0,301.0,449.0,259.0
2009-08-01,57.0,59.0,58.0,422.0,420.0,198.0
2009-09-01,70.0,58.0,64.0,376.0,464.0,286.0
2009-10-01,67.0,61.0,55.0,335.0,413.0,261.0
2009-11-01,79.0,73.0,65.0,366.0,435.0,279.0
2009-12-01,94.0,87.0,77.0,417.0,432.0,258.0
2010-01-01,79.0,67.0,58.0,454.0,457.0,279.0
2010-02-01,101.0,62.0,73.0,468.0,430.0,266.0
2010-03-01,95.0,62.0,84.0,501.0,390.0,239.0
2010-04-01,109.0,68.0,85.0,445.0,513.0,283.0
2010-05-01,122.0,63.0,78.0,486.0,603.0,312.0
2010-06-01,128.0,73.0,74.0,473.0,582.0,329.0
2010-07-01,142.0,76.0,102.0,481.0,621.0,323.0
2010-08-01,128.0,55.0,52.0,446.0,641.0,364.0
2010-09-01,128.0,56.0,77.0,433.0,634.0,317.0
2010-10-01,138.0,56.0,67.0,508.0,652.0,417.0
2010-11-01,168.0,65.0,88.0,492.0,700.0,319.0
2010-12-01,135.0,62.0,46.0,526.0,579.0,352.0
2011-01-01,145.0,77.0,65.0,560.0,538.0,366.0
2011-02-01,142.0,74.0,51.0,640.0,610.0,389.0
2011-03-01,142.0,72.0,65.0,569.0,641.0,393.0
2011-04-01,148.0,83.0,77.0,623.0,590.0,331.0
2011-05-01,141.0,74.0,109.0,640.0,585.0,319.0
2011-06-01,146.0,61.0,68.0,668.0,676.0,406.0
2011-07-01,153.0,71.0,85.0,678.0,790.0,363.0
